Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,
Advisory Conciliation & Arbitration Service,ACAS,"Department for Business, Innovation & Skills",60,53.2,263,240,499,457.5,38,35.7,3,3,2,1.2,865,791,15,15,0,0,0,0,4,4,19,19,884,810,"£2,095,560.03","£18,390.12",£0.00,"£13,533.04","£374,055.79","£156,931.29","£2,658,470.27","£28,500.00","£67,733.23","£96,233.23","£2,754,703.50",,
Arts & Humanities Research Council,AHRC,"Department for Business, Innovation & Skills",5,4.88,35,33.58,51,48.36,12,11.79,4,3.1,,,107,102,2,2,,,10,10,,,12,12,119,114,"£280,337.00","£4,512.00",,,"£69,777.00","£20,458.00","£375,084.00","£109,291.00",,"£109,291.00","£484,375.00",,
Biotechnology & Biological Sciences Research Council,BBSRC,"Department for Business, Innovation & Skills",196,175.94,311,293.23,709,662.64,198,183.09,43,41.37,,,"1,457","1,356",13,13,,,1,1,1,1,15,15,"1,472","1,371","£4,108,255.68","£70,456.78","£7,250.00","£33,003.36","£1,050,423.56","£341,136.11","£5,610,525.49","£43,688.33","£5,000.00","£48,688.33","£5,659,213.82",,
"Business, Innovation & Skills ",BIS,"Department for Business, Innovation & Skills",156,148.825,394,382.438,1160,1134.423,1175,1133.345,213,204.934,0,0,"3,098","3,004",65,65,6,6,52,52,55,55,178,178,"3,276","3,182","£11,031,918.72","£290,192.84","£35,870.00","£50,400.53","£2,184,634.99","£986,320.73","£14,579,337.81","£804,310.00","£2,080,300.00","£2,884,610.00","£17,463,947.81",Included Headcount and Salary data for UKTI.,
Companies House ,CH,"Department for Business, Innovation & Skills",457,398,249,237,132,128,28,27,4,4,,,870,794,,,,,,,22,22,22,22,892,816,"£1,726,017.23","£23,963.83",£0.00,"£27,696.50","£315,160.55","£121,607.81","£2,214,445.92",,"£168,236.00","£168,236.00","£2,382,681.92",,86 ( 69.5 FTE) people left on VES on 31/01/2015.
Competition Service,CS,"Department for Business, Innovation & Skills",3,3,2,1.888,6,5.6,3,3,1,1,,,15,14,,,,,1,1,,,1,1,16,15,"£52,048.00",,,,"£10,817.81","£4,652.88","£67,518.69","£1,998.00",,"£1,998.00","£69,516.69",Provide IT support to the team for the IT Infrastructure Upgrade,
Construction Industry Training Board,CITB,"Department for Business, Innovation & Skills",418,389.18,626,613.96,325,318.91,21,21,5,5,0,0,"1,395","1,348",35,26.76,2,1.72,65,34.98,7,1.81,109,65.27,"1,504","1,413","£3,389,149.57","£168,194.54",£0.00,"£31,552.29","£457,593.80","£280,550.20","£4,327,040.40","£383,809.17","£11,918.08","£395,727.25","£4,722,767.65",,
Economic & Social Research Council,ESRC,"Department for Business, Innovation & Skills",13,10.66,34,32.29,76,74.25,16,15.91,3,2.95,,,142,136,2,2,,,,,,,2,2,144,138,"£370,837.00","£3,102.00",,,"£91,547.00","£27,309.00","£492,795.00","£2,362.00",,"£2,362.00","£495,157.00",,
