,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
National,77,83.7%,15,16.3%,"7,950",75.6%,"2,570",24.4%,704,74.3%,244,25.7%,"1,635",84.9%,291,15.1%,729,79.5%,188,20.5%,"10,829",92.1%,927,7.9%,840,87.2%,123,12.8%,"2,567",85.9%,423,14.1%,"4,908",93.7%,332,6.3%,"4,174",85.6%,701,14.4%,"2,804",84.1%,531,15.9%,"15,481",89.7%,"1,773",10.3%,654,100.0%
Avon and Somerset,0,-,0,-,188,78.0%,53,22.0%,18,78.3%,5,21.7%,49,96.1%,2,3.9%,21,100.0%,0,0.0%,321,93.6%,22,6.4%,24,85.7%,4,14.3%,83,89.2%,10,10.8%,126,98.4%,2,1.6%,118,88.7%,15,11.3%,60,77.9%,17,22.1%,279,90.3%,30,9.7%,13,100.0%
Bedfordshire,0,-,0,-,53,71.6%,21,28.4%,5,100.0%,0,0.0%,13,81.3%,3,18.8%,13,81.3%,3,18.8%,96,94.1%,6,5.9%,8,100.0%,0,0.0%,20,76.9%,6,23.1%,38,95.0%,2,5.0%,39,90.7%,4,9.3%,14,77.8%,4,22.2%,154,93.3%,11,6.7%,10,100.0%
Cambridgeshire,0,-,0,-,105,86.1%,17,13.9%,6,75.0%,2,25.0%,18,81.8%,4,18.2%,1,100.0%,0,0.0%,151,93.2%,11,6.8%,18,81.8%,4,18.2%,27,87.1%,4,12.9%,35,97.2%,1,2.8%,31,93.9%,2,6.1%,4,80.0%,1,20.0%,231,94.3%,14,5.7%,12,100.0%
Cheshire,1,50.0%,1,50.0%,108,83.7%,21,16.3%,9,90.0%,1,10.0%,22,91.7%,2,8.3%,3,100.0%,0,0.0%,219,93.2%,16,6.8%,10,83.3%,2,16.7%,47,95.9%,2,4.1%,71,97.3%,2,2.7%,55,88.7%,7,11.3%,113,95.8%,5,4.2%,535,95.0%,28,5.0%,3,100.0%
Cleveland,1,100.0%,0,0.0%,106,68.8%,48,31.2%,11,64.7%,6,35.3%,34,85.0%,6,15.0%,7,63.6%,4,36.4%,283,92.2%,24,7.8%,14,100.0%,0,0.0%,50,84.7%,9,15.3%,88,95.7%,4,4.3%,140,80.0%,35,20.0%,23,85.2%,4,14.8%,133,92.4%,11,7.6%,6,100.0%
Cumbria,1,100.0%,0,0.0%,95,79.2%,25,20.8%,10,90.9%,1,9.1%,13,92.9%,1,7.1%,0,0,0,0,99,91.7%,9,8.3%,6,100.0%,0,0.0%,29,90.6%,3,9.4%,42,97.7%,1,2.3%,50,84.7%,9,15.3%,60,90.9%,6,9.1%,86,85.1%,15,14.9%,7,100.0%
Derbyshire,2,66.7%,1,33.3%,120,70.2%,51,29.8%,18,75.0%,6,25.0%,25,92.6%,2,7.4%,6,60.0%,4,40.0%,186,88.6%,24,11.4%,7,77.8%,2,22.2%,51,89.5%,6,10.5%,71,97.3%,2,2.7%,49,81.7%,11,18.3%,34,75.6%,11,24.4%,207,92.0%,18,8.0%,4,100.0%
Devon and Cornwall,0,-,0,-,181,74.2%,63,25.8%,18,78.3%,5,21.7%,28,93.3%,2,6.7%,9,90.0%,1,10.0%,171,91.4%,16,8.6%,8,88.9%,1,11.1%,65,86.7%,10,13.3%,65,95.6%,3,4.4%,96,80.0%,24,20.0%,70,83.3%,14,16.7%,387,91.5%,36,8.5%,4,100.0%
Dorset,4,100.0%,0,0.0%,68,78.2%,19,21.8%,3,50.0%,3,50.0%,17,100.0%,0,0.0%,2,40.0%,3,60.0%,85,94.4%,5,5.6%,10,100.0%,0,0.0%,24,96.0%,1,4.0%,37,94.9%,2,5.1%,38,90.5%,4,9.5%,31,88.6%,4,11.4%,136,90.1%,15,9.9%,7,100.0%
Durham,1,100.0%,0,0.0%,74,81.3%,17,18.7%,5,62.5%,3,37.5%,19,100.0%,0,0.0%,4,100.0%,0,0.0%,149,94.9%,8,5.1%,9,90.0%,1,10.0%,52,83.9%,10,16.1%,40,97.6%,1,2.4%,45,93.8%,3,6.3%,22,91.7%,2,8.3%,121,93.1%,9,6.9%,1,100.0%
Dyfed Powys,0,-,0,-,58,80.6%,14,19.4%,3,37.5%,5,62.5%,10,83.3%,2,16.7%,0,0,0,0,76,93.8%,5,6.2%,3,100.0%,0,0.0%,29,78.4%,8,21.6%,78,90.7%,8,9.3%,52,88.1%,7,11.9%,6,100.0%,0,0.0%,121,87.1%,18,12.9%,3,100.0%
