"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Justice","Legal Aid Agency","Integrated Delivery & Change Programme","28","Band D","60890","85778","Senior Project Manager","2.00","Programme and Project Management (PPM)"
"Ministry of Justice","Legal Aid Agency","Legal & Service Development","24","Band A2","17837","28169","Administrator","1.00","Law"
"Ministry of Justice","Legal Aid Agency","Legal & Service Development","24","Band A3","24146","34792","Legal Support Officer","3.60","Law"
"Ministry of Justice","Legal Aid Agency","Legal & Service Development","24","Band B1","26645","38731","Legal Adviser","3.00","Law"
"Ministry of Justice","Legal Aid Agency","Legal & Service Development","24","Band B2","34246","50553","Legal Adviser","4.00","Law"
"Ministry of Justice","Legal Aid Agency","Legal & Service Development","24","Band C","41837","69333","Senior Legal Adviser","8.00","Law"
"Ministry of Justice","Legal Aid Agency","Legal & Service Development","24","Band A2","17837","28169","Administrator","1.00","Operational Delivery"
"Ministry of Justice","Legal Aid Agency","Legal & Service Development","24","Band A3","24146","34792","Development Assistant","3.00","Operational Delivery"
"Ministry of Justice","Legal Aid Agency","Legal & Service Development","24","Band B1","26645","38731","Development Officer","5.40","Operational Delivery"
"Ministry of Justice","Legal Aid Agency","Legal & Service Development","24","Band B2","34246","50553","Senior Development Officer","12.10","Operational Delivery"
"Ministry of Justice","Legal Aid Agency","Legal & Service Development","24","Band C","41837","69333","Operational Manager","5.80","Operational Delivery"
"Ministry of Justice","Legal Aid Agency","Legal & Service Development","24","Band D","60890","85778","Senior Operational Manager","1.00","Operational Delivery"
"Ministry of Justice","Legal Aid Agency","Legal & Service Development","27","Band A3","24146","34792","Programme Support Officer","1.00","Law"
"Ministry of Justice","Legal Aid Agency","Legal & Service Development","27","Band B1","26645","38731","Programme Support Officer","1.00","Law"
"Ministry of Justice","Legal Aid Agency","Legal & Service Development","27","Band B2","34246","50553","Project Manager","3.00","Law"
"Ministry of Justice","Legal Aid Agency","Legal & Service Development","27","Band C","41837","69333","Senior Project Manager","1.00","Law"
"Ministry of Justice","Legal Aid Agency","Legal & Service Development","27","Band D","60890","85778","Programme Manager","1.00","Law"
"Ministry of Justice","Legal Aid Agency","Case Management","32","Band A3","24146","34792","Programme Support Officer","1.00","Operational Delivery"
"Ministry of Justice","Legal Aid Agency","Case Management","32","Band B1","26645","38731","Programme Manager","1.00","Operational Delivery"
"Ministry of Justice","Legal Aid Agency","Case Management","32","Band D","60890","85778","Senior Operational Manager","4.00","Operational Delivery"
