DfENumber,SchoolName,Year,Places,PlaceAllocated,1stPref,2ndPref,3rdPref,4thPref,5thPref,Unplaced,SLE,Catchment,Sibling,Distance,OutsideSpecifiedArea,InsideSpecifiedArea,Religion,Feeder,Other,Total
8164702,All Saints Rc School,2015,178,178,174,3,1,0,0,0,2,0,28,6,2,0,111,28,1,178
8164500,Archbishop Holgates CE School,2015,212,212,185,17,7,1,0,2,4,101,53,52,0,0,0,0,0,212
8164500,Archbishop Holgates CE School,2015,31,31,31,0,0,0,0,0,0,0,0,0,0,0,31,0,0,31
8164003,Canon Lee School,2015,190,120,74,8,6,0,0,32,0,87,0,1,0,0,0,0,0,120
8164153,Fulford School,2015,208,252,251,1,0,0,0,0,2,246,4,0,0,0,0,0,0,252
8164063,Huntington School,2015,239,243,241,2,0,0,0,0,4,215,24,0,0,0,0,0,0,243
8164508,Joseph Rowntree School,2015,220,220,194,25,1,0,0,0,7,181,19,13,0,0,0,0,0,220
8164602,Manor CE Academy,2015,128,127,117,4,6,0,0,0,3,0,0,0,32,90,0,0,2,127
8164602,Manor CE Academy,2015,92,92,91,1,0,0,0,0,0,0,0,0,0,0,92,0,0,92
8164229,Millthorpe School,2015,204,204,195,7,1,1,0,0,1,139,18,46,0,0,0,0,0,204
8164703,York High School,2015,180,162,153,1,3,0,0,5,2,146,3,6,0,0,0,0,0,162
