1,jobs,"5,704"
2,income support,"2,520"
3,sorn,"1,577"
4,dla,"1,510"
5,housing benefit,"1,478"
6,student finance,"1,227"
7,passport,"1,188"
8,esa,"1,186"
9,attendance allowance,"1,146"
10,maternity,"1,143"
11,cv,"1,134"
12,redundancy,"1,125"
13,theory test,"1,105"
14,carers allowance,"1,104"
15,dvla,"1,064"
16,child benefit,"1,034"
17,pension credit,958
18,working tax credit,954
19,tax credits,948
20,car tax,945
21,crisis loan,877
22,tax disc,818
23,council tax,801
24,driving test,789
25,jsa,767
26,minimum wage,762
27,blue badge,761
28,benefits,722
29,job search,718
30,job seekers allowance,716
31,job,701
32,all jobs,684
33,[None],656
34,working tax credits,654
35,change of address,651
36,divorce,623
37,budgeting loan,598
38,national insurance,587
39,child tax credit,578
40,tax,572
41,self assessment,552
42,maternity leave,548
43,csa,539
44,driving licence,532
45,maternity pay,530
46,maternity allowance,524
47,jobseekers allowance,523
48,ssp,522
49,incapacity benefit,516
50,disability living allowance,495
51,passports,489
52,mot,489
53,community care grant,488
54,pensions,480
55,v62,480
56,sick pay,475
57,cold weather payments,465
58,state pension,434
59,road tax,424
60,loans,421
61,self employed,420
62,grants,413
63,social fund,411
64,pension,398
65,crb,394
66,taxdisc,393
67,cold weather payment,372
68,child tax credits,371
69,bank holidays,371
70,apprenticeships,364
71,holiday entitlement,356
72,forms,345
73,change address,339
74,self employment,339
75,probate,334
76,student finance calculator,327
77,jobseekers,321
78,driving,321
79,paternity leave,315
80,employment and support allowance,313
81,housing,313
82,job seekers,312
83,pension forecast,311
84,smp,311
85,v317,309
86,employment support allowance,302
87,provisional,298
88,cleaner,294
89,d1,294
90,tax return,289
91,power of attorney,275
92,national insurance number,272
93,vacancies,272
94,tax credit,266
95,maternity grant,264
96,c,258
97,ESA,258
98,theory,257
99,practical test,255
100,widows pension,248
101,job vacancies,238
102,rapid reclaim,237
103,crisis loans,231
104,statutory sick pay,229
105,warehouse,228
106,bus pass,226
107,disability,226
108,passport renewal,224
109,benefits calculator,223
110,driving license,222
111,petitions,221
112,next step,221
113,v5c,219
114,provisional licence,218
115,death,218
116,holiday pay,217
117,calculator,216
118,job centre,214
119,birth certificate,213
120,retail,211
121,dwp,211
122,vehicle enquiry,210
123,pension credits,207
124,v14,207
125,student loan,207
126,dsa,206
127,pregnancy,204
128,benefits adviser,201
129,housing benefits,200
130,passport fees,196
131,carers,196
132,paternity,194
133,d798,192
134,gateway,191
135,warm home discount,191
136,holidays,190
137,vat,188
138,d1 form,188
139,benefit fraud,188
140,national minimum wage,187
141,childcare,184
142,self assesment,183
143,civil service jobs,182
144,statutory maternity pay,181
145,lha,180
146,template letters,178
147,vehicle check,177
148,loan,177
149,income tax,174
150,housing benifit,174
151,benefits advisor,173
152,budgeting loans,171
153,parental leave,171
154,benefit calculator,168
155,holiday,167
156,practical driving test,165
157,tupe,165
158,cleaning,163
159,hmrc,162
160,student,161
161,gl24,160
162,sure start maternity grant,159
163,sure start,159
164,health and safety,158
165,heating allowance,158
166,phone number,157
167,flexible working,156
168,retirement age,155
169,council tax benefit,155
170,ema,155
171,training,155
172,winter fuel allowance,153
173,v10,151
174,job centre plus,151
175,jobcentre plus,151
176,access to work,150
177,book theory test,149
178,v5,149
179,mobility allowance,148
180,debt,148
181,cassies law,147
182,winter fuel payment,147
183,student loans,146
184,log in,145
185,complaints,143
186,tax rebate,143
187,br19,143
188,vic,142
189,jobsearch,141
190,birth certificates,141
191,hgv,141
192,budget loan,140
193,paternity pay,140
194,disability allowance,140
195,bereavement,139
196,apprenticeship,139
197,government gateway,138
198,legal aid,137
199,incapacity,137
200,volunteering,137
201,uniform,136
202,redundancy calculator,135
203,book driving test,132
204,school holidays,131
205,employment,129
206,national insurance contributions,128
207,security,128
208,find a job,128
209,cold weather,128
210,contact,126
211,log book,126
212,advertise a job,126
213,benefit,125
214,highway code,125
215,working hours,125
216,bankruptcy,125
217,data protection,124
218,fraud,124
219,savings credit,123
220,p45,123
221,contact number,123
222,provisional license,122
223,free school meals,122
224,phone numbers,120
225,mobility,120
226,redundancy pay,120
227,benifits,118
228,retirement,118
229,sickness benefit,118
230,e petitions,117
231,social services,117
232,permitted work,116
233,child support,116
234,stamp duty,115
235,ehic,115
236,jury service,114
237,Disability living allowance,114
238,marriage,114
239,construction,114
240,civil service,113
241,savings,113
242,lasting power of attorney,112
243,pension age,112
244,working tax,111
245,child support agency,111
246,contact dvla,109
247,benefit rates,109
248,d,108
249,state pension age,108
250,data protection act,107
251,adoption,107
252,lost driving licence,107
253,warm front,106
254,petition,106
255,education,106
256,warm home,106
257,child maintenance,105
258,driving theory test,105
259,sickness,105
260,winter fuel,104
261,PENSION,104
262,courses,104
263,benefit adviser,104
264,executive officer,104
265,renew driving licence,104
266,child care,104
