Minister,Date of Hospitality,Name of Organisation,Type of hospitality received
"Minister for the Cabinet Office and Paymaster General, The Rt Hon Francis Maude MP",19-Oct-2010,BBC,Lunch
,25-Oct-2010,ITV,Lunch
,28-Oct-2010,Independent on Sunday,Lunch
,25-Nov-2010,CBI,Dinner
,30-Nov-2010,Deloitte,Lunch
,30-Nov-2010,KPMG,Dinner
,01-Dec-2010,Barclays,Lunch
,14-Dec-2010,Daily Telegraph,Dinner
,15-Dec-2010,Barclays,Dinner
,16-Dec-2010,Archbishop of Canterbury,Lunch
"Minister of State (Minister for Government Policy), The Rt Hon Oliver Letwin MP",28-Oct-2010,Cambridge University,Lunch
,09-Nov-2010,The Sunday Times,Lunch
,18-Nov-2010,The Guardian,Lunch
,13-Dec-2010,Standpoint Magazine,Lunch
,14-Dec-2010,BBC,Lunch
"Minister without Portfolio, The Rt Hon Baroness Warsi ",16-Oct-2010,British Pakistan Foundation,Dinner
,31-Oct-2010,British Bangladesh Chamber of Commerce,Dinner
,08-Nov-2010,Daily Mirror,Awards Ceremony
,24-Nov-2010,Civil Service Islamic Society,Dinner
,27-Nov-2010,Imran Khan Flood Relief,Dinner
Note,,,
"Does not normally include attendance at functions hosted by HM Government; ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences, and seminars;  and offers of hospitality which were declined",,,
