Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Post Code
Departmen of Health,NHS Business Services Authority,01/09/2017,Statutory Payments,Statutory Payments,CABINET OFFICE CIVIL SERVICE PENSIONS,0050033781,"54,601.99",DEDUCTIONS AUGUST 17,RG24 9NW
Departmen of Health,NHS Business Services Authority,08/09/2017,Temporary Staff,Corporate Services,CLICK TRAVEL LIMITED,0050033793,"99,301.69",TRAVEL AUGUST 17,B1 1TT
Departmen of Health,NHS Business Services Authority,08/09/2017,Rates Charges,Corporate Services,NEWCASTLE CITY COUNCIL,0050033796,"36,696.00",RATES SEPT 17,NE99 2PT
Departmen of Health,NHS Business Services Authority,15/09/2017,Apprenticeship Levy,Corporate Services,HM REVENUE & CUSTOMS 948PX00194660,0050033799,"28,163.00",BSA M5,NE98 1ZZ
Departmen of Health,NHS Business Services Authority,15/09/2017,Statutory Payment,Statutory Payments,HM REVENUE & CUSTOMS 948PX00194660,0050033799,"1,196,042.30",BSA M5,NE98 1ZZ
Departmen of Health,NHS Business Services Authority,27/09/2017,Envision Retained Services,Pensions Division,PAYMASTER (1836) LTD,0050033870,"482,651.39",RETAINED SERVICES,RH10 1UH
Departmen of Health,NHS Business Services Authority,01/09/2017,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080082469,"24,351.79",A/C 0912819048,S49 1HQ
Departmen of Health,NHS Business Services Authority,01/09/2017,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080082471,"47,581.46",A/C 0912819049 - TAX CREDITS,S49 1HQ
Departmen of Health,NHS Business Services Authority,19/09/2017,Envision IT / IS,Pensions Division,PAYMASTER (1836) LTD,0080082574,"48,712.70",Provision of IT Support services for,RH10 1UH
Departmen of Health,NHS Business Services Authority,01/09/2017,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080082622,"32,848.32",A/C 0912819049-EHIC UK,S49 1HQ
Departmen of Health,NHS Business Services Authority,01/09/2017,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080082625,"25,523.68",A/C 0912819048,S49 1HQ
Departmen of Health,NHS Business Services Authority,08/09/2017,Temporary Staff,Prescription Pricing Division,BROOK STREET (UK) LTD,0080082762,"26,992.64",A WARD W/E 18.08.17,AL1 4ZX
Departmen of Health,NHS Business Services Authority,05/09/2017,Hard FM Contract,Corporate Services,KIER FACILITIES SERVICES LTD,0080082763,"42,635.25",Hard FM Services contract - Stella,RG21 4HG
Departmen of Health,NHS Business Services Authority,08/09/2017,Query,Corporate Services,KIER FACILITIES SERVICES LTD,0080082764,"32,033.36",Hard FM Phase 1 23 May - 22 Jun 17,RG21 4HG
Departmen of Health,NHS Business Services Authority,05/09/2017,Rates Charges,Corporate Services,WYRE BOROUGH COUNCIL,0080082806,"77,788.01",N00110440200000 AJUST 2015-2017,FY6 7PU
Departmen of Health,NHS Business Services Authority,05/09/2017,Internal Audit Fees,Corporate Services,DEPARTMENT OF HEALTH,0080082840,"31,470.24",0.13 days 17-18 Recommendations Follow,LS2 7UE
Departmen of Health,NHS Business Services Authority,08/09/2017,Service Desk,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080082862,"368,642.35",SERVICE DESK,DL1 9HN
Departmen of Health,NHS Business Services Authority,08/09/2017,Professional Fees,Project Pacific,CAPITA BUSINESS SERVICES LTD,0080082862,642.23,DECS CORRECTION JUN17,DL1 9HN
Departmen of Health,NHS Business Services Authority,08/09/2017,Temporary Staff,Prescription Pricing Division,BROOK STREET (UK) LTD,0080082863,"27,449.53",M JOHNSON W/E 25.08.17,AL1 4ZX
Departmen of Health,NHS Business Services Authority,08/09/2017,Telphone Charges,Corporate Services,CAPITA BUSINESS SERVICES LTD,0080082864,"345,661.17",MVS JUL17,DL1 9HN
Departmen of Health,NHS Business Services Authority,08/09/2017,Mobile Phones,NHS Protect,CAPITA BUSINESS SERVICES LTD,0080082864,"-1,914.74",NHSP,DL1 9HN
Departmen of Health,NHS Business Services Authority,08/09/2017,Mobile Phones,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080082864,"-2,384.86",CORPORATE TELEPHONY,DL1 9HN
Departmen of Health,NHS Business Services Authority,08/09/2017,Telphone Charges,Project Pacific,CAPITA BUSINESS SERVICES LTD,0080082864,"1,257.12",MVS JUL17,DL1 9HN
Departmen of Health,NHS Business Services Authority,05/09/2017,Query,Corporate Services,INTEGRATED HEALTH PROJECTS,0080082868,"184,912.52",MW 6.06 Bridge House Level 1 Annex -,HP2 7TR
Departmen of Health,NHS Business Services Authority,15/09/2017,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080082886,"31,319.55",A/C 0912819049-EHIC EU,S49 1HQ
Departmen of Health,NHS Business Services Authority,15/09/2017,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080082887,"25,067.15",A/C 0912819048,S49 1HQ
Departmen of Health,NHS Business Services Authority,08/09/2017,Professional Fees,Prescription Pricing Division,APHARI LTD,0080082923,"28,757.10",RELATES TO P/O 17153,SW1Y 5JG
Departmen of Health,NHS Business Services Authority,22/09/2017,Bank Charges,Prescription Pricing Division,ALLPAY LIMITED,0080082928,"25,449.18",D/D'S AUGUST,HR1 3SE
Departmen of Health,NHS Business Services Authority,12/09/2017,Hard FM Contract,Corporate Services,KIER FACILITIES SERVICES LTD,0080082965,"32,567.93",Hard FM Services contract - Stella,RG21 4HG
Departmen of Health,NHS Business Services Authority,15/09/2017,Query,Corporate Services,COMPASS SERVICES UK & IRELAND LTD,0080082976,"48,284.93",Soft FM Phase 1 - May 2017,B45 9PZ
Departmen of Health,NHS Business Services Authority,15/09/2017,Query,Corporate Services,COMPASS SERVICES UK & IRELAND LTD,0080082978,"48,284.93",Soft FM P1 - Jun 2017,B45 9PZ
Departmen of Health,NHS Business Services Authority,08/09/2017,Query,Corporate Services,COMPASS SERVICES UK & IRELAND LTD,0080082991,"48,284.93",Soft FM Services contract - Hesketh,B45 9PZ
Departmen of Health,NHS Business Services Authority,08/09/2017,Query,Corporate Services,COMPASS SERVICES UK & IRELAND LTD,0080082992,"48,254.93",Soft FM Services contract - Hesketh,B45 9PZ
Departmen of Health,NHS Business Services Authority,08/09/2017,Query,Corporate Services,COMPASS SERVICES UK & IRELAND LTD,0080082993,"81,226.19",Soft FM Services contract - Stella,B45 9PZ
Departmen of Health,NHS Business Services Authority,08/09/2017,Query,Corporate Services,COMPASS SERVICES UK & IRELAND LTD,0080082994,"81,226.19",Soft FM Services contract - Stella,B45 9PZ
Departmen of Health,NHS Business Services Authority,08/09/2017,Query,Corporate Services,COMPASS SERVICES UK & IRELAND LTD,0080082996,"81,226.19",Soft FM Services contract - Stella,B45 9PZ
Departmen of Health,NHS Business Services Authority,08/09/2017,Query,Corporate Services,COMPASS SERVICES UK & IRELAND LTD,0080082997,"79,155.56",Soft FM Services contract - Stella,B45 9PZ
Departmen of Health,NHS Business Services Authority,08/09/2017,Carbon Tax,Corporate Services,DEPARTMENT OF ENERGY & CLIMATE CHANGE,0080083000,"40,764.00",CRC PHASE 2,SW1A 2AW
Departmen of Health,NHS Business Services Authority,12/09/2017,Envision IT / IS,Pensions Division,PAYMASTER (1836) LTD,0080083003,"29,675.00","Handling Charge 4.8%	£106,200",RH10 1UH
Departmen of Health,NHS Business Services Authority,08/09/2017,Envision Other,Pensions Division,PAYMASTER (1836) LTD,0080083005,"130,269.43",To provide Annual 2nd bite PI (FACT),RH10 1UH
Departmen of Health,NHS Business Services Authority,12/09/2017,Envision Retained Services,Pensions Division,PAYMASTER (1836) LTD,0080083006,"83,617.00",difference,RH10 1UH
Departmen of Health,NHS Business Services Authority,08/09/2017,Professional Fees,Dental Services Division,CAPITA BUSINESS SERVICES LTD,0080083010,"25,181.97",Call Off Form - CON/0461 - Dental,DL1 9HN
Departmen of Health,NHS Business Services Authority,15/09/2017,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080083018,"22,521.34",A/C 0912819048,S49 1HQ
Departmen of Health,NHS Business Services Authority,26/09/2017,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080083020,"25,508.98",A/C 0912819049 - EHIC UK,S49 1HQ
Departmen of Health,NHS Business Services Authority,12/09/2017,Professional Fees,Prescription Pricing Division,ANS GROUP LTD,0080083026,"59,625.00",Contract:  ITIS Cloud Readiness Assessme,M15 6SY
Departmen of Health,NHS Business Services Authority,15/09/2017,Professional Fees,Corporate Services,ACCENTURE UK LIMITED,0080083130,"59,882.40",Delivery Manager,EC3M 3BD
Departmen of Health,NHS Business Services Authority,19/09/2017,Printing Charges (External),Prescription Pricing Division,THAMES CARD TECHNOLOGY LTD,0080083149,"41,523.18","Production, Personalization and",SS6 7UQ
Departmen of Health,NHS Business Services Authority,29/09/2017,Temporary Staff,Prescription Pricing Division,ACCENTURE UK LIMITED,0080083160,"28,280.10",Business Analyst - 10/07/17 to 10/01/18,EC3M 3BD
Departmen of Health,NHS Business Services Authority,26/09/2017,Query,Pensions Division,MEDIGOLD HEALTH CONSULTANCY,0080083175,"23,427.00",Medigold Health Consultancy Limited,NN4 7BF
Departmen of Health,NHS Business Services Authority,22/09/2017,Printing Charges (External),Prescription Pricing Division,XEROX UK LIMITED,0080083192,"24,592.00",ZERO VAT PO 20224,LS12 6NJ
Departmen of Health,NHS Business Services Authority,26/09/2017,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080083215,"29,240.26",A/C 0912819048,S49 1HQ
Departmen of Health,NHS Business Services Authority,26/09/2017,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080083216,"29,409.03",A/C 0912819049 - EHIC UK,S49 1HQ
Departmen of Health,NHS Business Services Authority,22/09/2017,Query,Corporate Services,COMPASS SERVICES UK & IRELAND LTD,0080083226,"48,284.93",MONTHLY CONTRACTUAL INVOICE,B45 9PZ
Departmen of Health,NHS Business Services Authority,22/09/2017,Rent,Corporate Services,EMERSON MANAGEMENT SERVICES,0080083263,"78,493.50",RENT 29/09/17-24/03/18,SK9 7LF
Departmen of Health,NHS Business Services Authority,29/09/2017,Professional Fees,Prescription Pricing Division,ACCENTURE UK LIMITED,0080083280,"26,636.40",PRESCRIPT PREPAYMENT JUL-AUG,EC3M 3BD
Departmen of Health,NHS Business Services Authority,22/09/2017,Professional Fees,Corporate Services,ACCENTURE UK LIMITED,0080083299,"92,390.40",HR DIGITAL SOL DISCOVERY JULY,EC3M 3BD
Departmen of Health,NHS Business Services Authority,22/09/2017,Professional Fees,Corporate Services,ACCENTURE UK LIMITED,0080083300,"62,842.20",HR DIGITAL SOL DISCOVERY AUG 17,EC3M 3BD
Departmen of Health,NHS Business Services Authority,22/09/2017,Professional Fees,Prescription Pricing Division,CAPITA BUSINESS SERVICES LTD,0080083349,"78,294.57",Windows Server Engineering - Junior,DL1 9HN
Departmen of Health,NHS Business Services Authority,29/09/2017,Temporary Staff,Pensions Division,PAYMASTER (1836) LTD,0080083376,"227,490.79",Service Requirements for relocation of,RH10 1UH
Departmen of Health,NHS Business Services Authority,29/09/2017,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080083400,"25,568.39",A/C 0912819048,S49 1HQ
Departmen of Health,NHS Business Services Authority,29/09/2017,Postage Charges,Prescription Pricing Division,ROYAL MAIL,0080083401,"35,472.00",A/C 0912819049-TAX CREDIT,S49 1HQ
Departmen of Health,NHS Business Services Authority,26/09/2017,Statutory Payments,Statutory Payments,CABINET OFFICE CIVIL SERVICE PENSIONS,0080083487,"54,608.59",DEDUCTIONS SEPT 17,RG24 9NW
Departmen of Health,NHS Business Services Authority,26/09/2017,Query,Pensions Division,GCI NETWORK SOLUTIONS LTD,0080083488,"56,250.00",Order is for an additional 50 'eg,LN3 4NT
Departmen of Health,NHS Business Services Authority,29/09/2017,Building Works,Corporate Services,FLEXIFORM,0080083549,"36,212.28",6x 1200 wide hand crank height,BD3 7AE
Department of Health,NHS Business Services Authority,01/09/2017,Dental Contractors,Dental Services ,,,"168,407,602.00",Payments to Dental Contractors,
Department of Health,NHS Business Services Authority,01/09/2017,Pensions Division,Pensions Division,,,"874,195.76",Payments to Pensioners,
Department of Health,NHS Business Services Authority,01/09/2017,Pharmacy Contractors,Prescription Pricing ,,,"100,274,662.06",Payments to Pharmacy Contractors,
Department of Health,NHS Business Services Authority,01/09/2017,Pharmacy Contractors,Prescription Pricing ,,,"714,561,069.87",Payments to Pharmacy Contractors,
