CPS outcomes by principal offence category cumbria,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,1,100.0%,0,0.0%
B Offences Against The Person,81,85.0%,20,15.0%
C Sexual Offences,8,60.0%,4,40.0%
D Burglary,30,89.3%,1,10.7%
E Robbery,4,100.0%,0,0.0%
F Theft And Handling,98,95.3%,8,4.7%
G Fraud And Forgery,11,100.0%,2,0.0%
H Criminal Damage,41,85.9%,3,14.1%
I Drugs Offences,77,95.7%,3,4.3%
J Public Order Offences,98,93.8%,7,6.3%
K All Other Offences (excluding Motoring),54,85.1%,8,14.9%
L Motoring Offences,184,87.5%,20,12.5%
Admin Finalisations,0,0.0%,2,100.0%
TOTAL,687,89.8%,78,10.2%
