Organisation Name,Organisation Code,Organisational Unit,Service Category Label,Procurement category,Supplier Name,Supplier Other ID,Payment Date,Transaction Number,Amount (£),Purpose
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Legal Services Manager,Crime & Disorder Reduction Partnership,Grants and contributions,RED SNAPPER GROUP,RED004,08/12/2017,161981,1300,TRAINING
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Parks and Open Spaces,Professional fees,WICKSTEED LEISURE LTD,WIC001,08/12/2017,162002,26720,FAIRHILL PLAY AREA
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,Homelessness,Other charges for services,EDEN HOUSING ASSOCIATION LTD,EDE001,08/12/2017,160919,24500,HOMELESSNESS ADVICE 03.07.17-01.10.17
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Human Resources Manager,Staff Development,Workforce Development Plan Activity,IODA LTD,IOD001,08/12/2017,161813,590,EDI TRAINING 09.11.17 MANAGEMENT TEAM
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Recycling,material price fluctuations,CUMBRIA WASTE RECYCLING LTD,CUM022,08/12/2017,161938,5992.38,BS-F-39-17/18
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Director of Finance,FLOOD 2015,Grants and contributions,redacted information,EWI001,08/12/2017,161941,1530,PLFRG EDC16323 2ND PAY
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Central Expenses,Safety training – 205800 only,LAKES TRAINING SOLUTIONS LTD,LAK035,08/12/2017,161942,530,DEALING WITH AGGRESSION & CONFLICT TRAINING
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Land Charges,Professional fees,CUMBRIA COUNTY COUNCIL,CCC002,08/12/2017,161946,1366.5,EDEN SEPTEMBER 2017 CON29 SEARCHES
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Technical Services Manager,Land Charges,Professional fees,CUMBRIA COUNTY COUNCIL,CCC002,08/12/2017,161947,1466.8,EDEN OCTOBER 2017 CON29 SEARCHES
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,1996 Mandatory Renovation Grants,Capital grants,MCKNIGHT & SON BUILDERS,MCK006,08/12/2017,161982,4610.91,17001/5 
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,1996 Mandatory Renovation Grants,Capital grants,CONISTON CONSULTANTS LTD,CON023,08/12/2017,161983,1350,170046/
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Revenue/Benefits Manager,Collection of Local Taxation,Supplies general,MORGAN HUNT UK LTD,MOR031,08/12/2017,161985,541.31, 26/11/17
Eden District Council,http://opendatacommunities.org/id/district-council/eden,Environmental Services,1996 Mandatory Renovation Grants,Capital grants,EASIBATHE LTD,EAS006,08/12/2017,162018,4218.27,170041/
