Purchased quantities of household food & drink by income quintile Averages per person per week Quintile 1	Code	Description				Units	2001-02	2002-03	2003-04	2004-05	2005-06	2006	2007	2008	2009	2010	2011	2012	2013
	501			School milk (d)		ml													
	601			Welfare milk(i)		ml	45	70	77	54	64	61	42	34	41				
	402				UHT milk	ml	14	10	38	38	27	37	24	21	6	15	3	4	3
	403				Sterilised	ml	47	34	12	15	13	17	3	11	6	4	3	1	4
	404				Pasteurised/ homogenised	ml	826	757	862	743	612	672	669	541	566	611	522	537	455
	1502				Fully skimmed milk	ml	146	172	122	154	149	139	166	180	137	163	158	118	129
	1503				Semi-skimmed milk	ml	967	956	895	1,039	1,060	943	1,096	1,069	1,106	1,035	1,185	1,109	1,070
	901			Condensed or evaporated milk		eq ml	35	40	35	33	26	35	17	26	29	24	33	35	47
	1102				Infant or baby milks - ready to drink	eq ml	1	0	2	2	5	5	4	0	2	4	1	1	0
	1103				Infant or baby milks - dried	eq ml	17	20	15	26	20	28	45	13	86	44	31	59	34
	1201			Instant dried milk		eq ml	27	28	25	17	16	21	15	14	22	12	3	6	10
	1301				Yoghurt	ml	115	131	127	139	155	159	166	153	163	166	150	142	157
	1302				Fromage frais	ml	11	13	12	12	15	18	16	15	14	17	13	12	14
	1603				Dairy desserts - not frozen	ml	37	43	44	42	45	40	41	42	49	50	55	47	46
	1605				Dried milk products	ml	6	6	12	1	8	4	3	2	5	0	1	0	4
	1607				Milk drinks and other milks (e)	ml	37	35	43	16	19	14	17	21	27	24	25	27	28
	1608				Non-dairy milk substitutes (e)	ml				28	20	20	19	31	28	25	18	23	28
	1701			Cream		ml	13	17	15	16	15	13	17	14	18	14	13	20	15
	2201			Hard cheese - cheddar type		g	61	63	61	58	77	60	65	62	66	64	64	58	69
	2202			Hard cheese - other uk or foreign equivalent		g	11	12	10	13	12	9	13	11	9	9	10	9	7
	2203			Hard cheese - edam or other foreign		g	5	5	3	5	5	4	5	4	6	4	5	5	6
	2205			Cottage cheese		g	6	4	4	5	5	3	5	4	3	2	3	3	2
	2206			Soft natural cheese		g	6	6	7	7	11	9	11	10	10	13	13	13	14
	2301		Processed cheese			g	14	10	13	13	13	13	11	13	12	11	12	8	12
	3102			Beef joints - on the bone		g	1	1	2	3	0	1	1	0	0	0	1	2	2
	3103			Beef joints - boned		g	25	23	21	29	21	24	26	16	19	15	16	17	14
	3104			Beef steak - less expensive		g	18	17	15	16	21	22	17	14	18	18	16	16	16
	3105			Beef steak - more expensive		g	19	19	18	21	18	17	21	15	14	19	16	15	13
	3106			Minced beef		g	40	45	43	49	42	45	52	41	47	44	57	40	41
	3107			All other beef and veal		g	2	1	1	3	1	0	2	0	2	1	0	0	0
	3601			Mutton		g	1	2	1	2	1	3	1	5	0	5	3	1	5
	3602			Lamb joints		g	26	23	23	27	21	49	23	18	23	13	18	22	20
	3603			Lamb chops		g	21	15	16	23	19	14	16	19	14	15	12	11	11
	3604			All other lamb		g	9	6	10	5	7	9	5	6	10	6	5	7	7
	4101			Pork joints		g	24	19	16	15	11	13	20	17	11	14	19	18	18
	4102			Pork chops		g	27	23	20	22	17	17	18	17	16	15	14	13	15
	4103			Pork fillets and steaks		g	10	16	8	11	10	11	12	11	11	11	17	15	12
	4104			All other pork		g	5	2	11	11	8	10	12	9	9	10	10	12	12
	4603			Ox liver		g	0	1	5	0	1	0	0	1	0	0	1	0	1
	4604			Lambs liver		g	2	3	4	3	2	2	3	3	3	2	2	2	2
	4605			Pigs liver		g	2	1	2	1	1	1	1	1	1	1	3	2	1
	4607			All other liver		g	0	0	0	1	1	0	0	0	0	1	0	0	0
	5101		All offal other than liver			g	5	3	4	3	2	2	1	2	2	2	2	3	1
	5502			Bacon and ham joints, uncooked		g	17	19	25	22	16	16	16	17	20	21	19	26	20
	5505			Bacon and ham rashers, uncooked		g	58	54	49	53	57	50	55	50	51	48	54	48	46
	5801		Bacon and ham, cooked			g	45	48	48	42	47	44	45	43	45	45	46	38	43
	5903			Chicken and turkey, cooked		g	42	41	42	44	37	44	42	36	41	39	40	34	30
	5904			Takeaway chicken		g	6	4	5	5	5	4	3	4	4	7	6	6	4
	6201		Corned beef, canned or sliced			g	18	20	18	15	15	15	20	15	17	16	11	12	10
	6601		Other cooked meat			g	12	13	16	13	12	13	14	12	17	14	16	16	15
	7102		Other canned meat and canned meat products			g	45	43	55	51	58	46	47	47	43	43	50	35	36
	7401		Chicken, uncooked - whole chicken or chicken pieces			g	190	164	163	159	157	173	166	173	171	147	184	191	159
	7703			Turkey, uncooked - whole turkey or turkey pieces		g	22	29	21	18	25	17	26	19	13	13	8	11	7
	7704			Poultry other than chicken or turkey, uncooked		g	3	4	3	2	5	7	3	8	2	1	3	2	1
	7801		Other fresh, chilled and frozen meat			g	1	1	4	1	1	2	1	5	0	0	2	0	1
	7901		Sausages, uncooked - pork			g	57	60	66	61	62	56	64	57	62	64	65	66	58
	8001		Sausages, uncooked - beef and other sausages			g	18	10	13	9	8	10	9	7	6	6	8	5	5
	8302			Meat pies, ready to eat		g	45	44	26	24	15	17	16	13	17	15	17	16	17
	8303			Sausage rolls, ready to eat		g	11	8	11	12	12	12	14	14	13	15	17	13	10
	8401		Meat pies, pasties and puddings, frozen or not frozen			g	49	40	64	56	67	70	71	75	72	75	79	70	61
	8501		Burgers, frozen or not frozen			g	28	22	29	25	20	25	22	25	21	22	28	20	23
	8901			Complete meat-based ready meals, frozen or not frozen		g	91	91	101	107	117	106	106	98	105	122	133	132	119
	8902			Other convenience meat products, frozen or not frozen		g	49	50	51	49	51	57	61	61	64	66	80	74	79
	9301			Pate		g	3	2	2	3	3	3	3	2	3	3	4	3	4
	9302			Delicatessen type sausages		g	7	8	11	8	7	8	7	7	7	7	10	9	10
	9403		Meat pastes and spreads			g	2	2	2	2	2	2	1	2	2	2	1	2	1
	9501			Takeaway meat pies and pasties		g	4	3	4	4	3	3	2	4	3	2	3	3	2
	9502			Takeaway burger and bun		g	4	3	5	4	5	5	4	3	3	3	3	4	2
	9503			Takeaway kebabs		g	7	10	6	7	9	8	6	11	7	6	5	12	4
	9504			Takeaway sausages and saveloys		g	3	2	3	2	2	2	2	2	2	2	3	2	2
	9505			Takeaway meat based meals		g	28	26	29	28	24	21	26	22	25	31	27	18	14
	9506			Takeaway miscellaneous meats		g	0	0	0	0	0	0	0	0	0	0	0	0	0
	10201			White fish, fresh or chilled		g	23	17	17	28	17	31	18	17	18	13	16	12	16
