Name,Title,Date,Organisation Name,Type of Hospitality Received
Gill Aitken,"Director General, Legal Group",Nil Return,,
Ian Cheshire,Non-executive member of the Departmental Board,Nil Return,,
John Clare,Non-executive member of the Departmental Board,Nil Return,,
Robert Devereux,Permanent Secretary,18-May,Confederation of British Industry,Annual Dinner
Robert Devereux,Permanent Secretary,19-May,HASSRA,Dinner
Robert Devereux,Permanent Secretary,24-May,Local Government Association,Dinner
Clara Furse,Non-executive member of the Departmental Board,Nil Return,,
Joe Harley,Government and DWP Chief Information Officer,6-7 April,HP ,Meals 
Joe Harley,Government and DWP Chief Information Officer,11-May,Intellect  ,Annual dinner
Joe Harley,Government and DWP Chief Information Officer,18-May,IBM / Confederation of British Industry ,Dinner
Joe Harley,Government and DWP Chief Information Officer,26-May,Intellect / Confederation of British Industry,Dinner
Richard Heaton,"Director General, Strategy, Pensions and Transformation",06-May,JP Morgan ,Lunch
Richard Heaton,"Director General, Strategy, Pensions and Transformation",18-May,Association of British Insurers,Lunch
Vivien Hopkins,"Interim Chief Executive, Pension, Disability and Carers Service",Nil Return,,
Chris Last,"Director General, Human Resources",6-7 June ,European Institute of Public Administration ,Travel and overnight accommodation in Budapest while representing the UK Civil Service at an EIPA meeting. 
David Lister,Non-executive member of the Departmental Board,Nil Return,,
Terry Moran,"Director General, Universal Credit",Nil Return,,
Hunada Nouss,"Director General, Finance ",Nil Return,,
Sue Owen,"Director General, Welfare and Wellbeing",Nil Return,,
Geoffrey Podger,"Chief Executive, Health and Safety Executive",05-May,IOSH,Lunch 
Geoffrey Podger,"Chief Executive, Health and Safety Executive",11-May,Energy Networks Association,Dinner
Geoffrey Podger,"Chief Executive, Health and Safety Executive",26-May,IOSH ,Vice President’s Lunch
Willy Roe,Non-executive member of the Departmental Board,Nil Return,,
Noel Shanahan,"Commissioner, Child Maintenance and Enforcement Commission",Nil Return,,
Adam Sharples,"Director General, Employment Group",30-Jun,Inclusion (Welfare to Work Convention Network),Dinner 
Darra Singh,"Chief Executive, Jobcentre Plus",14-Apr,Association of Chief Executives,Annual Dinner & overnight accommodation
Darra Singh,"Chief Executive, Jobcentre Plus",23-Jun,Penna plc,Local Government Achievement Awards and Dinner
