Department,Merchant,Merchant Location,MCC,MCC Description,Date Occurred, Amount
Governance,WWW.ABBEYACCESS.CO,"01639 849847,  SA9  1DT",5251,Hardware Stores,14/12/2016,102.99
Governance,WWW.ABBEYACCESS.CO,"01639 849847,  SA9  1DT",5251,Hardware Stores,16/12/2016,39.99
Governance,STK SHUTTERSTOCK.COM,"02070234958, GBR EC1M 4BH",7333,"Commercial Photography, Art, Graphics",20/12/2016,39.56
Governance,DTEC COMPUTERS LTD,"PENRITH,  CA11 9HL",7379,"Computer Maintenance, Repair, and Services Not Els",16/12/2016,44
Governance,MAILCHIMP,"MAILCHIMP.COM, GA 30308",7399,Business Services-Not Elsewhere Classified,12/12/2016,56.34
Communities,DUTYPOINT LTD,"GLOUCESTER,  GL2 5EL",5211,"Building Materials, Lumber Stores",07/12/2016,271.98
Finance,B&M RETAIL LTD,"PENRITH,  CA11 7PG",5310,Discount Stores,09/12/2016,19.95
Finance,Amazon UK Marketplace,"800-279-6620, LUX L2338",5942,Book Stores,01/12/2016,50.76
Governance,Amazon UK Marketplace,"800-279-6620, LUX L2338",5942,Book Stores,08/12/2016,202.45
Finance,Amazon UK Marketplace,"800-279-6620, LUX L2338",5942,Book Stores,20/12/2016,136.98
Finance,Amazon UK Marketplace,"800-279-6620, LUX L2338",5942,Book Stores,21/12/2016,83.93
Communities,WOODWARD SAFETY HEALTH,"CARLISLE, GBR CA1 2SS",8244,Business and Secretarial Schools,09/12/2016,144.84
Communities,WWW.IOSH.CO.UK,"INTERNET, GBR LE18 1NN",8699,Membership Organizations-Not Elsewhere Classified,21/12/2016,108
Governance,DISCLOSURE SCOT,"EDINBURGH, GBR G51 1DZ",9399,Government Services-Not Elsewhere Classified,13/12/2016,25
Finance,AMAZON UK RETAIL AMAZO,"AMAZON.CO.UK, LUX 00000",5999,Miscellaneous and Specialty Retail Stores,04/12/2016,28.45
Finance,DTEC COMPUTERS LTD,"PENRITH,  CA11 9HL",7379,"Computer Maintenance, Repair, and Services Not Els",09/12/2016,15
Governance,Amazon UK Marketplace,"800-279-6620, LUX L2338",5942,Book Stores,05/12/2016,15.98
Communities,Amazon EU,"AMAZON.CO.UK, LUX L2338",5969,Direct Marketers - Other,02/12/2016,14.02
Communities,AMAZON UK RETAIL AMAZO,"AMAZON.CO.UK, LUX 00000",5999,Miscellaneous and Specialty Retail Stores,02/12/2016,14.02
Governance,DISCLOSURE SCOT,"EDINBURGH, GBR G51 1DZ",9399,Government Services-Not Elsewhere Classified,21/12/2016,25
