Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
DCMS,National Gallery,28/01/2011,Building & Maintenance,Building (Core),Norland Managed Services Limited,10171481,"131,833.32"
DCMS,National Gallery,01/02/2011,Contract cleaning,Office Services & Cleaning,DOC Cleaning Limited,10171464,"50,626.03"
DCMS,National Gallery,01/02/2011,Electricity,Building (Core),EDF Energy 1 Limited,10171460,"64,427.21"
DCMS,National Gallery,03/02/2011,Advertising,Marketing,Total Media Limited,10171691,"32,694.23"
DCMS,National Gallery,08/02/2011,Building & Maintenance,Building (Core),ERCO Lighting Limited,10171653,"24,256.00"
DCMS,National Gallery,10/02/2011,Building & Maintenance,Building (Core),Capri Mechanical Services Ltd,10171626,"29,268.40"
DCMS,National Gallery,10/02/2011,Building & Maintenance,Building (Core),Capri Mechanical Services Ltd,10171623,"21,489.40"
DCMS,National Gallery,14/02/2011,Rent & Rates,Building (Core),Montagu Evans LLP,10171629,"165,565.83"
DCMS,National Gallery,15/02/2011,Grants Paid,Curatorial,National Gallery Company Ltd,10171641,"64,667.00"
DCMS,National Gallery,23/02/2011,Computer Hardware,Information Systems,Port-P Limited,10172027,"47,826.26"
DCMS,National Gallery,23/02/2011,Pictures,Central,Witheld,10172099,"67,500.00"
DCMS,National Gallery,24/02/2011,Building & Maintenance,Building (Core),Fairhurst Ward Abbotts Ltd.,10171799,"141,000.00"
DCMS,National Gallery,24/02/2011,Building & Maintenance,Building (Core),Fairhurst Ward Abbotts Ltd.,10171800,"264,000.00"
DCMS,National Gallery,25/02/2011,Building & Maintenance,Building (Core),Norland Managed Services Limited,10172057,"131,833.32"
DCMS,National Gallery,03/03/2011,Building & Maintenance,Building (Core),Capri Mechanical Services Ltd,10172117,"31,700.00"
DCMS,National Gallery,03/03/2011,Building & Maintenance,Building (Core),Capri Mechanical Services Ltd,10172120,"37,395.35"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,"1,306,082.35"
,,,,,,,
,,,`,,,,
