Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Dept code,
03-Aug-10,Strategic/Core Funding,SSC Programme,Institute of the Motor Industry (IMI),326LC3,137557,PR1,
06-Aug-10,Project Funding,SSC Programme,Council for Administration,507CON PO2604,198000,QR1,
06-Aug-10,Project Funding,SSC Programme,SEMTA,DP4 Reimbursement,105945.46,QR1,
06-Aug-10,Research,UKCES Programme,Joseph Rowntree Foundation,000006065,34750,RP1,
13-Aug-10,Strategic/Core Funding,SSC Programme,SEMTA,318LC3,139680,PR1,
13-Aug-10,Strategic/Core Funding,SSC Programme,Financial Services Skills Council,309LC2,137083,PR1,
13-Aug-10,Strategic/Core Funding,SSC Programme,Creative & Cultural Skills,324LC4,146391,PR1,
13-Aug-10,Strategic/Core Funding,SSC Programme,Lantra,302LC3,148835,PR1,
13-Aug-10,Strategic/Core Funding,SSC Programme,SKills for Health,320LC3,141780,PR1,
13-Aug-10,Strategic/Core Funding,SSC Programme,SummitSkills,322LC3,140725,PR1,
13-Aug-10,Strategic/Core Funding,SSC Programme,Skillsmart Retail,305LC3,144835,PR1,
13-Aug-10,Strategic/Core Funding,SSC Programme,Skills for Logistics,314LC3,151817,PR1,
13-Aug-10,Strategic/Core Funding,SSC Programme,Asset Skills,312LC3,139733,PR1,
13-Aug-10,Strategic/Core Funding,SSC Programme,Proskills UK,317LC4,137070,PR1,
13-Aug-10,Strategic/Core Funding,SSC Programme,SkillsActive,319LC3,143613,PR1,
13-Aug-10,Strategic/Core Funding,SSC Programme,Lifelong Learning UK,316LC2,122665.92,PR1,
13-Aug-10,Strategic/Core Funding,SSC Programme,GoSkills,315LC3,184667,PR1,
13-Aug-10,Project Funding,SSC Programme,e-skills UK,NOS Payment,55556,QR1,
13-Aug-10,Strategic/Core Funding,SSC Programme,e-skills UK,308LC4,184890,PR1,
13-Aug-10,Strategic/Core Funding,SSC Programme,Skillset,301LC3,158779,PR1,
13-Aug-10,Strategic/Core Funding,SSC Programme,People 1st,311LC3,167390,PR1,
13-Aug-10,Project Funding,SSC Programme,Skillset,IAG Qtr 1,246450,PR1,
13-Aug-10,Marketing,UKCES Programme,Central Office of Information,727542,163702.53,CO1,"this payment was for the Youth Unemployment Campaign which was undertake prior to the comms freeze, but was offset against a credit note for £117k"
13-Aug-10,Project Funding,SSC Programme,GoSkills,DP4 Reimbursement,79288.9,QR1,
13-Aug-10,Project Funding,SSC Programme,SkillsActive,NOS Payment,51420,QR1,
13-Aug-10,Strategic/Core Funding,SSC Programme,GoSkills,315LC3,184667,PR1,
13-Aug-10,Strategic/Core Funding,SSC Programme,Skills for Justice,313LC3,130991,PR1,
13-Aug-10,Strategic/Core Funding,SSC Programme,ConstructionSkills,307LC3,149870,PR1,
13-Aug-10,Strategic/Core Funding,SSC Programme,Energy & Utility Skills,323LC3,136068,PR1,
13-Aug-10,Strategic/Core Funding,SSC Programme,Cogent,304LC3,136517,PR1,
13-Aug-10,Strategic/Core Funding,SSC Programme,Institute of the Motor Industry (IMI),326LC3,137557,PR1,
13-Aug-10,Strategic/Core Funding,SSC Programme,Improve Ltd,310LC3,138877,PR1,
13-Aug-10,Project Funding,SSC Programme,GoSkills,NOS Payment,46914,QR1,
19-Aug-10,Strategic/Core Funding,SSC Programme,Skills for Care & Development,321LC3,140334,PR1,
20-Aug-10,Research,UKCES Programme,IFF Research,11093,191422.78,RP1,
27-Aug-10,Project Funding,SSC Programme,Skills-Third Sector,STS DC 10/11 - Mth 5,80416.67,PR1,
