Body Name,Service Area,Expense Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
TfGM,Transport,Vehicle Costs,01/04/2015,1200033328,"1,058.61",ALLSTAR
TfGM,Transport,Capital Costs - Land Acquisition and Related Costs,02/04/2015,1900039643,"7,000.00",HOWARTH HOLT BELL LIMITED
TfGM,Transport,Capital Costs - Health & Safety Support Services,08/04/2015,5100077422,"1,632.00",AA PROJECTS LTD
TfGM,Transport,Capital Costs - Acoustic & Engineering Support Services,08/04/2015,5100077541,"2,700.00",ACOUSTIC & ENGINEERING CONSULTANTS
TfGM,Transport,Capital Costs - Acoustic & Engineering Support Services,08/04/2015,5100077542,"1,125.00",ACOUSTIC & ENGINEERING CONSULTANTS
TfGM,Transport,Capital Costs - Acoustic & Engineering Support Services,08/04/2015,5100077543,"2,700.00",ACOUSTIC & ENGINEERING CONSULTANTS
TfGM,Transport,Capital Costs - Acoustic & Engineering Support Services,08/04/2015,5100077544,"2,700.00",ACOUSTIC & ENGINEERING CONSULTANTS
TfGM,Transport,Capital Costs - Acoustic & Engineering Support Services,08/04/2015,5100077545,"2,250.00",ACOUSTIC & ENGINEERING CONSULTANTS
TfGM,Transport,Capital Costs - Project Support Services,08/04/2015,5100076619,"8,880.00",AECOM LTD
TfGM,Transport,Community Engagement Services,08/04/2015,5100077368,(864.75),AECOM LTD
TfGM,Transport,Highway Support Services,08/04/2015,5100077636,"3,875.00",AECOM LTD
TfGM,Corporate Services,Project Management Services,08/04/2015,5100077094,"1,960.00",AJILON UK LIMITED T/A COMPUTER PEOP
TfGM,Transport,Vehicle Costs,08/04/2015,1200033382,983.71,ALLSTAR
TfGM,Corporate Services,Smart Ticketing,08/04/2015,5100077592,"6,650.00",AMSACOM LIMITED
TfGM,Transport,Capital Costs - Print & Media,08/04/2015,5100076661,700.00,ANDOTWIN STUDIO LTD
TfGM,Transport,Paper and Printing Consumables,08/04/2015,5100076374,"1,552.73",ANTALIS LTD
TfGM,Transport,Paper and Printing Consumables,08/04/2015,5100076655,776.37,ANTALIS LTD
TfGM,Transport,Paper and Printing Consumables,08/04/2015,5100076858,"1,475.68",ANTALIS LTD
TfGM,Transport,Print & Media,08/04/2015,5100078105,456.76,ARCO LTD
TfGM,Transport,Heavy Rail Support Services,08/04/2015,5100077705,"10,000.00",ASSOC OF COMMUNITY RAIL PARTNERSHIP
TfGM,Transport,Capital Costs - Print & Media,08/04/2015,5100076325,600.00,ASTRA SIGNS
TfGM,Transport,Capital Costs - Health & Safety Support Services,08/04/2015,5100072528,"6,695.00",ATKINS LTD
TfGM,Transport,Capital Costs - Programme and Project Management Services,08/04/2015,5100076695,"11,962.50",ATKINS LTD
TfGM,Transport,Capital Costs - Project Support Services,08/04/2015,5100077388,"(2,061.45)",ATKINS LTD
TfGM,Transport,Cycle Training Scheme,08/04/2015,5100076456,"2,400.00",BIKE RIGHT!
TfGM,Transport,Cycle Training Scheme,08/04/2015,5100076860,"2,400.00",BIKE RIGHT!
TfGM,Transport,Programme and Project Management Services,08/04/2015,5100077564,"12,300.00",BLACC LLP
TfGM,Transport,Capital Costs - Land Acquisition and Related Costs,08/04/2015,5100076875,600.00,BOLTON METROPOLITAN BOROUGH COUNCIL
TfGM,Transport,Driver Intervention Course Delivery Costs,08/04/2015,5100077397,"1,861.20",BOLTON WHITES HOTEL LTD
TfGM,Transport,Capital Costs - LRT Vehicles,08/04/2015,5100077280,"183,250.11",BOMBARDIER TRANSPORTATION UK LTD
TfGM,Transport,Capital Costs - LRT Vehicles,08/04/2015,5100077525,"458,125.29",BOMBARDIER TRANSPORTATION UK LTD
TfGM,Transport,Capital Costs - Capital Project Main Contract Works,08/04/2015,5100077024,"335,639.00",BOURNE CONSTRUCTION ENGINEERING LTD
TfGM,Transport,Capital Costs - Community Transport Support Services,08/04/2015,5100077282,994.25,BREAKTHROUGH UK LTD
TfGM,Transport,Capital Costs - Computer and Communications Equipment,08/04/2015,5100077068,960.00,BT ENGAGE IT
TfGM,Transport,Capital Costs - Utility & Service Diversion Costs,08/04/2015,5100075509,"55,082.35",BT OPENREACH (SALFORD)
TfGM,Transport,Capital Costs - Utility & Service Diversion Costs,08/04/2015,5100075510,"55,082.35",BT OPENREACH (SALFORD)
TfGM,Transport,Driver Intervention Course Delivery Costs,08/04/2015,5100076731,"6,000.00",BURY MBC
TfGM,Transport,Capital Costs - Project Support Services,08/04/2015,5100076519,"4,972.32",CANALS AND RIVERS TRUST
TfGM,Transport,Maintenance,08/04/2015,5100077659,"2,680.60",CANON UK LTD
TfGM,Transport,Security Services,08/04/2015,5100076367,"3,000.00",CARLISLE SECURITY SERVICES LTD
TfGM,Transport,Security Services,08/04/2015,5100076368,"5,000.00",CARLISLE SECURITY SERVICES LTD
TfGM,Transport,Security Services,08/04/2015,5100076376,"5,000.00",CARLISLE SECURITY SERVICES LTD
TfGM,Transport,Capital Costs - Project Support Services,08/04/2015,5100076630,"1,575.00",CDI ANDERSELITE LTD
TfGM,Corporate Services,Computer Support and Licences,08/04/2015,5100076361,"1,735.38",CERTERO LIMITED
TfGM,Corporate Services,Procurement Services,08/04/2015,5100077699,"13,680.00",CNC PERFORMANCE LTD
TfGM,Transport,Financial and Contract Management Services,08/04/2015,5100077698,"1,950.00",CONSULT.AUTUS LTD
TfGM,Transport,Training,08/04/2015,5100077206,540.00,CTC
TfGM,Transport,Sustainable Transport Support Services,08/04/2015,5100077209,"10,000.00",CTC
TfGM,Transport,Traffic and Transportation Surveys,08/04/2015,5100077694,595.00,CTS TRAFFIC & TRANSPORTATION
TfGM,Transport,Cycle Training Scheme,08/04/2015,5100076402,672.00,CYCLES RECYCLED CIC
TfGM,Transport,Capital Costs - Public Art,08/04/2015,5100076645,"8,000.00",DASHYLINE
TfGM,Corporate Services,Legal Services,08/04/2015,5100076690,615.00,DR JASON WELLS
TfGM,Transport,Project Management Services,08/04/2015,5100077294,"1,250.00",E KELLY
TfGM,Transport,Telecommunications,08/04/2015,5100076391,897.00,EASYNET GLOBAL SERVICES
TfGM,Transport,Traffic Signal Works,08/04/2015,5100077073,840.00,EASYNET GLOBAL SERVICES
TfGM,Transport,Telecommunications,08/04/2015,5100077708,"309,602.16",EASYNET GLOBAL SERVICES
TfGM,Transport,Highway Support Services,08/04/2015,5100076452,"22,739.93",EC HARRIS LLP
TfGM,Transport,Capital Costs - Utility & Service Diversion Costs,08/04/2015,5100076411,"31,440.23",ELECTRICITY NORTH WEST EHV
TfGM,Transport,Capital Costs - Utility & Service Diversion Costs,08/04/2015,5100077102,"44,939.51",ELECTRICITY NORTH WEST EHV
TfGM,Transport,Capital Costs - Utility & Service Diversion Costs,08/04/2015,5100077104,"27,514.34",ELECTRICITY NORTH WEST EHV
TfGM,Transport,Capital Costs - Utility & Service Connection Costs,08/04/2015,5100077114,"3,398.78",ELECTRICITY NW (CONSTRUCT & MAINT)
TfGM,Transport,Programme and Project Management Services,08/04/2015,5100077624,"3,900.00",EM INTERIM LTD
TfGM,Transport,Driver Intervention Course Delivery Costs,08/04/2015,5100077567,"3,850.00",ENTERPRISE SOLUTIONS (NW) LTD
TfGM,Transport,Training,08/04/2015,5100076697,"1,600.00",EP MORRIS
TfGM,Transport,Paper and Printing Consumables,08/04/2015,5100076715,"69,251.88",ESP SYSTEX LTD
TfGM,Transport,Paper and Printing Consumables,08/04/2015,5100076717,"10,023.53",ESP SYSTEX LTD
TfGM,Transport,Capital Costs - Project Support Services,08/04/2015,5100076786,814.22,EURA CONSERVATION LTD
TfGM,Transport,Vehicle Repairs & Maintenance,08/04/2015,5100077201,478.50,EYE COMMERCIALS LTD
TfGM,Transport,Capital Costs - Engineering Support Services,08/04/2015,5100077284,"1,540.00",FREMONT LTD
TfGM,Transport,Driver Intervention Course Delivery Costs,08/04/2015,5100077581,"1,203.40",G WEBSTER
TfGM,Corporate Services,Maintenance,08/04/2015,5100077376,"107,541.60",GEMMA LIGHTING LTD
TfGM,Transport,Capital Costs - Architectural Services,08/04/2015,5100075286,"1,428.44",GILLESPIES
TfGM,Transport,Capital Costs - Architectural Services,08/04/2015,5100076490,"2,732.06",GILLESPIES
TfGM,Transport,Highway Safety Support Services,08/04/2015,5100076664,"25,804.00",GTR MAN FIRE AND RESCUE SERVICE
TfGM,Transport,Subscriptions,08/04/2015,1900039685,"1,195.00",GTR MANCHESTER CHAMBER OF COMMERCE
TfGM,Transport,Research Services,08/04/2015,5100076708,"9,945.90",HALCROW GROUP LTD
TfGM,Transport,Temporary Vacancy Cover,08/04/2015,1900039644,"8,931.90",HAYS SPECIALIST RECRUITMENT LTD
TfGM,Transport,Print & Media,08/04/2015,5100076949,"1,505.00",HEMISPHERE DESIGN & MRKTNG
TfGM,Transport,Financial and Commercial Support Services,08/04/2015,5100077650,"11,732.50",HYRAX RESOURCING LTD
TfGM,Transport,Engineering Support Services,08/04/2015,5100076366,"1,100.00",IAN ROUTLEDGE CONSULTANCY
TfGM,Transport,Capital Costs - Site Clearance,08/04/2015,5100074358,"12,800.00",JAMIESON CONTRACTING (MCR) LTD
TfGM,Transport,Capital Costs - Site Clearance,08/04/2015,5100074991,"8,896.44",JAMIESON CONTRACTING (MCR) LTD
TfGM,Transport,Capital Costs - Site Clearance,08/04/2015,5100075436,500.00,JAMIESON CONTRACTING (MCR) LTD
TfGM,Transport,Capital Costs - Property Support Services,08/04/2015,5100076632,"13,812.31",JAMIESON CONTRACTING (MCR) LTD
TfGM,Corporate Services,Procurement Services,08/04/2015,5100077536,"3,737.50",JETFIRE ASSOCIATES LIMITED
TfGM,Transport,Project Support Services,08/04/2015,5100076733,"2,026.00",JMP LTD
TfGM,Corporate Services,Procurement Services,08/04/2015,5100077656,"10,725.00",JON MAYOR LTD
TfGM,Corporate Services,Procurement Services,08/04/2015,5100077658,"11,550.00",JULIAN BENSON ASSOCIATES LTD
TfGM,Transport,Capital Costs - Capital Project Main Contract Works,08/04/2015,5100077526,"602,734.73",KIER CONSTRUCTION - NORTHERN
TfGM,Transport,Print & Media,08/04/2015,5100076711,819.00,KIND CREATIVE LTD
TfGM,Corporate Services,IS Support Services,08/04/2015,5100076831,"17,510.42",KONICA MINOLTA (UK)
TfGM,Corporate Services,Other Operational Costs,08/04/2015,5100077283,473.83,LEEDS CITY COUNCIL
TfGM,Transport,Capital Costs - Land Acquisition and Related Costs,08/04/2015,5100076620,612.50,LESLIE ROBERTS AND CO LTD
TfGM,Transport,Vehicle Costs,08/04/2015,5100076611,"11,168.17",Lloyd Morgan Group
TfGM,Transport,Traffic Signal Works,08/04/2015,5100076546,"2,222.74",MANCHESTER CITY COUNCIL
TfGM,Transport,Driver Intervention Course Delivery Costs,08/04/2015,5100076784,"2,554.66",MANCHESTER CITY COUNCIL
TfGM,Corporate Services,IS Support Services,08/04/2015,5100076400,"6,325.00",MAPSAR LTD
TfGM,Transport,Capital Costs - Programme and Project Management Services,08/04/2015,5100076621,"1,820.00",MATCHTECH GROUP PLC
TfGM,Transport,Temporary Vacancy Cover,08/04/2015,5100076622,"1,568.00",MATCHTECH GROUP PLC
TfGM,Transport,CCTV Equipment,08/04/2015,5100076646,"1,392.00",METFAST LTD
TfGM,Transport,Consultation Support Services,08/04/2015,5100077691,"6,750.00",MIKE BARTRAM LTD
TfGM,Transport,Print & Media,08/04/2015,5100076618,596.02,MIRAGE DISPLAY LTD
TfGM,Corporate Services,Project Management Services,08/04/2015,5100076713,"5,425.00",MORSON INTERNATIONAL
TfGM,Transport,Capital Costs - Programme and Project Management Services,08/04/2015,5100076720,"4,111.92",MORSON INTERNATIONAL
TfGM,Transport,Capital Costs - Programme and Project Management Services,08/04/2015,5100076722,"2,995.20",MORSON INTERNATIONAL
TfGM,Transport,Capital Costs - Programme and Project Management Services,08/04/2015,5100076728,"1,950.00",MORSON INTERNATIONAL
TfGM,Transport,Capital Costs - Programme and Project Management Services,08/04/2015,5100076730,"1,690.00",MORSON INTERNATIONAL
TfGM,Transport,Capital Costs - Programme and Project Management Services,08/04/2015,5100076737,"1,825.00",MORSON INTERNATIONAL
TfGM,Transport,Metrolink Operating Costs,08/04/2015,5100076761,"187,842.31",MPACT THALES
TfGM,Transport,Metrolink Operating Costs,08/04/2015,5100076762,"77,447.04",MPACT THALES
TfGM,Transport,Metrolink Operating Costs,08/04/2015,5100076763,"340,475.09",MPACT THALES
TfGM,Transport,Capital Costs - Capital Project Main Contract Works,08/04/2015,5100076881,"30,792.49",MPACT THALES
TfGM,Corporate Services,Legal Services,08/04/2015,5100076689,"1,000.00",MR A FORREST
TfGM,Transport,Capital Costs - Engineering Support Services,08/04/2015,5100077327,"1,970.00",NEIL CLARKE LTD
TfGM,Transport,Capital Costs - Engineering Support Services,08/04/2015,5100077642,"1,576.00",NEIL CLARKE LTD
TfGM,Transport,Capital Costs - Computer and Communications Equipment,08/04/2015,5100077267,"36,387.66",NETGENIUM SYSTEMS LTD
TfGM,Transport,Capital Costs - Rail Support Services,08/04/2015,5100073495,"7,340.50",NETWORK RAIL
TfGM,Transport,Capital Costs - Rail Construction Works,08/04/2015,5100076494,"375,000.00",NETWORK RAIL
TfGM,Transport,Exhibitions and Conferences,08/04/2015,5100076735,"9,524.97",NEXUS
TfGM,Transport,Property & Equipment Maintenance,08/04/2015,5100076658,"34,004.38",NOVUS PROPERTY SOLUTIONS LTD
TfGM,Corporate Services,Procurement Services,08/04/2015,5100077556,"11,550.00",OPUS BESTPAY LTD
TfGM,Corporate Services,Legal Services,08/04/2015,5100076615,"5,557.50",PANNONE CORPORATE LLP (EMP)
TfGM,Transport,Capital Costs - Programme and Project Management Services,08/04/2015,5100076363,"4,620.00",PARITY PROFESSIONALS LTD
TfGM,Transport,Concessionary Reimbursement,08/04/2015,1900039672,918.00,PEMBERTON TAXIS
TfGM,Transport,Capital Costs - Programme and Project Management Services,08/04/2015,5100076890,"2,058.55",PERTEMPS PROFESSIONAL STAFFING LTD
TfGM,Transport,Traffic and Transportation Surveys,08/04/2015,5100076682,542.50,PLUSWORK LTD
TfGM,Transport,Traffic and Transportation Surveys,08/04/2015,5100076683,434.00,PLUSWORK LTD
TfGM,Transport,Traffic and Transportation Surveys,08/04/2015,5100076714,"5,788.80",PLUSWORK LTD
TfGM,Transport,Traffic and Transportation Surveys,08/04/2015,5100076721,"5,176.65",PLUSWORK LTD
TfGM,Transport,Capital Costs - Programme and Project Management Services,08/04/2015,5100076340,"1,335.00",PRACTICUS LIMITED
TfGM,Corporate Services,Smart Ticketing,08/04/2015,5100076342,"2,061.00",PRACTICUS LIMITED
TfGM,Corporate Services,Smart Ticketing,08/04/2015,5100076774,"2,061.00",PRACTICUS LIMITED
TfGM,Transport,Capital Costs - Project Support Costs,08/04/2015,5100077717,"166,358.30",Q HOTELS SERVICES LTD
TfGM,Transport,Print & Media,08/04/2015,5100076886,"4,180.00",QUEST MEDIA NETWORK LTD
TfGM,Transport,Concessionary Reimbursement,08/04/2015,1900039660,"1,396.00",RADIO CABS T/A ECO TRAVEL
TfGM,Transport,Concessionary Reimbursement,08/04/2015,1900039667,"1,065.00",RADIO CARS OLDHAM
TfGM,Transport,Capital Costs - Computer and Communications Equipment,08/04/2015,5100075562,"3,560.69",RITTAL LIMITED
TfGM,Transport,Capital Costs - Computer and Communications Equipment,08/04/2015,5100076131,495.28,RITTAL LIMITED
TfGM,Transport,Capital Costs - Computer and Communications Equipment,08/04/2015,5100076377,"1,069.61",RITTAL LIMITED
TfGM,Corporate Services,Smart Ticketing,08/04/2015,5100076634,"2,340.00",Robert Walters Plc
TfGM,Corporate Services,Temporary Vacancy Cover,08/04/2015,5100076635,701.63,Robert Walters Plc
TfGM,Transport,Capital Costs - Programme and Project Management Services,08/04/2015,5100076636,"2,370.00",Robert Walters Plc
TfGM,Corporate Services,Temporary Maternity Cover,08/04/2015,5100076637,"1,395.40",Robert Walters Plc
TfGM,Transport,Capital Costs - Programme and Project Management Services,08/04/2015,5100076638,"2,370.00",Robert Walters Plc
TfGM,Transport,Capital Costs - Programme and Project Management Services,08/04/2015,5100076640,"2,370.00",Robert Walters Plc
TfGM,Transport,Capital Costs - Programme and Project Management Services,08/04/2015,5100076641,"2,370.00",Robert Walters Plc
TfGM,Transport,Capital Costs - Programme and Project Management Services,08/04/2015,5100076643,948.00,Robert Walters Plc
TfGM,Transport,Postage Costs,08/04/2015,5100077434,909.49,ROYAL MAIL GROUP PLC
TfGM,Transport,Traffic Signal Works,08/04/2015,5100076423,"15,150.03",SIEMENS PLC
TfGM,Transport,Traffic Signal Works,08/04/2015,5100076424,"85,619.46",SIEMENS PLC
TfGM,Transport,Traffic Signal Works,08/04/2015,5100076564,"2,877.06",SIEMENS PLC
TfGM,Transport,Traffic Signal Works,08/04/2015,5100076665,"22,534.22",SIEMENS PLC
TfGM,Transport,Traffic Signal Works,08/04/2015,5100076666,"2,059.48",SIEMENS PLC
TfGM,Transport,Traffic Signal Works,08/04/2015,5100076667,"26,538.58",SIEMENS PLC
TfGM,Transport,Traffic Signal Works,08/04/2015,5100076780,"33,742.65",SIEMENS PLC
TfGM,Transport,Traffic Signal Works,08/04/2015,5100076781,"2,343.92",SIEMENS PLC
TfGM,Transport,Traffic Signal Works,08/04/2015,5100077410,(768.69),SIEMENS PLC
