"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Transport","Northern Lighthouse Board","Chief Executive's Office","NLB01","D","26712","29388","Assistant to the Chief Executive/Secretary to the Board","1.00","Policy"
"Department for Transport","Northern Lighthouse Board","Chief Executive's Office","NLB01","E","33072","36384","Compliance Officer","1.00","Knowledge and Information Management (KIM)"
"Department for Transport","Northern Lighthouse Board","Chief Executive's Office","NLB01","E","33072","36384","Health & Safety Officer","2.60","Human Resources"
"Department for Transport","Northern Lighthouse Board","Chief Executive's Office","NLB01","A","18024","19668","HR Administrator","1.00","Human Resources"
"Department for Transport","Northern Lighthouse Board","Chief Executive's Office","NLB01","E","33072","36384","HR Adviser","2.00","Human Resources"
"Department for Transport","Northern Lighthouse Board","Chief Executive's Office","NLB01","C","23208","25524","HR Co-ordinator","1.00","Human Resources"
"Department for Transport","Northern Lighthouse Board","Chief Executive's Office","NLB01","SM1","51552","56712","HR Manager","0.80","Human Resources"
"Department for Transport","Northern Lighthouse Board","Chief Executive's Office","NLB01","E","33072","36384","Information Officer","0.90","Knowledge and Information Management (KIM)"
"Department for Transport","Northern Lighthouse Board","Chief Executive's Office","NLB01","C","23208","25524","Quality, Health, Safety & Environment Assistant","1.00","Human Resources"
"Department for Transport","Northern Lighthouse Board","Chief Executive's Office","NLB01","SM1","51552","56712","Quality, Health, Safety & Environment Manager","1.00","Human Resources"
"Department for Transport","Northern Lighthouse Board","Chief Executive's Office","NLB01","SM1","51552","56712","Risk, Quality Assurance & Compliance Manager","1.00","Knowledge and Information Management (KIM)"
"Department for Transport","Northern Lighthouse Board","Finance & Admin. Dept","NLB02","A","18024","19668","Assistant Facilities Officer","1.00","Property and asset management"
"Department for Transport","Northern Lighthouse Board","Finance & Admin. Dept","NLB02","C","23208","25524","Commercial Administrator","1.00","Procurement"
"Department for Transport","Northern Lighthouse Board","Finance & Admin. Dept","NLB02","SM1","51552","56712","Commercial Manager","1.00","Procurement"
"Department for Transport","Northern Lighthouse Board","Finance & Admin. Dept","NLB02","D","26712","29388","Facilities Officer","1.00","Property and asset management"
"Department for Transport","Northern Lighthouse Board","Finance & Admin. Dept","NLB02","B","19752","21576","Finance Assistant","1.00","Finance"
"Department for Transport","Northern Lighthouse Board","Finance & Admin. Dept","NLB02","SM1","51552","56712","Finance Manager","1.00","Finance"
"Department for Transport","Northern Lighthouse Board","Finance & Admin. Dept","NLB02","E","33072","36384","Financial Accountant","0.80","Finance"
"Department for Transport","Northern Lighthouse Board","Finance & Admin. Dept","NLB02","SM1","51552","56712","Information Systems Manager","1.00","Information Technology"
"Department for Transport","Northern Lighthouse Board","Finance & Admin. Dept","NLB02","D","26712","29388","MIS System Manager","1.00","Programme and Project Management (PPM)"
"Department for Transport","Northern Lighthouse Board","Finance & Admin. Dept","NLB02","F","44064","48468","Network Manager","1.00","Information Technology"
"Department for Transport","Northern Lighthouse Board","Finance & Admin. Dept","NLB02","D","26712","29388","PA to Director of Finance","1.00","Finance"
"Department for Transport","Northern Lighthouse Board","Finance & Admin. Dept","NLB02","C","23208","25524","Payments Supervisor","2.00","Finance"
"Department for Transport","Northern Lighthouse Board","Finance & Admin. Dept","NLB02","D","26712","29388","Payroll Administrator","0.50","Finance"
"Department for Transport","Northern Lighthouse Board","Finance & Admin. Dept","NLB02","D","26712","29388","Procurement Administrator","1.00","Procurement"
"Department for Transport","Northern Lighthouse Board","Finance & Admin. Dept","NLB02","E","33072","36384","Procurement Officer","1.00","Procurement"
"Department for Transport","Northern Lighthouse Board","Finance & Admin. Dept","NLB02","A","18024","19668","Receptionist","1.00","Communications"
"Department for Transport","Northern Lighthouse Board","Finance & Admin. Dept","NLB02","D","26712","29388","SharePoint Administrator","1.00","Information Technology"
"Department for Transport","Northern Lighthouse Board","Finance & Admin. Dept","NLB02","A","18024","19668","Stores Assistant","1.00","Property and asset management"
"Department for Transport","Northern Lighthouse Board","Finance & Admin. Dept","NLB02","C","23208","25524","Stores Supervisor","1.00","Property and asset management"
"Department for Transport","Northern Lighthouse Board","Finance & Admin. Dept","NLB02","F","44064","48468","Systems Analyst","1.00","Information Technology"
"Department for Transport","Northern Lighthouse Board","Finance & Admin. Dept","NLB02","F","44064","48468","Technical Systems Manager","1.00","Information Technology"
"Department for Transport","Northern Lighthouse Board","Finance & Admin. Dept","NLB02","D","26712","29388","Technical Systems Officer","1.80","Information Technology"
"Department for Transport","Northern Lighthouse Board","Finance & Admin. Dept","NLB02","C","23208","25524","Commercial Co-ordinator","1.00","Procurement"
"Department for Transport","Northern Lighthouse Board","Engineering Dept","NLB03","F","44064","48468","Acceptance Engineer","1.00","Science and Engineering"
