Prompt Payment Report - 2013/14,,
,,
10 Day Prompt Payment Reporting,,
Name of organisation,UK Atomic Energy Authority (NDPB),
Reporting Month:,27 October - 23 November (P8),
,,
No. of invoices received,1347,
No. of invoices paid within 8 working days or less,1056,
No. of Invoices paid over 8 working days,276,
No. of disputed invoices*,15,
% of invoices paid within 8 days,79%,
,,
,,
Note:,,
,,
Disputed invoices are not included in statistics,,
The following payment types are excluded from the return:,,
Payments to Staff (e.g. salary or T&S costs),,
Foreign Currency Payments,,
Any Grant Payments,,
,,
,,
