Grade,Headcount 16-19,Percentage 16-19,Headcount 20-24,Percentage 20-24,Headcount 24-29,Percentage 24-29,Headcount 30-34,Percentage 30-34,Headcount 35-39,Percentage 35-39,Headcount 40-44,Percentage 40-44,Headcount  45-49,Percentage 45-49,Headcount 50-54,Percentage 50-54,Headcount  55-59,Percentage 55-59,Headcount  60-64,Percentage 60-64,Headcount 65 +,Percentage 65+,Grand Total
A1/AA,12,4.50%,60,22.60%,41,15.40%,20,7.50%,28,10.50%,18,6.80%,18,6.80%,20,7.50%,24,9.00%,23,8.60%,2,0.80%,266
A2/AO,14,0.60%,223,10.30%,353,16.40%,268,12.40%,265,12.30%,322,14.90%,256,11.90%,197,9.10%,175,8.10%,77,3.60%,9,0.40%,2159
Paralegal Assistant,,0.00%,26,18.30%,51,35.90%,26,18.30%,18,12.70%,11,7.70%,7,4.90%,1,0.70%,2,1.40%,,0.00%,,0.00%,142
B1/EO,,0.00%,37,2.10%,183,10.60%,252,14.50%,304,17.60%,377,21.80%,291,16.80%,154,8.90%,89,5.10%,36,2.10%,9,0.50%,1732
Paralegal Officer,,0.00%,1,1.00%,4,3.80%,13,12.50%,14,13.50%,30,28.80%,28,26.90%,6,5.80%,6,5.80%,2,1.90%,,0.00%,104
B2/HEO/LO,,0.00%,1,0.20%,41,10.00%,57,13.80%,61,14.80%,94,22.80%,73,17.70%,47,11.40%,32,7.80%,6,1.50%,,0.00%,412
Paralegal Business Manager,,0.00%,,0.00%,4,10.50%,3,7.90%,5,13.20%,12,31.60%,6,15.80%,5,13.20%,2,5.30%,1,2.60%,,0.00%,38
B3/SEO,,0.00%,,0.00%,14,7.50%,28,15.00%,29,15.50%,41,21.90%,36,19.30%,23,12.30%,11,5.90%,5,2.70%,,0.00%,187
Associate Prosecutor,,0.00%,8,1.70%,70,14.80%,76,16.10%,61,12.90%,106,22.40%,83,17.50%,47,9.90%,13,2.70%,8,1.70%,1,0.20%,473
Legal Trainee,,0.00%,2,6.10%,17,51.50%,8,24.20%,3,9.10%,2,6.10%,,0.00%,1,3.00%,,0.00%,,0.00%,,0.00%,33
Crown Prosecutor,,0.00%,4,4.80%,40,48.20%,19,22.90%,9,10.80%,2,2.40%,5,6.00%,2,2.40%,2,2.40%,,0.00%,,0.00%,83
Senior Crown Prosecutor,,0.00%,1,0.10%,63,3.80%,237,14.10%,223,13.30%,334,19.90%,323,19.30%,257,15.30%,147,8.80%,77,4.60%,13,0.80%,1675
Crown Advocate,,0.00%,,0.00%,13,1.50%,103,11.60%,139,15.70%,182,20.50%,172,19.40%,147,16.60%,89,10.00%,38,4.30%,3,0.30%,886
Senior Crown Advocate,,0.00%,,0.00%,1,2.40%,2,4.80%,6,14.30%,14,33.30%,10,23.80%,7,16.70%,1,2.40%,1,2.40%,,0.00%,42
Principal Crown Advocate,,0.00%,,0.00%,,0.00%,,0.00%,,0.00%,3,30.00%,4,40.00%,2,20.00%,1,10.00%,,0.00%,,0.00%,10
G6,,0.00%,,0.00%,,0.00%,4,10.80%,9,24.30%,7,18.90%,9,24.30%,3,8.10%,3,8.10%,1,2.70%,1,2.70%,37
G7,,0.00%,,0.00%,1,2.40%,15,36.60%,10,24.40%,5,12.20%,5,12.20%,2,4.90%,1,2.40%,2,4.90%,,0.00%,41
D,,0.00%,,0.00%,3,0.70%,24,5.80%,42,10.10%,86,20.60%,104,24.90%,82,19.70%,59,14.10%,17,4.10%,,0.00%,417
E,,0.00%,,0.00%,,0.00%,1,0.60%,11,6.70%,28,17.10%,39,23.80%,41,25.00%,34,20.70%,10,6.10%,,0.00%,164
CCP,,0.00%,,0.00%,,0.00%,,0.00%,2,4.00%,9,18.00%,19,38.00%,10,20.00%,8,16.00%,2,4.00%,,0.00%,50
SCS,,0.00%,,0.00%,,0.00%,,0.00%,1,2.80%,4,11.10%,13,36.10%,10,27.80%,6,16.70%,2,5.60%,,0.00%,36
ALL CPS,26,0.30%,363,4.00%,899,10.00%,1156,12.90%,1240,13.80%,1687,18.80%,1501,16.70%,1064,11.80%,705,7.80%,308,3.40%,38,0.40%,8987
