"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Environment, Food and Rural Affairs","CEFAS","Aquatic Health & Hygiene","3","PB2","13927","16086","Operations Support Officer","12.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","CEFAS","Aquatic Health & Hygiene","3","PB3","16645","19389","Executive Assistant","19.60","Science and Engineering"
"Department for Environment, Food and Rural Affairs","CEFAS","Aquatic Health & Hygiene","3","PB4","20581","24532","Scientist","49.69","Science and Engineering"
"Department for Environment, Food and Rural Affairs","CEFAS","Aquatic Health & Hygiene","3","PB5","25226","29889","Scientist","24.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","CEFAS","Aquatic Health & Hygiene","3","PB6","32021","38485","Scientist","15.57","Science and Engineering"
"Department for Environment, Food and Rural Affairs","CEFAS","Aquatic Health & Hygiene","3","PB7","41651","51905","Senior Operational Researcher","13.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","CEFAS","Aquatic Health & Hygiene","3","PB8","52351","62294","Senior Project Manager","5.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","CEFAS","Corporate","2","PB2","13927","16086","Operations Support Officer","0.81","Operational Delivery"
"Department for Environment, Food and Rural Affairs","CEFAS","Corporate","2","PB3","16645","19389","Operations Support Officer","8.32","Operational Delivery"
"Department for Environment, Food and Rural Affairs","CEFAS","Corporate","2","PB4","20581","24532","Executive Assistant","9.16","Operational Delivery"
"Department for Environment, Food and Rural Affairs","CEFAS","Corporate","2","PB5","25226","29889","Business Manager","5.62","Operational Delivery"
"Department for Environment, Food and Rural Affairs","CEFAS","Corporate","2","PB6","32021","38485","Senior Operational Manager","11.59","Operational Delivery"
"Department for Environment, Food and Rural Affairs","CEFAS","Corporate","2","PB7","41651","51905","Senior Operational Manager","4.81","Operational Delivery"
"Department for Environment, Food and Rural Affairs","CEFAS","Corporate","2","PB8","52351","62294","Senior Operational Manager","1.00","Operational Delivery"
"Department for Environment, Food and Rural Affairs","CEFAS","Environment & Ecosystems","3","PB2","13927","16086","Operations Support Officer","1.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","CEFAS","Environment & Ecosystems","3","PB3","16645","19389","Technical Adviser","12.62","Science and Engineering"
"Department for Environment, Food and Rural Affairs","CEFAS","Environment & Ecosystems","3","PB4","20581","24532","Operational Researcher","20.10","Science and Engineering"
"Department for Environment, Food and Rural Affairs","CEFAS","Environment & Ecosystems","3","PB5","25226","29889","Scientist","39.50","Science and Engineering"
"Department for Environment, Food and Rural Affairs","CEFAS","Environment & Ecosystems","3","PB6","32021","38485","Scientist","43.33","Science and Engineering"
"Department for Environment, Food and Rural Affairs","CEFAS","Environment & Ecosystems","3","PB7","41651","51905","Senior Operational Researcher","19.09","Science and Engineering"
"Department for Environment, Food and Rural Affairs","CEFAS","Environment & Ecosystems","3","PB8","52351","62294","Scientist","5.60","Science and Engineering"
"Department for Environment, Food and Rural Affairs","CEFAS","Fisheries","3","PB2","13927","16086","Operations Support Officer","1.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","CEFAS","Fisheries","3","PB3","16645","19389","Operations Support Officer","7.41","Science and Engineering"
"Department for Environment, Food and Rural Affairs","CEFAS","Fisheries","3","PB4","20581","24532","Scientist","30.70","Science and Engineering"
"Department for Environment, Food and Rural Affairs","CEFAS","Fisheries","3","PB5","25226","29889","Scientist","21.50","Science and Engineering"
"Department for Environment, Food and Rural Affairs","CEFAS","Fisheries","3","PB6","32021","38485","Scientist","18.04","Science and Engineering"
"Department for Environment, Food and Rural Affairs","CEFAS","Fisheries","3","PB7","41651","51905","Scientist","11.33","Science and Engineering"
"Department for Environment, Food and Rural Affairs","CEFAS","Fisheries","3","PB8","52351","62294","Scientist","2.46","Science and Engineering"
"Department for Environment, Food and Rural Affairs","CEFAS","Monitoring & Programme Management","3","PB2","13927","16086","Operations Support Officer","8.85","Science and Engineering"
"Department for Environment, Food and Rural Affairs","CEFAS","Monitoring & Programme Management","3","PB3","16645","19389","Project Support Officer","16.75","Science and Engineering"
"Department for Environment, Food and Rural Affairs","CEFAS","Monitoring & Programme Management","3","PB4","20581","24532","Project Support Officer","21.41","Science and Engineering"
"Department for Environment, Food and Rural Affairs","CEFAS","Monitoring & Programme Management","3","PB5","25226","29889","Project Support Officer","24.96","Science and Engineering"
"Department for Environment, Food and Rural Affairs","CEFAS","Monitoring & Programme Management","3","PB6","32021","38485","Senior Policy Adviser","21.87","Science and Engineering"
"Department for Environment, Food and Rural Affairs","CEFAS","Monitoring & Programme Management","3","PB7","41651","51905","Senior Operational Researcher","12.00","Science and Engineering"
"Department for Environment, Food and Rural Affairs","CEFAS","Monitoring & Programme Management","3","PB8","52351","62294","Senior Project Manager","3.80","Science and Engineering"
"Department for Environment, Food and Rural Affairs","CEFAS","Aquatic Health & Hygiene","3","FT","64226","70000","Senior Operational Manager","1.00","Operational Delivery"
"Department for Environment, Food and Rural Affairs","CEFAS","Corporate","2","FT","64226","70000","Senior Operational Manager","2.00","Operational Delivery"
"Department for Environment, Food and Rural Affairs","CEFAS","Environment & Ecosystems","3","FT","64226","70000","Senior Operational Manager","1.00","Operational Delivery"
"Department for Environment, Food and Rural Affairs","CEFAS","Fisheries","3","FT","64226","70000","Senior Operational Manager","1.00","Operational Delivery"
"Department for Environment, Food and Rural Affairs","CEFAS","Monitoring & Programme Management","3","FT","64226","70000","Senior Operational Manager","1.00","Operational Delivery"
