Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,01/07/2011,Library: Lion Project,Corporate Resources,Sweet & Maxwell Ltd,126836,"30,460.80",On-line legal resource system  
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,01/07/2011,Solicitor's Agents Fees,Litigation Division,Gallagher Bassett,488351,"28,554.00",Payment relating to claims handling services
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,06/07/2011,Accommodation: Rates,Corporate Resources,Camden NNDR,125136,"61,871.89",Payment of business rates 
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,12/07/2011,Photocopiers:Copy Charge&Maint,Corporate Resources,Altodigital (Uk) Limited,127048,"34,560.00",Payment for the rental  and usage of multi functional devices
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,13/07/2011,Expert Report,Litigation Division,Davis Langdon Llp,490295,"113,202.00",Payment relating to professional services or study offering an expert opinion in relation to a legal case
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,13/07/2011,Law Stationers/Copy Documents,Litigation Division,Legastat Ltd.,490288,"36,510.41",Payment for specialist legal copying service
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,13/07/2011,Expert Report,Litigation Division,Capita Symonds Limited,490307,"33,104.42",Payment relating to professional services or study offering an expert opinion in relation to a legal case
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,13/07/2011,Law Stationers/Copy Documents,Litigation Division,Legastat Ltd.,490461,"33,001.20",Payment for specialist legal copying service
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,13/07/2011,Expert Report,Litigation Division,Ea Technology Limited,490395,"28,821.60",Payment relating to professional services or study offering an expert opinion in relation to a legal case
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,15/07/2011,Library: Lion Project,Corporate Resources,Lexisnexis,127175,"690,000.00",On-line legal resource system  
HM Procurator General and Treasury Solicitor,Crown Prosecution Service Inspectorate,15/07/2011,Accommodation: Rent,Crown Prosecution Service Inspectorate,Collier & Madge,21525,"49,650.00",Payment of rent
HM Procurator General and Treasury Solicitor,Crown Prosecution Service Inspectorate,15/07/2011,Accommodation: Rent,Crown Prosecution Service Inspectorate,Drivers Jonas Deloitte,21521,"44,500.00",Payment of rent
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,15/07/2011,Expert Report,Litigation Division,Atkins Consultants Ltd,490739,"29,387.88",Payment relating to professional services or study offering an expert opinion in relation to a legal case
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,15/07/2011,Network Services,Corporate Resources,Cable & Wireless,127171,"25,650.52","Payment relating to the provision of a hosting service for the LION database, the Government Legal Service intranet"
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,19/07/2011,Accommodation: Service Charges,Corporate Resources,Civil Aviation Authority,127274,"221,536.49",Payment of service charges 
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,20/07/2011,Counsel Fees,Litigation Division,Ms Rosemary Davidson,491814,"26,126.40",Payment to Counsel
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,22/07/2011,Expert Report,Litigation Division,Building Research Establishment Ltd,492176,"43,444.80",Payment relating to professional services or study offering an expert opinion in relation to a legal case
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,25/07/2011,Library: Lion Project,Corporate Resources,Justis Publishing Ltd,127354,"112,997.98",On-line legal resource system  
HM Procurator General and Treasury Solicitor,Attorney General's Office ,25/07/2011,Maintenance: Hardware,Attorney General's Office,Capita Secure Information Systems,23092,"32,230.91",Payment relating to IT hardware maintenance
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,29/07/2011,Vat: Payments To Hmce,Corporate Resources,HM Revenue and Customs,127482,"2,285,926.65",Quarterly payment of VAT to HMRC
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,29/07/2011,Communications Equipment Maint,Corporate Resources,Buying Solutions,127497,"90,814.31",Payment relating to voice telephony services
