Supplier,Amount,Payment Date
1ST CHOICE CARE HOMES,2214.33,07/02/2014
1ST CHOICE CARE HOMES,2142.9,07/02/2014
1ST CHOICE CARE HOMES,2214.33,07/02/2014
1ST CHOICE CARE HOMES,2214.33,07/02/2014
1ST CHOICE CARE HOMES,2000.04,25/02/2014
24 HR CENTRAL CAR HIRE LTD,647.22,19/02/2014
4CHILDREN (DIRECT) LIMITED,1800,28/02/2014
4IMPRINT DIRECT LIMITED,6282,19/02/2014
4IMPRINT DIRECT LIMITED,1113,21/02/2014
A & H PEST CONTROL SERVICES,5248.8,25/02/2014
A & H PEST CONTROL SERVICES,5248.8,25/02/2014
A F BROWNE LTD,676,24/02/2014
ABACUS CARE GREENWICH,1740,07/02/2014
ABACUS CARE GREENWICH,3045,21/02/2014
ABBEY CARE CENTRE LIMITED,2160.84,25/02/2014
ABBEY CARE CENTRE LIMITED,4200,26/02/2014
ABBEY CARE CENTRE LIMITED T/A BHAKTI SHYAMA,4200,26/02/2014
ABBEY HEALTHCARE T/A ELMCROFT CARE HOME LTD,2400,25/02/2014
ABBEY WOOD SURGERY,661.87,24/02/2014
ACCOUNTANT GENERAL OF THE SENIOR COURTS,3000,06/02/2014
ACCOUNTANT GENERAL OF THE SENIOR COURTS,7500,20/02/2014
ACCURATE ROOFING  (UK) LTD,255675.78,11/02/2014
ACOUSTIC NOISE AND VIBRATION LTD,1128,28/02/2014
ACTION ON HEARING LOSS,800.86,04/02/2014
ACTION SHUTTERS LTD,5568,25/02/2014
ACTIVIA TRAINING,856.8,06/02/2014
ACUMENSION,1118.64,05/02/2014
ACUMENSION,1628.4,27/02/2014
ADDACTION (MAYA PROJECT),4000,04/02/2014
ADDACTION (MAYA PROJECT),7680,06/02/2014
ADT FIRE AND SECURITY PLC,55801.26,03/02/2014
ADT FIRE AND SECURITY PLC,9206.05,14/02/2014
ADVOCACY FOR OLDER PEOPLE,3395,07/02/2014
ADVOCACY FOR OLDER PEOPLE IN GREENWICH,5000,19/02/2014
AF STARR BUILDING CONTRACTORS,11953.2,03/02/2014
AF STARR BUILDING CONTRACTORS,2910,06/02/2014
AF STARR BUILDING CONTRACTORS,2088,18/02/2014
AF STARR BUILDING CONTRACTORS,1460.9,21/02/2014
AGE UK BROMLEY & GREENWICH,5000,21/02/2014
AGE UK BROMLEY & GREENWICH,2524.5,21/02/2014
AGILITY ECO SERVICES LTD,2730,11/02/2014
AIRWAVE  SOLUTIONS LTD,1370.6,24/02/2014
AJODA COMMUNITY ALLIANCE,500,04/02/2014
ALL SAINTS MEDICAL CENTRE,1028.36,26/02/2014
ALLIED CARE LTD T/A WHYTEACRES,1324.68,25/02/2014
ALLIED CARE LTD T/A WHYTEACRES,1324.68,25/02/2014
ALLIED HEALTHCARE GROUP LTD (SAGA),2701.71,12/02/2014
ALLIED HEALTHCARE GROUP LTD (SAGA),729.49,12/02/2014
ALLIED HEALTHCARE GROUP LTD (SAGA),786.18,12/02/2014
ALLIED HEALTHCARE GROUP LTD (SAGA),591.72,12/02/2014
ALLIED HEALTHCARE GROUP LTD (SAGA),700.29,12/02/2014
ALLIED HEALTHCARE GROUP LTD (SAGA),683.94,12/02/2014
ALLPAY NET LIMITED,10500.87,04/02/2014
ALLPAY NET LIMITED,12982.33,06/02/2014
ALPHA CARE CASTLEMAINE LTD,1825.32,25/02/2014
AMBER CAR SERVICES LTD,2434.56,24/02/2014
AMV LAW,6500,06/02/2014
ANAHITA REHABILITATION CENTRE LLP,4207.14,12/02/2014
ANAHITA REHABILITATION CENTRE LLP,3447.14,12/02/2014
ANAHITA REHABILITATION CENTRE LLP,4207.14,12/02/2014
ANAHITA REHABILITATION CENTRE LLP,4871.43,12/02/2014
ANAHITA REHABILITATION CENTRE LLP,4207.14,12/02/2014
ANDREWS SYKES LIMITED,1368,24/02/2014
ANGELS HUMAN RESOURCES LTD,2754.67,07/02/2014
ANGELS HUMAN RESOURCES LTD,2741.54,07/02/2014
ANGELS HUMAN RESOURCES LTD,1107.77,07/02/2014
ANGELS HUMAN RESOURCES LTD,1548.03,07/02/2014
ANGELS HUMAN RESOURCES LTD,590.57,07/02/2014
ANGELS HUMAN RESOURCES LTD,1385,07/02/2014
ANGELS HUMAN RESOURCES LTD,715.57,07/02/2014
ANGELS HUMAN RESOURCES LTD,714.08,07/02/2014
ANGELS HUMAN RESOURCES LTD,1563.8,07/02/2014
ANGELS HUMAN RESOURCES LTD,1491.82,07/02/2014
ANGELS HUMAN RESOURCES LTD,1235.8,07/02/2014
