5 ECGD Debt Relief by Country 2007/08 - 2011/12,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,, £ thousand ,,
,,2007/08,,2008/09,,2009/10,,2010/11,,2011/12,,
Africa,,,,,,,,,,,,
Cameroon,, - ,, - ,, - ,, - ,, - ,,
Central African Republic,, - ,, - ,, - ,,  456 ,, - ,,
Cote d'Ivoire,,  210 ,,  180 ,,  150 ,, - ,, - ,,
"Congo, Dem Rep",, - ,, - ,, 6 967 ,,  130 ,, 91 003 ,,
"Congo, Rep",, - ,, - ,,   ,, 50 233 ,, - ,,
Ghana,, - ,, - ,, - ,, - ,, - ,,
Guinea,,  10 ,,  100 ,,  100 ,, - ,, - ,,
Liberia,, - ,,   ,,   ,, 3 457 ,, - ,,
Malawi,, - ,, - ,, - ,, - ,, - ,,
Nigeria,, - ,, - ,, - ,, - ,, - ,,
Sierra Leone,, 3 510 ,, - ,, - ,, - ,, - ,,
Togo,,  30 ,,  20 ,,  20 ,,  20 ,, - ,,
Zambia,, - ,, - ,, - ,, - ,, - ,,
Total Africa,,  3 760 ,,  300 ,, 7 237 ,, 54 297 ,, 91 003 ,,
,,,,,,,,,,,,
Americas,,,,,,,,,,,,
,, - ,, - ,, - ,, - ,, - ,,
Total Americas,, - ,, - ,, - ,, - ,, - ,,
,,,,,,,,,,,,
Asia,,,,,,,,,,,,
Iraq,, - ,, 280 037 ,, - ,, - ,, - ,,
Total Asia,, - ,, 280 037 ,, - ,, - ,, - ,,
,,,,,,,,,,,,
Europe,,,,,,,,,,,,
,, - ,, - ,, - ,, - ,, - ,,
Total Europe,, - ,, - ,, - ,, - ,, - ,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Total,,  3 760 , - , 280 337 ,, 7 237 ,, 54 297 ,, 91 003 ,,
,,,,,,,,,,,,
1.   See Annex 3 text for descriptions of different components of debt relief.,,,,,,,,,,,,
       ,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
