YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,ConsignorCountry,EntryBIPcountryISOcode,BorderInspectionPost,ConsigneeCountry,ImporterCountry,CountryOfOrigin,CountryFromWhereConsigned,DeliveryISO,DeliveryType,ForRe_import,ForInternalMarket,GrossWeight_Kg,TotalNetWeight_Kg,TransshipmentExitBIPcountryISOcode,ExitBIPcountryTransit,DocumentaryCheck,IdentityCheck,PhysicalCheck,LaboratoryTests1,TestedFor,Results1,AcceptableForTranshipment,TranshipmentBIP,TranshipmentEUBIP,TranshipmentUnitNumber,TransitTo3rdCountry,TransitExitBIP,TracesUnitNumber,AcceptableForInternalMarket,AcceptableForSpecificWarehouseProcedure_Article12.4and13,NotAcceptable,RefusalReasons,DateOfSignature,YearOfDecision,QuarterOfDecision,MonthOfDecision,DayOfDecision,Commodity,Commodity_List,Species,Species_List,LaboratoryTests2
2017,Q2,6,22,IN,GB,"Felixstowe, P",GB,GB,IN,India,GB,CVEDP,No,Human Consumption,21802.32,15408,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-15,2017,Q4,12,15,3074338,3074338,Loligo Spp,Loligo Spp,-
2017,Q3,8,23,CL,GB,"Felixstowe, P",GB,GB,CL,Chile,GB,CVEDP,No,Human Consumption,22680,21000,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Human Consumption,-,-,-,2017-12-02,2017,Q4,12,2,3048100,3048100,Salmo Salar,Salmo Salar,-
2017,Q3,9,22,TH,GB,"Felixstowe, P",GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,1675,1320,/,/,Not satisfactory,Satisfactory,Not Done,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,2. Destruction,10. Other,2017-12-22,2017,Q4,12,22,16052900,16052900,Penaeus Vannamei,Penaeus Vannamei,-
2017,Q3,9,22,TH,GB,"Felixstowe, P",GB,GB,TH,Thailand,GB,CVEDP,No,Human Consumption,1580,1440,/,/,Not satisfactory,Satisfactory,Satisfactory,No,-,-,Not Acceptable,/,/,/,-,/,/,-,-,2. Destruction,10. Other,2017-12-22,2017,Q4,12,22,16052900,16052900,Penaeus Vannamei,Penaeus Vannamei,-
2017,Q3,9,25,ZA,GB,London Gateway,GB,GB,ZA,South Africa,GB,CVEDP,No,Animal Feedingstuff,7031,6480,/,/,Satisfactory,Satisfactory,Satisfactory,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-11,2017,Q4,12,11,230910,230910,-,,-
2017,Q4,10,6,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,10744.8,8205.12,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-01,2017,Q4,12,1,230910,230910|230910,Aves,Aves|Pesca,-
2017,Q4,10,6,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,10744.8,8205.12,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-01,2017,Q4,12,1,230910,230910|230910,Pesca,Aves|Pesca,-
2017,Q4,10,13,US,GB,Stansted,GB,GB,US,United States,GB,CVEDP,No,Animal Feedingstuff,25,22,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,2. Destruction,-,2017-12-11,2017,Q4,12,11,21069098,21069098,Cetacea,Cetacea,-
2017,Q4,10,23,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,12075,8792,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-07,2017,Q4,12,7,230910,230910|230910,Aves,Aves|Pesca,-
2017,Q4,10,23,TH,GB,Liverpool,GB,GB,TH,Thailand,GB,CVEDP,No,Animal Feedingstuff,12075,8792,/,/,Satisfactory,Satisfactory,Not Done,No,-,-,Acceptable,/,/,/,-,/,/,Animal Feedingstuff,-,-,-,2017-12-07,2017,Q4,12,7,230910,230910|230910,Pesca,Aves|Pesca,-
