CPS outcomes by principal offence category leicestershire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,157,76.2%,49,23.8%
C Sexual Offences,10,76.9%,3,23.1%
D Burglary,37,90.2%,4,9.8%
E Robbery,13,76.5%,4,23.5%
F Theft And Handling,171,91.9%,15,8.1%
G Fraud And Forgery,4,66.7%,2,33.3%
H Criminal Damage,28,80.0%,7,20.0%
I Drugs Offences,41,95.3%,2,4.7%
J Public Order Offences,64,84.2%,12,15.8%
K All Other Offences (excluding Motoring),42,87.5%,6,12.5%
L Motoring Offences,337,94.1%,21,5.9%
Admin Finalisations,0,0.0%,13,100.0%
TOTAL,904,86.8%,138,13.2%
