DfENumber,SchoolName,Year,Places,PlaceAllocated,PlaceRefused,PlaceWithdrawn,Withdrawn From Process,1stPref,2ndPref,3rdPref,4thPref,5thPref,Unplaced,SLE,Catchment,Sibling,Distance,OutsideSpecifiedArea,InsideSpecifiedArea,Religion,Feeder,Other,Total
8162000,Acomb Primary School,2017,45,45,24,83,3,58,49,25,11,12,0,2,49,9,95,0,0,0,0,0,155
8162431,Badger Hill Primary School,2017,30,30,2,54,4,29,27,21,9,4,0,2,9,9,70,0,0,0,0,0,90
8162386,Bishopthorpe Infant School,2017,60,56,0,71,1,46,36,25,15,4,2,1,30,3,94,0,0,0,0,0,128
8162024,Burton Green Primary School,2017,30,27,0,23,1,24,14,6,3,3,1,0,30,3,18,0,0,0,0,0,51
8162003,Carr Infant School,2017,90,75,0,46,3,58,22,18,8,10,8,0,61,1,62,0,0,0,0,0,124
8162018,Clifton Green Primary School,2017,60,60,2,39,3,62,21,11,5,5,0,1,39,11,53,0,0,0,0,0,104
8162430,Clifton with Rawcliffe Primary School,2017,90,90,7,61,5,93,43,14,9,4,0,2,93,7,61,0,0,0,0,0,163
8162013,Copmanthorpe Primary School,2017,60,60,7,38,1,63,19,16,5,3,0,1,57,3,45,0,0,0,0,0,106
8162007,Dringhouses Primary School,2017,45,45,20,87,3,61,39,28,16,11,0,0,43,12,100,0,0,0,0,0,155
8163151,Dunnington CE Primary School,2017,30,34,1,9,3,37,5,3,1,1,0,0,38,1,8,0,0,0,0,0,47
8163152,Elvington CE Primary School,2017,20,22,0,12,2,22,6,6,2,0,0,1,20,1,14,0,0,0,0,0,36
8162008,Fishergate Primary School,2017,45,44,0,69,4,41,23,26,17,10,0,2,49,4,62,0,0,0,0,0,117
8162004,Haxby Road Primary Academy,2017,45,40,0,35,3,37,16,12,7,5,1,1,42,4,31,0,0,0,0,0,78
8162241,Headlands Primary School,2017,45,40,0,59,1,39,39,12,7,3,0,2,32,2,64,0,0,0,0,0,100
8162001,Hempland Primary School,2017,60,60,10,66,7,67,37,20,10,9,0,2,55,2,84,0,0,0,0,0,143
8163302,Heworth CE Primary School,2017,20,20,7,79,2,25,47,16,14,6,0,1,0,10,48,0,42,7,0,0,108
8162028,Hob Moor Community Primary School,2017,45,45,6,55,2,47,15,19,15,12,0,2,37,12,57,0,0,0,0,0,108
8162180,Huntington Primary Academy,2017,60,60,11,46,2,71,17,9,12,10,0,1,40,16,62,0,0,0,0,0,119
8162011,Knavesmire Primary School,2017,60,60,8,128,6,63,67,38,20,14,0,1,45,8,148,0,0,0,0,0,202
8162428,Lakeside Primary School,2017,60,36,0,44,4,38,27,9,6,4,0,0,30,8,46,0,0,0,0,0,84
8163158,Lord Deramores Primary School,2017,30,30,11,63,4,40,36,16,10,6,0,3,7,6,92,0,0,0,0,0,108
8163159,Naburn CE Primary School,2017,12,9,0,9,0,9,5,1,2,1,0,0,6,1,11,0,0,0,0,0,18
8163901,New Earswick Primary School,2017,30,14,0,22,1,12,9,7,5,4,0,0,11,0,26,0,0,0,0,0,37
8162176,Osbaldwick Primary School,2017,60,30,0,35,2,28,17,6,9,7,0,3,37,6,21,0,0,0,0,0,67
8163904,Our Lady Queen of Martyrs RC Primary School,2017,60,60,0,53,4,52,29,22,8,5,1,0,0,4,1,5,54,53,0,0,117
8162012,Park Grove Primary Academy,2017,40,40,0,50,3,35,35,12,5,6,0,0,26,5,62,0,0,0,0,0,93
8162029,Poppleton Ousebank Primary School,2017,60,60,20,35,1,77,10,21,7,1,0,2,69,3,42,0,0,0,0,0,116
8162014,Poppleton Road Primary School,2017,60,59,0,89,4,44,47,23,21,14,3,0,33,11,108,0,0,0,0,0,152
8162058,Ralph Butterfield Primary School,2017,50,42,0,70,2,42,39,28,3,2,0,2,32,7,73,0,0,0,0,0,114
8163212,Robert Wilkinson Primary School,2017,85,71,0,31,3,72,16,7,6,4,0,1,69,1,34,0,0,0,0,0,105
8162349,Rufforth Primary School,2017,14,14,11,27,0,21,17,5,6,3,0,0,4,7,41,0,0,0,0,0,52
8162016,Scarcroft Primary School,2017,60,60,0,111,6,52,63,24,21,17,0,1,56,0,120,0,0,0,0,0,177
8162169,Skelton Primary School,2017,20,11,0,13,0,9,5,6,3,1,0,0,11,0,13,0,0,0,0,0,24
8163401,St Aelred's RC Primary School,2017,30,30,0,32,2,27,12,14,8,3,0,1,0,8,0,1,38,16,0,0,64
8163002,St Barnabas' CE Primary School,2017,30,30,9,20,1,35,8,7,6,4,0,0,34,3,23,0,0,0,0,0,60
8163402,St George's RC Primary School,2017,30,18,0,36,4,18,14,13,3,10,0,2,0,0,44,0,0,12,0,0,58
8163305,St Lawrence's CE Primary School,2017,30,20,0,20,1,19,4,7,5,5,1,0,0,1,22,0,8,0,10,0,41
8163222,St Mary's CE Primary School,2017,15,15,2,29,0,16,14,9,3,4,0,1,9,5,31,0,0,0,0,0,46
8163156,St Oswald's CE Primary School,2017,45,37,0,30,2,37,12,11,7,2,0,2,19,10,38,0,0,0,0,0,69
8163003,St Paul's CE Primary School,2017,27,28,20,101,2,41,33,54,16,7,0,0,31,1,119,0,0,0,0,0,151
8163403,St Wilfrid's RC Primary School,2017,40,40,8,47,2,45,23,17,8,4,0,0,0,0,0,47,0,50,0,0,97
8162227,Stockton On The Forest Primary School,2017,15,15,1,18,4,16,5,11,2,4,0,0,11,0,27,0,0,0,0,0,38
8162429,Tang Hall Primary School,2017,30,30,1,25,2,28,7,11,7,5,0,1,36,3,18,0,0,0,0,0,58
8162017,Westfield Community Primary School,2017,90,89,0,34,2,76,21,11,9,1,7,0,85,6,34,0,0,0,0,0,125
8163380,Wheldrake with Thorganby CE Primary School,2017,30,30,0,13,0,30,11,0,2,0,0,1,31,0,11,0,0,0,0,0,43
8162240,Wigginton Primary School,2017,40,31,0,44,0,31,15,23,4,2,0,1,33,2,39,0,0,0,0,0,75
8162027,Woodthorpe Primary School,2017,60,60,12,35,6,63,23,9,12,6,0,0,49,15,49,0,0,0,0,0,113
8162015,Yearsley Grove Primary School,2017,60,45,0,29,3,42,16,11,4,3,1,1,32,12,32,0,0,0,0,0,77
