Directorate,Division,Branch,Grade,HeadcountMale,HeadcountFemale,FTE_Male,FTE_Female
Chief Executive,Chief Executive,Chief Executive,SCS 3,,1,,1.00
Finance & Performance,Accounting,Accounting,G6 ,2,,2.00,
Finance & Performance,Accounting,Accounting,G7 ,3,1,3.00,1.00
Finance & Performance,Accounting,Accounting,SEO,2,1,2.00,1.00
Finance & Performance,Accounting,Accounting,HEO,1,7,1.00,7.00
Finance & Performance,Accounting,Accounting,EO ,1,1,1.00,1.00
Finance & Performance,Accounting,Accounting,AO ,1,2,1.00,1.80
Finance & Performance,Finance & Performance,Finance & Performance,SCS 2,1,,1.00,
Finance & Performance,Finance Charging,Finance Charging,G7 ,1,,1.00,
Finance & Performance,Finance Charging,Finance Charging,SEO,,2,,2.00
Finance & Performance,Finance Charging,Finance Charging,EO ,3,,3.00,
Finance & Performance,Human Resources,Human Resources,G7 ,1,,1.00,
Finance & Performance,Human Resources,Human Resources,SEO,,1,,1.00
Finance & Performance,Human Resources,Human Resources,HEO,,1,,1.00
Finance & Performance,Human Resources,Human Resources,EO ,2,,2.00,
Finance & Performance,Human Resources,Human Resources,AO ,,4,,3.21
Finance & Performance,Planning Performance and Change,Planning Performance and Change,G6 ,2,,2.00,
Finance & Performance,Planning Performance and Change,Planning Performance and Change,G7 ,6,6,6.00,6.00
Finance & Performance,Planning Performance and Change,Planning Performance and Change,SEO,2,1,2.00,1.00
Finance & Performance,Planning Performance and Change,Planning Performance and Change,HEO,,3,,2.81
Finance & Performance,Planning Performance and Change,Planning Performance and Change,EO ,,1,,0.61
Finance & Performance,Procurement,Procurement,G7 ,,1,,1.00
Finance & Performance,Procurement,Procurement,SEO,1,3,1.00,2.42
Finance & Performance,Procurement,Procurement,HEO,,3,,2.22
Finance & Performance,Security and Estates,Security and Estates,SEO,1,,1.00,
Finance & Performance,Security and Estates,Security and Estates,HEO,,1,,1.00
Finance & Performance,Security and Estates,Security and Estates,EO ,,1,,1.00
Northern Ireland,Northern Ireland,Northern Ireland,SCS 2,,1,,1.00
Northern Ireland,Northern Ireland,Northern Ireland,SCS 1,,1,,1.00
Northern Ireland,Northern Ireland,Northern Ireland,G6 ,1,1,1.00,1.00
Northern Ireland,Northern Ireland,Northern Ireland,G7 ,,5,,4.70
Northern Ireland,Northern Ireland,Northern Ireland,SEO,7,9,7.00,8.36
Northern Ireland,Northern Ireland,Northern Ireland,HEO,3,4,3.00,3.81
Northern Ireland,Northern Ireland,Northern Ireland,EO ,2,8,1.86,6.92
Northern Ireland,Northern Ireland,Northern Ireland,AO ,1,2,1.00,1.70
