DEPARTMENT FOR INTERNATIONAL DEVELOPMENT,,,,,
,,,,,
QUARTERLY INFORMATION 1 APRIL – 30 JUNE 2011,,,,,
,,,,,
MINISTER OF STATE ALAN DUNCAN,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
GIFTS GIVEN OVER £140 ,,,,,
,,,,,
,,,,,
,,,,,
Date gift given,To  ,Gift,Value  ,,
"Rt Hon Alan Duncan MP, Minister of State ",,,,,
Nil Return,,,,,
,,,,,
,,,,,
GIFTS RECEIVED OVER £140 ,,,,,
,,,,,
,,,,,
Date gift received,From  ,Gift,Value  ,Outcome,
"Rt Hon Alan Duncan MP, Minister of State ",,,,,
Nil Return,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
OVERSEAS TRAVEL,,,,,
,,,,,
       ,,,,,
"Rt Hon Alan Duncan MP, Minister of State for International Development",,,,,
Date,Destination,Purpose,Type of travel,"Number of officials accompanying Minister, where non-scheduled travel is used","Total cost including travel, and accommodation of Minister only"
5-7 April ,"Abu Dhabi, United Arab Emirates",UAE/UK Aid Workshop on Yemen and Pakistan,Scheduled,,"£4,534"
13-16 April,"New York and Washington, USA",Meetings with the World Bank and UN to  discuss the Multilateral Aid Review,Scheduled,,"£3,123"
18-20 April,"Dubai and Abu Dhabi, United Arab Emirates",Counter Piracy Conference and EU GCC Ministerial Meeting,Scheduled,,"£3,962"
22-26 May,"Hanoi and Ho Chi Minh City, Vietnam",Signing of the Development Partnership Arrangement Amendment with Vietnam,Scheduled,,"£8,353"
20-22 June,"Dhaka, Bangladesh",To launch the operational plan for Bangladesh and attend meetings with senior Bangladeshi Ministers.,Scheduled,,"£2,471"
21-Jun,"Return from Dhaka to Gaibandha, Bangladesh",Flight to Char Islands to visit communities threatened by flooding and a DFID funded livelihoods programme.,Chartered,5,"£1,395"
,,,,,
,,,,,
HOSPITALITY[1],,,,,
,,,,,
,,,,,
,,,,,
Date ,Name of organisation ,Type of Hospitality received,,,
26-Apr-11,News of the World,Lunch,,,
12-May-11,Lord Inge and King Abdullah of Jordan,Lunch,,,
17-May-11,The Daily Telegraph,Lunch,,,
18-May-11,The Daily Mail and The Sun,Lunch,,,
07-Jun-11,The Times,Lunch,,,
14-Jun-11,UNICEF,Breakfast,,,
28-Jun-11,The Daily Telegraph,Lunch,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"MEETINGS WITH EXTERNAL ORGANISATIONS (INCLUDING MEETINGS WITH NEWSPAPER AND OTHER MEDIA PROPRIETORS, EDITORS AND SENIOR EXECUTIVES)[2]",,,,,
,,,,,
Date of Meeting ,Name of External Organisation,Purpose of Meeting  ,,,
"Rt Hon Alan Duncan MP, Minister of State ",,,,,
Apr-11,International Committee of the Red Cross,"To discuss the Humanitarian Emergency Response Review (HERR), and ongoing humanitarian emergencies.",,,
May-11,Cross Whitehall Libya Oil Cell and Vitol,To discuss Libya,,,
May-11,Dr Mohamed Qubaty and Longulf,To discuss Yemen,,,
May-11,UN Women,To discuss DFID’s work with UN Women.,,,
May-11,Strategic Foresight Group (SFG),"To discuss the publication of ‘The Blue Peace Report’ by SFG, looking at water resources in the Middle East.",,,
May-11,Electoral Reform International Services (ERIS),To discuss ERIS’ work in the Middle East and North Africa,,,
Jun-11,Chatham House,To discuss Yemen,,,
Jun-11,The World Bank,General discussion at the GAVI pledging conference.,,,
Jun-11,Cross Whitehall Libya Oil Cell and Besso Holdings Ltd,To discuss Libya,,,
Jun-11,Cross Whitehall Libya Oil Cell and Vitol,To discuss Libya,,,
Jun-11,Ahmed Versi (Muslim News),To discuss visit to Bangladesh,,,
Jun-11,Syed Nahas Pasha (Janomot),To discuss visit to Bangladesh,,,
Jun-11,Conservative Friends of Bangladesh,To discuss the role of NGOs in Bangladesh,,,
Jun-11,The Organisation of the Islamic Conference,To discuss events in the Middle East and North Africa,,,
Jun-11,News International Summer Party,Social,,,
Jun-11,Crown Agents,To discuss the outcomes of the HERR,,,
Jun-11,UNAIDS,To discuss DFID’s reform priorites for UNAIDS,,,
Jun-11,Oxford Centre for Islamic Studies,To update the Minister on the Centre’s activities.,,,
Jun-11,Consortium of British Humanitarian Agencies,To discuss the outcomes of the HERR,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
"[1]“Does not normally include attendance at functions hosted by HM Government; ‘diplomatic’ functions in the UK or abroad, hosted by overseas governments; minor refreshments at meetings, receptions, conferences, and seminars; and offers of hospitality which were declined”   ",,,,,
,,,,,
"[2] Does not normally include meetings with Government bodies such as other Government Departments and Agencies, non?departmental public bodies, Government reviewers, and representatives of Parliament devolved or foreign governments.  ",,,,,
