Organisation,Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced
Rochdale,01/04/2014,LINK4LIFE (CHARITY),Arts & Leisure Services,FINANCE SERVICES,CONTRACT FEE LEISURE TRUST,"£44,925.00"
Rochdale,01/04/2014,LINK4LIFE (CHARITY),Arts & Leisure Services,FINANCE SERVICES,CONTRACT FEE LEISURE TRUST,"£302,575.00"
Rochdale,10/04/2014,LINK4LIFE (CHARITY),Arts & Leisure Services,CHILDREN’S SOCIAL CARE,FOSTERING TEAM,£705.60
Rochdale,01/04/2014,LINK4LIFE (TRADING),Arts & Leisure Services,FINANCE SERVICES,CONTRACT FEE LEISURE TRUST,"£7,300.00"
Rochdale,04/04/2014,NATIONAL CYCLING ACADEMY,Arts & Leisure Services,PROPERTY AND HIGHWAYS,17-25 YOUNG DRIVER PROJECT,"£13,125.00"
Rochdale,22/04/2014,A & S BUILDING & ROOFING,Building Construction Materials,PHYSICAL DIS & OLDER PEOPLE,DISABLED FACILITIES GRANT,"£3,126.00"
Rochdale,08/04/2014,ABBEY ARCHITECTURAL IRONMONGERY,Building Construction Materials,PROPERTY AND HIGHWAYS,BUSINESS SUPPORT TEAM,£832.09
Rochdale,08/04/2014,ABC INDUSTRIAL DOORS LTD,Building Construction Materials,PROPERTY AND HIGHWAYS,ALKRINGTON LIBRARY,£590.50
Rochdale,22/04/2014,ABC INDUSTRIAL DOORS LTD,Building Construction Materials,EARLY HELP AND SCHOOLS,MEANWOOD CHILDRENS CENTRE,£545.50
Rochdale,22/04/2014,ABC INDUSTRIAL DOORS LTD,Building Construction Materials,PROPERTY AND HIGHWAYS,SMALLBRIDGE LIBRARY,£590.50
Rochdale,23/04/2014,ANGLIA SIGN CASTING COMPANY LIMITED,Building Construction Materials,ECONOMY AND ENVIRONMENT,ALL CREMETORIA,£636.66
Rochdale,23/04/2014,AQUABLAST SERVICES LIMITED,Building Construction Materials,ECONOMY AND ENVIRONMENT,DEPOT GREEN LANE GENERAL,£890.00
Rochdale,23/04/2014,BOARSHURST LOFTS & DORMERS,Building Construction Materials,LEARNING DIS & MENTAL HEALTH,CARERS RESOURCE CENTRE,"£7,728.63"
Rochdale,09/04/2014,BODEN & DAVIES LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,£786.00
Rochdale,09/04/2014,BODEN & DAVIES LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,BOWLEE AND GARDEN MAILSHOP,£786.00
Rochdale,16/04/2014,BOYTON BROS AND HALLAM  RANSKILL LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,STREETS MIDDLETON GENERAL,£690.00
Rochdale,16/04/2014,BOYTON BROS AND HALLAM  RANSKILL LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,STREETS PENNINES GENERAL,"£1,380.00"
Rochdale,16/04/2014,BOYTON BROS AND HALLAM  RANSKILL LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,STREETS ROCHDALE GENERAL,£920.00
Rochdale,07/04/2014,CARTER FENCING LTD                   (S),Building Construction Materials,ECONOMY AND ENVIRONMENT,CEMETERIES GENERAL,"£2,525.00"
Rochdale,24/04/2014,CLONSHALL LTD,Building Construction Materials,PROPERTY AND HIGHWAYS,STANNYCLIFFE SC REPLACE AC ROOF,"£6,222.23"
Rochdale,14/04/2014,F S MOULT & SON,Building Construction Materials,ECONOMY AND ENVIRONMENT,HOMELESS TRANSFER COSTS,"£2,400.00"
Rochdale,11/04/2014,F S MOULT & SON,Building Construction Materials,ECONOMY AND ENVIRONMENT,HOMELESS TRANSFER COSTS,"£8,400.00"
Rochdale,11/04/2014,F S MOULT & SON,Building Construction Materials,ECONOMY AND ENVIRONMENT,HOMELESS TRANSFER COSTS,"£2,225.00"
Rochdale,14/04/2014,F S MOULT & SON,Building Construction Materials,ECONOMY AND ENVIRONMENT,HOMELESS TRANSFER COSTS,"£8,850.00"
Rochdale,14/04/2014,F S MOULT & SON,Building Construction Materials,ECONOMY AND ENVIRONMENT,ROCH VALE CARAVAN SITE,"£4,940.00"
Rochdale,14/04/2014,F S MOULT & SON,Building Construction Materials,ECONOMY AND ENVIRONMENT,ROCH VALE CARAVAN SITE,"£8,600.00"
Rochdale,14/04/2014,F S MOULT & SON,Building Construction Materials,ECONOMY AND ENVIRONMENT,ROCH VALE CARAVAN SITE,"£7,311.26"
Rochdale,16/04/2014,GRAVOGRAPH LTD,Building Construction Materials,EARLY HELP AND SCHOOLS,CLC RUNNING COSTS 2011/12,"£1,589.54"
Rochdale,22/04/2014,GTM ELECTRICAL SERVICES LIMITED,Building Construction Materials,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,£765.96
Rochdale,22/04/2014,GTM ELECTRICAL SERVICES LIMITED,Building Construction Materials,PROPERTY AND HIGHWAYS,WORK IDENTIFIED BY FRA,"£2,761.37"
Rochdale,22/04/2014,GTM ELECTRICAL SERVICES LIMITED,Building Construction Materials,PROPERTY AND HIGHWAYS,WORK IDENTIFIED BY FRA,"£1,251.34"
Rochdale,22/04/2014,GTM ELECTRICAL SERVICES LIMITED,Building Construction Materials,PROPERTY AND HIGHWAYS,WORK IDENTIFIED BY FRA,£647.13
Rochdale,07/04/2014,JACKSON JACKSON & SONS LTD           (S),Building Construction Materials,EARLY HELP AND SCHOOLS,MIDDLETON PARISH - PLACE PLANNING,"£94,545.59"
Rochdale,08/04/2014,JACKSON JACKSON & SONS LTD           (S),Building Construction Materials,EARLY HELP AND SCHOOLS,ST ANDREW'S CE - PLACE PLANNING,"£42,257.90"
Rochdale,04/04/2014,S T HEATINGS SERVICES LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,BAILLIE STREET RENTAL AC,£663.64
Rochdale,07/04/2014,SIMPLY SIGNS NW LTD,Building Construction Materials,ECONOMY AND ENVIRONMENT,TCCP RUNNING COSTS,"£1,470.00"
Rochdale,04/04/2014,BRAKE BROS FOOD SERVICE LTD,Catering,ECONOMY AND ENVIRONMENT,LITTLEBOROUGH,£520.36
Rochdale,23/04/2014,BRAKE BROS FOOD SERVICE LTD,Catering,ECONOMY AND ENVIRONMENT,SANDBROOK PRIMARY SCHOOL,£543.54
Rochdale,01/04/2014,BRAKE BROS FOOD SERVICE LTD,Catering,PHYSICAL DIS & OLDER PEOPLE,SPRINGHILL EMI UNIT,£515.34
Rochdale,23/04/2014,BRAKE BROS FOOD SERVICE LTD,Catering,ECONOMY AND ENVIRONMENT,ST EDWARDS,£619.39
Rochdale,09/04/2014,WLG (WHOLESALERS),Catering,ECONOMY AND ENVIRONMENT,TOWN HALL BAR,"£1,002.17"
Rochdale,15/04/2014,J G SHELTON & CO LIMITED             (S),Cemetery & Crematorium,ECONOMY AND ENVIRONMENT,ALL CREMETORIA,"£2,845.80"
Rochdale,15/04/2014,J G SHELTON & CO LIMITED             (S),Cemetery & Crematorium,ECONOMY AND ENVIRONMENT,ALL CREMETORIA,"£2,260.00"
Rochdale,03/04/2014,JOHNSTON BROS,Cemetery & Crematorium,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£760.00
Rochdale,03/04/2014,JOHNSTON BROS,Cemetery & Crematorium,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,£950.00
Rochdale,17/04/2014,KILPATRICKS FUNERAL SERVICE LIMITED,Cemetery & Crematorium,LEARNING DIS & MENTAL HEALTH,ADULT CARE ADMIN,"£1,568.00"
Rochdale,07/04/2014,DEFENCE COMPOSITS,Clothing,ECONOMY AND ENVIRONMENT,ROGUE LANDLORDS,"£2,973.00"
Rochdale,23/04/2014,POST OFFICE COUNTERS LTD,Clothing,ECONOMY AND ENVIRONMENT,FLEET MAINTENANCE,"£6,230.00"
Rochdale,16/04/2014,VIZ REFLECTIVES,Clothing,ECONOMY AND ENVIRONMENT,DOMESTIC WASTE,£804.00
Rochdale,04/04/2014,ACIES GROUP LLP,Consultancy,EARLY HELP AND SCHOOLS,SEN SUPPORT MAINSTREAM  LEA,£679.25
Rochdale,10/04/2014,ACIES GROUP LLP,Consultancy,ECONOMY AND ENVIRONMENT,WHEATSHEAF ENTRANCE WORK,"£4,000.00"
Rochdale,09/04/2014,AECOM PROFESSIONAL SERVICES LTD,Consultancy,ECONOMY AND ENVIRONMENT,WHEATSHEAF ENTRANCE WORK,"£8,000.00"
Rochdale,15/04/2014,AECOM PROFESSIONAL SERVICES LTD,Consultancy,ECONOMY AND ENVIRONMENT,WHEATSHEAF ENTRANCE WORK,"£4,000.00"
Rochdale,16/04/2014,ANTHONY COLLINS SOLICITORS LLP,Consultancy,ECONOMY AND ENVIRONMENT,HOMELESS TRANSFER COSTS,£869.50
Rochdale,16/04/2014,ANTHONY COLLINS SOLICITORS LLP,Consultancy,ECONOMY AND ENVIRONMENT,HOMELESS TRANSFER COSTS,"£1,696.50"
Rochdale,08/04/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,"£1,500.00"
Rochdale,10/04/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,"£1,750.00"
Rochdale,10/04/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,"£1,500.00"
Rochdale,07/04/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,£832.00
Rochdale,07/04/2014,B & C BEAL CONSULTANCY LTD,Consultancy,EARLY HELP AND SCHOOLS,GOVERNORS SERVICES,£774.30
Rochdale,16/04/2014,BEVAN BRITTAN LLP,Consultancy,EARLY HELP AND SCHOOLS,BSF DEVELOPMENT (MOD0809),£618.70
Rochdale,16/04/2014,BEVAN BRITTAN LLP,Consultancy,CUSTOMERS & CORPORATE SERVICES,LEGAL SERVICES,£500.00
Rochdale,15/04/2014,BEVAN BRITTAN LLP,Consultancy,CUSTOMERS & CORPORATE SERVICES,LEGAL SERVICES,"£1,014.30"
Rochdale,25/04/2014,BEVAN BRITTAN LLP,Consultancy,CUSTOMERS & CORPORATE SERVICES,LEGAL SERVICES,"£2,000.00"
Rochdale,07/04/2014,CONNOR ASSOCIATES LTD,Consultancy,PHYSICAL DIS & OLDER PEOPLE,MENTAL HEALTH CAPACITY ACT GRANT,£614.75
Rochdale,16/04/2014,DTZ DEBENHAM TIE LEUNG LIMITED,Consultancy,ECONOMY AND ENVIRONMENT,TOWN CENTRE EAST FEASIBILITY 51K 07/08,"£5,432.30"
Rochdale,04/04/2014,EC SAFEGUARDING CONSULTANCY LTD,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,£750.00
Rochdale,17/04/2014,EC SAFEGUARDING CONSULTANCY LTD,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,£750.00
Rochdale,17/04/2014,EC SAFEGUARDING CONSULTANCY LTD,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,£750.00
Rochdale,24/04/2014,EC SAFEGUARDING CONSULTANCY LTD,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,£750.00
Rochdale,24/04/2014,EC SAFEGUARDING CONSULTANCY LTD,Consultancy,CHILDREN’S SOCIAL CARE,MANAGEMENT STRUCTURE,"£4,767.50"
Rochdale,02/04/2014,GARDINER & THEOBALD LLP,Consultancy,ECONOMY AND ENVIRONMENT,TOWN CENTRE EAST FEASIBILITY 51K 07/08,£750.00
Rochdale,02/04/2014,GARNER TOWN PLANNING,Consultancy,ECONOMY AND ENVIRONMENT,DEVELOPMENT MANAGEMENT - PLANNING APPS,"£2,714.75"
Rochdale,22/04/2014,GLOBAL ENERGY CONSULTANCY,Consultancy,PHYSICAL DIS & OLDER PEOPLE,ADULT CARE HEAD OF SERVICE,£790.00
Rochdale,25/04/2014,GLOBAL ENERGY CONSULTANCY,Consultancy,PROPERTY AND HIGHWAYS,DISPOSAL COSTS,"£1,040.00"
Rochdale,16/04/2014,HIGHWAY SURVEYORS LTD,Consultancy,PROPERTY AND HIGHWAYS,BWIDE VAR STREETS FW/CW SURVEYS,"£15,664.17"
Rochdale,16/04/2014,IDOX SOFTWARE LTD,Consultancy,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,"£20,971.34"
Rochdale,07/04/2014,JEREMY BENN ASSOCIATES LTD,Consultancy,ECONOMY AND ENVIRONMENT,SURFACE WATER MGT PLAN,"£3,500.00"
