Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)",,,,
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,171,159.04,223,215.76,675,661.16,674,649.47,129,125.06,0,0.00,1872,1810.50,20,20.00,1,1.00,109,95.95,0,0,130,116.95,2002,1927.44,7422016.99,27401.29,23231.9,81814.39,1453152.09,161629.85,9169246.51,1452051.6,420336,1872387.6,11041634.11,,,1452051.6,420336,1872387.6
Driving Standards Agency,Executive Agency,Department for Transport,224,186.72,1675,1565.92,297,292.60,42,41.89,0,0.00,0,0.00,2238,2087.13,11,11.00,1,1.00,0,0.00,0,0,12,12.00,2250,2099.13,4597048.73,110866.57,0,181982.21,856117.75,347853.27,6093868.53,67627.28,15592.56,83219.84,6177088.37,,,,,
Driver and Vehicle Licensing Agency,Executive Agency,Department for Transport,4320,3799.58,748,706.64,597,575.20,121,116.25,6,6.00,0,0.00,5792,5203.67,0,0.00,3,2.95,3,2.52,0,0,6,5.47,5798,5209.14,9087882,63954,0,236695,1617073,748145,11753749,102281,0,102281,11856030,,,,,
Highways Agency,Executive Agency,Department for Transport,1399,1352.79,342,322.45,1421,1374.55,351,339.99,36,35.19,0,0.00,3549,3424.98,0,0.00,78,29.15,0,0.00,0,0,78,29.15,3627,3454.14,8434234.92,665799.21,-113463.02,136185.5,1733962.38,728867.65,11585586.64,790908.06,0,790908.06,12376494.7,,,,,
Maritime and Coastguard Agency,Executive Agency,Department for Transport,427,391.40,215,206.24,297,269.78,107,102.90,5,5.00,0,0.00,1051,975.32,23,23.00,0,0.00,0,0.00,0,0,23,23.00,1074,998.32,2366053.87,249246.18,18850,258750.53,495450.06,198064.53,3586415.17,115932.07,0,115932.07,3702347.24,,,,,
Vehicle Certification Agency,Executive Agency,Department for Transport,40,34.29,40,37.79,77,74.91,8,8.00,1,1.00,0,0.00,166,155.99,5,5.00,0,0.00,0,0.00,0,0,5,5.00,171,160.99,491210,19584,2500,18563,88726,40464,661047,16530,0,16530,677577,,,,,
Vehicle and Operator Services Agency,Executive Agency,Department for Transport,1031,966.94,791,774.49,408,401.32,43,42.55,4,4.00,0,0.00,2277,2189.30,44,42.17,13,13.00,37,37.00,0,0,94,92.17,2371,2281.47,4509078.29,373101.58,30500,347135.45,909955.02,393915.29,6563685.63,528917.66,0,528917.66,7092603.29,,,,,
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0.00,1,1.00,5,5.00,3,2.70,1,1.00,0,0.00,10,9.70,0,0.00,0,0.00,3,2.30,0,0,3,2.30,13,12.00,34965.82,2863.24,,,4228.92,3103.99,45161.97,6780,0,6780,51941.97,,,,,
Directly Operated Railways Ltd,Executive Non-Departmental Public Body,Department for Transport,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,12,5.80,12,5.80,5.8,0.10,0,0.00,0,0.00,0,0,5.8,0.10,17.8,5.90,34930.9,,,,3387.5,10078.29,48396.69,1997,0,1997,50393.69,,,,,
High Speed 2,Executive Non-Departmental Public Body,Department for Transport,77,76.40,12,12.00,213,210.18,112,111.60,20,19.80,1,1.00,435,430.98,38,38.00,73,72.60,159,159.00,0,0,270,269.60,705,700.58,1953176.01,,0,0,94969.62,194167.63,2242313.26,1428843.69,0,1428843.69,3671156.95,,,,,
Northern Lighthouse Board,Executive Non-Departmental Public Body,Department for Transport,27,10.40,18,18.00,65,64.60,13,12.80,4,4.00,72,66.70,199,176.50,10,3.60,0,0.00,0,0.00,0,0,10,3.60,209,180.10,510945,11083,0,18204,2340,45084,587656,17932,0,17932,605588,,,,,
Passenger Focus,Executive Non-Departmental Public Body,Department for Transport,1,1.00,16,15.80,12,11.60,12,11.90,3,3.00,0,0.00,44,43.30,0,0.00,0,0.00,4,0.90,0,0,4,0.90,48,44.20,145508,390,,,27773,13429,187100,3617,0,3617,190717,,,,,
Trinity House,Executive Non-Departmental Public Body,Department for Transport,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,307,297.00,307,297.00,2,2.00,0,0.00,0,0.00,0,0,2,2.00,309,299.00,853231.79,11318.44,59,37550.65,162429.67,76948.69,1141538.24,5320.04,0,5320.04,1146858.28,,,,,
