OrganisationURI,OrganisationLabel,OrganisationalUnit,TransactionNumber,Invoice Ref.,BeneficiaryName,Expense Type,Purpose,PaymentDate,Amount
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Fire Protection,14041397,178801,A & E Fire Equipment Limited,C1107-CAH015,Building Works,11/03/2016,1170.22
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Fire Protection,14041355,179612,A & E Fire Equipment Limited,C1107-CAH015,Building Works,11/03/2016,1369.53
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Income and Expenditure on Investment Properties and Changes in Their Fair Value,14043278,181166,A & E Fire Equipment Limited,R2004-FIE040,R & M of Build Programmed,18/03/2016,900.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Income and Expenditure on Investment Properties and Changes in Their Fair Value,14043276,181276,A & E Fire Equipment Limited,R2004-FIE040,R & M of Build Programmed,18/03/2016,2504.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Income and Expenditure on Investment Properties and Changes in Their Fair Value,14043277,181279,A & E Fire Equipment Limited,R2004-FIE040,R & M of Build Programmed,18/03/2016,1316.60
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Pittville Pump Room Repairs & Maintenance,14043265,181614,A & E Fire Equipment Limited,R2008-CUL113,R & M of Build - Reactive Repairs,18/03/2016,642.84
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Town Hall Repairs & Maintenance,14043267,181616,A & E Fire Equipment Limited,R2008-CUL112,R & M of Build - Reactive Repairs,18/03/2016,798.40
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Repairs and Maintenance,14043205,181959,A & E Fire Equipment Limited,R2042-HRA100,R & M of Build Fire Systems,11/03/2016,1063.19
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Art Gallery & Museum Development,14031462,25517723-15,ADT Fire & Security plc,C1100-CAP121,Construction,07/03/2016,780.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Scooter Stores,14042801,30609,Allhands Limited T/A Harrold Jones Services,C1107-CAH037,Building Works,04/03/2016,4410.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Scooter Stores,14042802,30610,Allhands Limited T/A Harrold Jones Services,C1107-CAH037,Building Works,04/03/2016,2223.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Council Tax Collection,14042927,64691,Alpha Colour Printers Limited,R4300-LTC001,Printing - Services,04/03/2016,1239.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Housing Benefit Administration,14042927,64691,Alpha Colour Printers Limited,R4300-HBA001,Printing - Services,04/03/2016,1264.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,NNDR Collection,14043408,64971,Alpha Colour Printers Limited,R4300-LTC011,Printing - Services,18/03/2016,759.00
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Individual Electoral Registration,14042888,28753,Alpha Response Print & Mail Limited,R4401-ELE010,Services - Fees and Charges,18/03/2016,741.85
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Development Control - Applications,14043232,11893,Artful Limited,R4300-DEV001,Printing - Services,18/03/2016,2289.04
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Council Tax Collection,14043432,11902,Artful Limited,R4317-LTC001,Non Staff Advertising,18/03/2016,644.80
http://statistics.data.gov.uk/id/local-authority-district/23UB,Cheltenham Borough Council,Cheltenham Business Partnership,14043743,14902,Artworks Design Consultants (Cheltenham) Limited,R4300-HLD130,Printing - Services,31/03/2016,1365.00
