"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","BSD","AA","15147","15147","Administrative assistant","21.70","Operational delivery"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","BSD","AA","15147","15147","HR support officer","1.00","Human resources"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","BSD","AO","16187","18667","Administrative assistant","3.00","Operational delivery"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","BSD","AO","16187","18667","Communications support officer","1.00","Communications"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","BSD","AO","16187","18667","HR support officer","5.43","Human resources"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","BSD","AO","16187","18667","IT Support Officer","2.81","Information Technology"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","BSD","AO","16187","18667","Not in post","1.81","Operational delivery"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","BSD","AO","16187","18667","Operations Support Officer","11.36","Communications"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","BSD","AO","16187","18667","Operations Support Officer","6.16","Property and Asset Management"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","BSD","EO","18870","25920","Analyst","16.81","Information Technology"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","BSD","EO","18870","25920","HR Officer","1.86","Human resources"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","BSD","EO","18870","25920","HR support officer","1.65","Human resources"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","BSD","EO","18870","25920","IT Support Officer","4.00","Information Technology"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","BSD","EO","18870","25920","Not in post","2.00","Operational delivery"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","BSD","EO","18870","25920","Operational Manager","3.60","Communications"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","BSD","EO","18870","25920","Operational Manager","5.64","Property and Asset Management"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","BSD","EO","18870","25920","Operational Manager","1.00","Information Technology"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","BSD","EO","18870","25920","Web Manager","3.00","Information Technology"
"Department for Business Innovation and Skills","Intellectual Property Office","Business Support Directorate","BSD","Grade 6","46863","59323","Senior HR Manager","1.00","Human resources"
