Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat Registration Number
Department of Health,Western Cheshire PCT,19/08/2010,Comps Ex Gratia,CITC,ONE-OFF SUPPLIER,6912132,"78,997.58",NULL
Department of Health,Western Cheshire PCT,16/08/2010,Disp of Clinical Waste,CHA OFFICE SERVICES,INTERCARE DISTRIBUTION SERVICES LTD,6870182,"31,666.56",NULL
Department of Health,Western Cheshire PCT,02/08/2010,Early Retirement Payments,PREMATURE RETIREMENTS,NHS PENSION SCHEME,6776145,"62,915.20",654434141
Department of Health,Western Cheshire PCT,02/08/2010,Grants,GRANTS TO VOL BODIES,COMMUNITY INTEGRATED CARE,6776127,"27,273.00",NULL
Department of Health,Western Cheshire PCT,09/08/2010,Grants,GRANTS TO VOL BODIES,ST JOHN AMBULANCE,6742806,"50,000.00",564553916
Department of Health,Western Cheshire PCT,20/08/2010,Hcare Srv Rec NHS Trust,RBN ST HELENS & KNOWS,ST HELENS&KNOWSLEY HOSPITALS NHS TRUST,6878229,"30,742.00",654943996
Department of Health,Western Cheshire PCT,20/08/2010,Hcare Srv Rec NHS Trust,RJE N STAFF HOSP,UNIVERSITY HOSPITAL OF NORTH STAFFORDSHIRE NHS TRUST,6886214,"39,159.00",654932808
Department of Health,Western Cheshire PCT,20/08/2010,Hcare Srv Rec NHS Trust,RL1 R JONES A HUNT,ROBERT JONES&AGNES HUNT ORTHOPAEDIC&DISTRICT HOSPITAL NHS TRUST,6878277,"167,287.00",654938006
Department of Health,Western Cheshire PCT,20/08/2010,Hcare Srv Rec NHS Trust,RQ6 ROY LIV & BGREEN,ROYAL LIVERPOOL&BROADGREEN UNIVERSITY HOSPITALS NHS TRUST (THE),6878306,"317,614.00",654966000
Department of Health,Western Cheshire PCT,20/08/2010,Hcare Srv Rec NHS Trust,RX7 NW AMBULANCE,BLACKPOOL PCT,6886114,"508,099.00",654416535
Department of Health,Western Cheshire PCT,13/08/2010,Hcare Srv Rec NHS Trust,RXW SHREWS & TEL,SHREWSBURY&TELFORD HOSPITAL NHS TRUST,6798949,"54,980.00",654939296
Department of Health,Western Cheshire PCT,20/08/2010,Healthcare Srv Rec PCTs,5NK WIRRAL PCT BLK,WIRRAL PCT,6878232,"44,748.00",NULL
Department of Health,Western Cheshire PCT,26/08/2010,Healthcare Srv Rec PCTs,CITC,CENTRAL AND EASTERN CHESHIRE PCT,6954419,"845,000.00",654915513
Department of Health,Western Cheshire PCT,26/08/2010,Healthcare Srv Rec PCTs,CITC,CENTRAL AND EASTERN CHESHIRE PCT,6954420,"382,000.00",654915513
Department of Health,Western Cheshire PCT,20/08/2010,Healthcare Srv Rec PCTs,IS CONTRACTS,HALTON AND ST HELENS PCT,6878235,"371,616.00",NULL
Department of Health,Western Cheshire PCT,02/08/2010,Healthcare Srv Rec PCTs,NW SSCT,NORTH WEST SPECIALISED COMMISSIONING TEAM,6742944,"2,102,000.00",654426237
Department of Health,Western Cheshire PCT,02/08/2010,Healthcare Srv Rec PCTs,NWSCT HOST ALLOCATIONS,NORTH WEST SPECIALISED COMMISSIONING TEAM,6725523,"2,000,000.00",654426237
Department of Health,Western Cheshire PCT,02/08/2010,Healthcare Srv Rec PCTs,NWSCT HOST ALLOCATIONS,NORTH WEST SPECIALISED COMMISSIONING TEAM,6776158,"710,000.00",654426237
Department of Health,Western Cheshire PCT,13/08/2010,Hlthcre-Foundation Trsts,DAAT,CHESHIRE & WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,6870103,"103,913.00",654951901
Department of Health,Western Cheshire PCT,02/08/2010,Hlthcre-Foundation Trsts,RBL WIRRAL HOSP BLK,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,6725561,"1,331,298.75",654952016
Department of Health,Western Cheshire PCT,20/08/2010,Hlthcre-Foundation Trsts,RBL WIRRAL HOSP BLK,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,6878261,"1,331,298.75",654952016
Department of Health,Western Cheshire PCT,20/08/2010,Hlthcre-Foundation Trsts,RBT MID CHESH BLK,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,6911857,"505,795.09",654929986
Department of Health,Western Cheshire PCT,13/08/2010,Hlthcre-Foundation Trsts,RBV-CHRISTIE HOSP NHSFT,CHRISTIE HOSPITAL NHS FOUNDATION TRUST,6798952,"43,453.00",654916118
Department of Health,Western Cheshire PCT,13/08/2010,Hlthcre-Foundation Trsts,REM AINTREE BLK,AINTREE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6719038,"129,296.00",654910626
Department of Health,Western Cheshire PCT,20/08/2010,Hlthcre-Foundation Trsts,REN CLATTERBRIDGE ONC,CLATTERBRIDGE CENTRE FOR ONCOLOGY NHS FOUNDATION TRUST,6920389,"527,076.00",654916412
Department of Health,Western Cheshire PCT,20/08/2010,Hlthcre-Foundation Trsts,REP LIV WOMENS BLK,LIVERPOOL WOMENS HOSPITAL NHS FOUNDATION TRUST,6878327,"48,024.00",654928891
Department of Health,Western Cheshire PCT,20/08/2010,Hlthcre-Foundation Trsts,RM2 S MANCHESTER UNI,UNIVERSITY HOSPITAL OF SOUTH MANCHESTER NHS FOUNDATION TRUST,6911856,"28,579.00",654941709
Department of Health,Western Cheshire PCT,20/08/2010,Hlthcre-Foundation Trsts,RW3 C MAN & MAN CHILD,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6878236,"26,639.00",654415538
Department of Health,Western Cheshire PCT,20/08/2010,Hlthcre-Foundation Trsts,RWW N CHESHIRE HOSP,WARRINGTON & HALTON HOSPITALS NHS FOUNDATION TRUST,6878228,"303,146.00",654404741
Department of Health,Western Cheshire PCT,20/08/2010,Hlthcre-Foundation Trsts,RXA CHESH & WIRR BLK,CHESHIRE & WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,6920357,"103,461.50",654951901
Department of Health,Western Cheshire PCT,16/08/2010,Premises PMS,PMS DR A N HOY,PRIME PUBLIC PARTNERSHIPS LTD,6878226,"40,896.15",NULL
Department of Health,Western Cheshire PCT,02/08/2010,Services Received - NHSTs,CONTRACTING TEAM-FINANCE,SALFORD ROYAL NHS FOUNDATION TRUST,6776107,"32,830.00",654939786
Department of Health,Western Cheshire PCT,02/08/2010,Services Received - NHSTs,HUMAN RESOURCES,EAST CHESHIRE NHS TRUST,6719022,"278,072.00",654919892
Department of Health,Western Cheshire PCT,13/08/2010,Services Received - NHSTs,HUMAN RESOURCES,EAST CHESHIRE NHS TRUST,6816616,"92,691.00",654919892
Department of Health,Western Cheshire PCT,13/08/2010,Services Received - NHSTs,HUMAN RESOURCES,EAST CHESHIRE NHS TRUST,6816617,"92,691.00",654919892
Department of Health,Western Cheshire PCT,13/08/2010,Services Received - PCTs,Collective Comm Networks,WIRRAL PCT,6870105,"364,000.00",NULL
Department of Health,Western Cheshire PCT,13/08/2010,Services Received - PCTs,ICT,CENTRAL AND EASTERN CHESHIRE PCT,6798929,"121,833.33",654915513
Department of Health,Western Cheshire PCT,13/08/2010,Services Received - PCTs,REGIONAL DEVOLVED BUDGETS,LIVERPOOL PCT,6870116,"42,183.50",654424145
Department of Health,Western Cheshire PCT,05/08/2010,Services from Local Auth,REHAB LINK TEAM,CHESHIRE WEST & CHESTER COUNCIL,6816613,"52,329.00",945101154
Department of Health,Western Cheshire PCT,20/08/2010,SrvcsRecd-FoundationTrust,ESTATES - OPERATIONAL,CHESHIRE & WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,6878270,"76,938.75",654951901
Department of Health,Western Cheshire PCT,20/08/2010,SrvcsRecd-FoundationTrust,ESTATES - OPERATIONAL,CHESHIRE & WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,6878273,"25,834.15",654951901
Department of Health,Western Cheshire PCT,13/08/2010,SrvcsRecd-FoundationTrust,PROVIDER MANAGEMENT,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,6870100,"28,366.75",654917507
Department of Health,Western Cheshire PCT,13/08/2010,SrvcsRecd-FoundationTrust,PROVIDER MANAGEMENT,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,6870101,"28,366.75",654917507
Department of Health,Western Cheshire PCT,13/08/2010,ALCOHOL - NEW PATIENT SCREENING,General Practioner Payments,BUNBURY MEDICAL CENTRE,N81006 40403,£36.20,
Department of Health,Western Cheshire PCT,13/08/2010,ANTI COAG MONITORING GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,N81006 40403,"£1,938.30",
Department of Health,Western Cheshire PCT,13/08/2010,BUDGET GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,N81006 40403,"£50,518.83",
Department of Health,Western Cheshire PCT,13/08/2010,COURIER,General Practioner Payments,BUNBURY MEDICAL CENTRE,N81006 40403,-£6.00,
Department of Health,Western Cheshire PCT,13/08/2010,DRUG MISUSE PATIENTS GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,N81006 40403,£414.59
Department of Health,Western Cheshire PCT,13/08/2010,FLU & PNEU VACCS GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,N81006 40403,£7.78
Department of Health,Western Cheshire PCT,13/08/2010,I U CONTRACEPTIVE GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,N81006 40403,"£1,103.89"
Department of Health,Western Cheshire PCT,13/08/2010,IMP QUALITY ACCESS SCHEME GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,N81006 40403,"£6,030.64"
Department of Health,Western Cheshire PCT,13/08/2010,INTERMEDIATE CARE,General Practioner Payments,BUNBURY MEDICAL CENTRE,N81006 40403,£725.55
Department of Health,Western Cheshire PCT,13/08/2010,INTRA PARTUM CARE GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,N81006 40403,£55.22
Department of Health,Western Cheshire PCT,13/08/2010,LEVY (STAT),General Practioner Payments,BUNBURY MEDICAL CENTRE,N81006 40403,-£162.87
Department of Health,Western Cheshire PCT,13/08/2010,LEVY (VOL),General Practioner Payments,BUNBURY MEDICAL CENTRE,N81006 40403,-£18.57
Department of Health,Western Cheshire PCT,13/08/2010,MENTAL HEALTH,General Practioner Payments,BUNBURY MEDICAL CENTRE,N81006 40403,£848.08
Department of Health,Western Cheshire PCT,13/08/2010,MINOR INJURIES SERVICES GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,N81006 40403,"£2,615.05"
Department of Health,Western Cheshire PCT,13/08/2010,MINOR SURGERY GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,N81006 40403,"£3,387.32"
Department of Health,Western Cheshire PCT,13/08/2010,NEAR PATIENT TESTING GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,N81006 40403,£804.30
Department of Health,Western Cheshire PCT,13/08/2010,OOH DEDUCTION GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,N81006 40403,"-£1,387.75"
Department of Health,Western Cheshire PCT,13/08/2010,OSTEOPOROSIS,General Practioner Payments,BUNBURY MEDICAL CENTRE,N81006 40403,£358.86
Department of Health,Western Cheshire PCT,13/08/2010,PRESCR LEADS MEETING,General Practioner Payments,BUNBURY MEDICAL CENTRE,N81006 40403,£70.00
Department of Health,Western Cheshire PCT,13/08/2010,QUALITY ASPIRATION PYMT GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,N81006 40403,"£6,077.85"
Department of Health,Western Cheshire PCT,13/08/2010,RURAL GP NETWORK,General Practioner Payments,BUNBURY MEDICAL CENTRE,N81006 40403,£200.00
Department of Health,Western Cheshire PCT,13/08/2010,SENIORITY PAYMENT GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,N81006 40403,£121.33
Department of Health,Western Cheshire PCT,13/08/2010,SPIROMETRY/ECG,General Practioner Payments,BUNBURY MEDICAL CENTRE,N81006 40403,"£4,117.25"
Department of Health,Western Cheshire PCT,13/08/2010,BUDGET GENERAL,General Practioner Payments,CHESTER WALK IN CENTRE,Y02822 40403,"£133,479.50"
Department of Health,Western Cheshire PCT,13/08/2010,ANTI COAG MONITORING GENERAL,General Practioner Payments,FARNDON HEALTH CENTRE,N81126 40403,"£1,882.92"
Department of Health,Western Cheshire PCT,13/08/2010,BUDGET GENERAL,General Practioner Payments,FARNDON HEALTH CENTRE,N81126 40403,"£30,563.00"
Department of Health,Western Cheshire PCT,13/08/2010,COURIER,General Practioner Payments,FARNDON HEALTH CENTRE,N81126 40403,-£3.00
Department of Health,Western Cheshire PCT,13/08/2010,FLU & PNEU VACCS GENERAL,General Practioner Payments,FARNDON HEALTH CENTRE,N81126 40403,£7.78
Department of Health,Western Cheshire PCT,13/08/2010,I U CONTRACEPTIVE GENERAL,General Practioner Payments,FARNDON HEALTH CENTRE,N81126 40403,£789.35
Department of Health,Western Cheshire PCT,13/08/2010,IMP QUALITY ACCESS SCHEME GENERAL,General Practioner Payments,FARNDON HEALTH CENTRE,N81126 40403,"£5,033.60"
Department of Health,Western Cheshire PCT,13/08/2010,LEARING DISABLITY - ASPIRATION,General Practioner Payments,FARNDON HEALTH CENTRE,N81126 40403,£2.55
Department of Health,Western Cheshire PCT,13/08/2010,LEVY (STAT),General Practioner Payments,FARNDON HEALTH CENTRE,N81126 40403,-£158.05
Department of Health,Western Cheshire PCT,13/08/2010,LEVY (VOL),General Practioner Payments,FARNDON HEALTH CENTRE,N81126 40403,-£18.02
Department of Health,Western Cheshire PCT,13/08/2010,MENTAL HEALTH,General Practioner Payments,FARNDON HEALTH CENTRE,N81126 40403,£749.20
Department of Health,Western Cheshire PCT,13/08/2010,MINOR INJURIES SERVICES GENERAL,General Practioner Payments,FARNDON HEALTH CENTRE,N81126 40403,"£1,271.77"
Department of Health,Western Cheshire PCT,13/08/2010,NEAR PATIENT TESTING GENERAL,General Practioner Payments,FARNDON HEALTH CENTRE,N81126 40403,£367.68
Department of Health,Western Cheshire PCT,13/08/2010,OOH DEDUCTION GENERAL,General Practioner Payments,FARNDON HEALTH CENTRE,N81126 40403,"-£1,134.75"
Department of Health,Western Cheshire PCT,13/08/2010,ORANGE BADGE PAYMENTS GENERAL,General Practioner Payments,FARNDON HEALTH CENTRE,N81126 40403,£134.65
Department of Health,Western Cheshire PCT,13/08/2010,PREMISES (RENT) GENERAL,General Practioner Payments,FARNDON HEALTH CENTRE,N81126 40403,"£1,917.67"
Department of Health,Western Cheshire PCT,13/08/2010,QUALITY ASPIRATION PYMT GENERAL,General Practioner Payments,FARNDON HEALTH CENTRE,N81126 40403,"£4,672.55"
Department of Health,Western Cheshire PCT,13/08/2010,RURAL GP NETWORK,General Practioner Payments,FARNDON HEALTH CENTRE,N81126 40403,£200.00
Department of Health,Western Cheshire PCT,13/08/2010,SENIORITY PAYMENT GENERAL,General Practioner Payments,FARNDON HEALTH CENTRE,N81126 40403,£166.75
Department of Health,Western Cheshire PCT,13/08/2010,SPIROMETRY/ECG,General Practioner Payments,FARNDON HEALTH CENTRE,N81126 40403,"£3,027.87"
Department of Health,Western Cheshire PCT,13/08/2010,ANTI COAG MONITORING GENERAL,General Practioner Payments,GARDEN LANE MEDICAL CENTRE,N81081 40403,£733.50
Department of Health,Western Cheshire PCT,13/08/2010,BUDGET GENERAL,General Practioner Payments,GARDEN LANE MEDICAL CENTRE,N81081 40403,"£89,757.00"
Department of Health,Western Cheshire PCT,13/08/2010,COURIER,General Practioner Payments,GARDEN LANE MEDICAL CENTRE,N81081 40403,-£18.00
Department of Health,Western Cheshire PCT,13/08/2010,GP RETAINER SCHEME GENERAL,General Practioner Payments,GARDEN LANE MEDICAL CENTRE,N81081 40403,"£2,367.20"
Department of Health,Western Cheshire PCT,13/08/2010,I U CONTRACEPTIVE GENERAL,General Practioner Payments,GARDEN LANE MEDICAL CENTRE,N81081 40403,"£2,720.25"
Department of Health,Western Cheshire PCT,13/08/2010,IM & T GENERAL,General Practioner Payments,GARDEN LANE MEDICAL CENTRE,N81081 40403,"£1,811.25"
Department of Health,Western Cheshire PCT,13/08/2010,IMP QUALITY ACCESS SCHEME GENERAL,General Practioner Payments,GARDEN LANE MEDICAL CENTRE,N81081 40403,"£14,378.43"
Department of Health,Western Cheshire PCT,13/08/2010,LEARING DISABLITY - ASPIRATION,General Practioner Payments,GARDEN LANE MEDICAL CENTRE,N81081 40403,£8.50
Department of Health,Western Cheshire PCT,13/08/2010,LEVY (STAT),General Practioner Payments,GARDEN LANE MEDICAL CENTRE,N81081 40403,-£393.13
Department of Health,Western Cheshire PCT,13/08/2010,LEVY (VOL),General Practioner Payments,GARDEN LANE MEDICAL CENTRE,N81081 40403,-£44.81
Department of Health,Western Cheshire PCT,13/08/2010,MENTAL HEALTH,General Practioner Payments,GARDEN LANE MEDICAL CENTRE,N81081 40403,"£1,675.96"
Department of Health,Western Cheshire PCT,13/08/2010,MINOR SURGERY GENERAL,General Practioner Payments,GARDEN LANE MEDICAL CENTRE,N81081 40403,"£3,788.45"
Department of Health,Western Cheshire PCT,13/08/2010,NEAR PATIENT TESTING GENERAL,General Practioner Payments,GARDEN LANE MEDICAL CENTRE,N81081 40403,£965.16
Department of Health,Western Cheshire PCT,13/08/2010,NURSING/RESIDENTIAL HOMES GENERAL,General Practioner Payments,GARDEN LANE MEDICAL CENTRE,N81081 40403,"£10,000.00"
Department of Health,Western Cheshire PCT,13/08/2010,OOH DEDUCTION GENERAL,General Practioner Payments,GARDEN LANE MEDICAL CENTRE,N81081 40403,"-£3,249.00"
Department of Health,Western Cheshire PCT,13/08/2010,ORANGE BADGE PAYMENTS GENERAL,General Practioner Payments,GARDEN LANE MEDICAL CENTRE,N81081 40403,£107.72
