Org Code Desc,Dept Family,Entity,Payment Date,Expense Type,Expense Area,Supplier,Invoice Num,Amount
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,DIAGNOSTIC SERVICES,24-Mar-14,COMPUTER SOFTWARE / LICENSE  FEES,DIAGNOSTIC MANAGEMENT,ACCENTURE PROPERTIES,3003236536,"26,472.45"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,DIAGNOSTIC SERVICES,24-Mar-14,COMPUTER SOFTWARE / LICENSE  FEES,DIAGNOSTIC MANAGEMENT,ACCENTURE PROPERTIES,3003236536,"5,294.49"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,DIAGNOSTIC SERVICES,24-Mar-14,COMPUTER SOFTWARE / LICENSE  FEES,DIAGNOSTIC MANAGEMENT,ACCENTURE PROPERTIES,3003236536,"-5,294.49"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,PATHOLOGY,14-Mar-14,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1293014,"40,799.37"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,PATHOLOGY,14-Mar-14,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1293014,"8,159.87"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,PATHOLOGY,14-Mar-14,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1293014,"-8,159.87"
AIREDALE NHS FOUNDATION TRUST,DIAGNOSTIC SERVICES,PATHOLOGY,14-Mar-14,LABORATORY REAGENTS,PATHOLOGY,BECKMAN INSTRUMENTS (UK) LTD,1293014,"-8,159.87"
AIREDALE NHS FOUNDATION TRUST,CENTRAL INCOME,RESERVES AND PROVISIONS TECHNICAL,21-Mar-14,RENT,RESERVES AND PROVISIONS TECHNICAL,COMMUNITY HEALTH PARTNERSHIPS,50367002,"68,159.40"
AIREDALE NHS FOUNDATION TRUST,CENTRAL INCOME,RESERVES AND PROVISIONS TECHNICAL,21-Mar-14,RENT,RESERVES AND PROVISIONS TECHNICAL,COMMUNITY HEALTH PARTNERSHIPS,50367002,"56,799.50"
AIREDALE NHS FOUNDATION TRUST,CENTRAL INCOME,RESERVES AND PROVISIONS TECHNICAL,21-Mar-14,RENT,RESERVES AND PROVISIONS TECHNICAL,COMMUNITY HEALTH PARTNERSHIPS,50367002,"-68,159.40"
AIREDALE NHS FOUNDATION TRUST,ESTATES,ESTATES,28-Mar-14,GAS,UTILITIES,CORONA ENERGY LTD,8985158,"62,008.75"
AIREDALE NHS FOUNDATION TRUST,ESTATES,ESTATES,28-Mar-14,GAS,UTILITIES,CORONA ENERGY LTD,8985158,"12,401.75"
AIREDALE NHS FOUNDATION TRUST,ESTATES,ESTATES,31-Mar-14,GAS,UTILITIES,CORONA ENERGY LTD,9084941,"58,714.37"
AIREDALE NHS FOUNDATION TRUST,ESTATES,ESTATES,31-Mar-14,GAS,UTILITIES,CORONA ENERGY LTD,9084941,"11,742.87"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,SUPPORT SERVICES TEAM,07-Mar-14,CONTRACT : PREMISES SECURITY,SECURITY / CAR PARKING,CP PLUS LTD,17981/02,"21,968.83"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,SUPPORT SERVICES TEAM,07-Mar-14,CONTRACT : PREMISES SECURITY,SECURITY / CAR PARKING,CP PLUS LTD,17981/02,"4,393.77"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,SUPPORT SERVICES TEAM,07-Mar-14,CONTRACT : PREMISES SECURITY,SECURITY / CAR PARKING,CP PLUS LTD,17981/02,"-4,393.77"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,SUPPORT SERVICES TEAM,07-Mar-14,CONTRACT : PREMISES SECURITY,SECURITY / CAR PARKING,CP PLUS LTD,17981/02,"-4,393.77"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,SUPPORT SERVICES TEAM,31-Mar-14,CONTRACT : PREMISES SECURITY,SECURITY / CAR PARKING,CP PLUS LTD,18102/03,"21,868.83"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,SUPPORT SERVICES TEAM,31-Mar-14,CONTRACT : PREMISES SECURITY,SECURITY / CAR PARKING,CP PLUS LTD,18102/03,100
AIREDALE NHS FOUNDATION TRUST,FACILITIES,SUPPORT SERVICES TEAM,31-Mar-14,CONTRACT : PREMISES SECURITY,SECURITY / CAR PARKING,CP PLUS LTD,18102/03,"4,373.77"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,SUPPORT SERVICES TEAM,31-Mar-14,CONTRACT : PREMISES SECURITY,SECURITY / CAR PARKING,CP PLUS LTD,18102/03,"-4,373.77"
AIREDALE NHS FOUNDATION TRUST,FACILITIES,SUPPORT SERVICES TEAM,31-Mar-14,CONTRACT : PREMISES SECURITY,SECURITY / CAR PARKING,CP PLUS LTD,18102/03,20
AIREDALE NHS FOUNDATION TRUST,FACILITIES,SUPPORT SERVICES TEAM,31-Mar-14,CONTRACT : PREMISES SECURITY,SECURITY / CAR PARKING,CP PLUS LTD,18102/03,-20
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,14-Mar-14,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1306/1647,"14,116.81"
AIREDALE NHS FOUNDATION TRUST,BALANCE SHEET,BALANCE SHEET,14-Mar-14,ADDITIONS - NON RESIDENTIAL BUILDINGS,BALANCE SHEET,DAVRIC CONSTRUCTION PROJECTS LTD,1306/1647,"21,175.21"
