Country,AuthorityType,AuthorityName,AnalysisType-MicrobiologicalContamination,AnalysisType-OtherContamination,AnalysisType-Composition,AnalysisType-Labelling&Presentation,AnalysisType-Others,AnalysisType-Unclassified(1),TotalNumberOfSamplesTaken
England,County Council,Buckinghamshire,0,42,29,88,0,0,159
England,County Council,Cambridgeshire,9,15,82,54,0,0,107
England,County Council,Cumbria ,0,3,94,47,0,0,106
England,County Council,Derbyshire,0,3,190,194,0,0,198
England,County Council,Devon and Somerset ,0,100,241,15,2,0,342
England,County Council,Dorset,0,7,73,58,10,0,104
England,County Council,East Sussex,0,0,140,10,0,0,140
England,County Council,Essex,1,35,105,64,7,0,211
England,County Council,Gloucestershire,0,0,25,4,0,0,29
England,County Council,Hampshire,0,10,171,195,0,0,246
England,County Council,Hertfordshire,0,185,317,325,14,0,413
England,County Council,Kent,0,204,226,303,1,4,347
England,County Council,Lancashire,0,0,210,169,136,0,427
England,County Council,Leicestershire,0,259,158,87,59,0,259
England,County Council,Lincolnshire ,0,25,36,19,11,0,91
England,County Council,Norfolk,0,35,113,66,1,0,169
England,County Council,North Yorkshire ,0,7,131,5,1,0,144
England,County Council,Northamptonshire,22,21,66,113,1,0,164
England,County Council,Nottinghamshire ,0,1,3,0,0,0,4
England,County Council,Oxfordshire,0,7,17,10,0,0,19
England,County Council,Staffordshire,7,0,225,0,0,0,226
England,County Council,Suffolk,0,23,81,49,0,0,127
England,County Council,Surrey,1,5,66,94,0,0,139
England,County Council,Warwickshire,0,0,35,7,0,0,36
England,County Council,West Sussex,1,8,94,87,6,0,146
England,County Council,Worcestershire,0,0,175,22,0,0,197
England,District Council,Adur and Worthing ,19,0,0,0,0,0,19
England,District Council,Allerdale,49,0,0,0,0,0,49
England,District Council,Amber Valley ,66,0,0,0,3,0,69
England,District Council,Arun,56,0,0,0,0,0,56
England,District Council,Ashfield,6,0,0,0,0,0,6
England,District Council,Ashford,151,0,0,0,0,0,151
England,District Council,Aylesbury Vale,10,0,0,0,0,0,10
England,District Council,Babergh and Mid Suffolk ,61,0,0,0,0,0,61
England,District Council,Barrow-in-Furness,0,0,0,0,0,0,0
England,District Council,Basildon,61,0,0,0,0,0,61
England,District Council,Basingstoke and Deane,41,0,0,1,0,0,42
England,District Council,Bassetlaw,128,0,0,0,0,0,128
England,District Council,Blaby,31,0,0,0,0,0,31
England,District Council,Bolsover,100,0,0,0,0,0,100
England,District Council,Boston,47,0,0,0,0,0,47
England,District Council,Braintree,37,0,0,0,0,0,37
England,District Council,Breckland,177,0,0,0,0,0,177
England,District Council,Brentwood,137,0,0,0,0,0,137
England,District Council,Broadland,338,0,0,0,0,0,338
England,District Council,Bromsgrove,12,1,0,0,0,0,13
England,District Council,Broxbourne,5,0,0,0,0,0,5
England,District Council,Broxtowe,99,0,0,0,0,0,99
England,District Council,Burnley,43,0,0,0,0,0,43
England,District Council,Cambridge City,0,0,0,0,0,0,0
England,District Council,Cannock Chase,34,0,0,0,0,0,34
England,District Council,Canterbury City,88,0,0,0,0,0,88
England,District Council,Carlisle City,67,0,0,0,0,0,67
England,District Council,Castle Point,43,0,0,0,0,0,43
England,District Council,Charnwood,285,0,0,0,0,0,285
England,District Council,Chelmsford,9,0,0,0,0,0,9
England,District Council,Cheltenham,3,0,0,0,0,0,3
England,District Council,Cherwell ,62,0,0,0,0,0,62
England,District Council,Chesterfield ,45,0,0,0,0,0,45
England,District Council,Chichester,99,2,0,0,0,0,101
England,District Council,Chiltern,84,0,0,0,0,0,84
England,District Council,Chorley ,10,0,0,0,0,0,10
England,District Council,Christchurch,16,0,0,0,0,0,16
England,District Council,Colchester,199,0,0,0,0,0,199
England,District Council,Copeland,88,0,0,0,0,0,88
England,District Council,Corby,195,0,0,0,0,0,195
England,District Council,Cotswold,11,0,0,0,0,0,11
England,District Council,Craven,227,0,0,0,0,0,227
England,District Council,Crawley,39,0,0,0,0,0,39
England,District Council,Dacorum,9,0,0,0,0,0,9
England,District Council,Dartford ,22,0,0,0,0,0,22
England,District Council,Daventry ,38,0,0,0,0,0,38
England,District Council,Derbyshire Dales ,5,0,0,0,0,0,5
England,District Council,Dover,75,0,0,0,0,0,75
England,District Council,East Cambridgeshire,96,0,0,0,0,0,96
England,District Council,East Devon,276,0,0,0,0,0,276
England,District Council,East Dorset,101,0,0,0,0,0,101
England,District Council,East Hampshire,60,0,0,0,0,0,60
England,District Council,East Hertfordshire,6,0,0,0,0,0,6
England,District Council,East Lindsey,44,2,0,2,0,0,44
England,District Council,East Northamptonshire,100,0,0,0,0,0,100
England,District Council,East Staffordshire ,74,0,0,0,0,0,74
England,District Council,Eastbourne,29,0,0,0,0,0,29
England,District Council,Eastleigh,28,0,0,0,0,0,28
England,District Council,Eden,197,0,0,0,0,0,197
England,District Council,Elmbridge,11,1,0,0,0,0,12
England,District Council,Epping Forest,11,0,0,0,0,0,11
England,District Council,Epsom and Ewell,0,0,0,0,0,0,0
England,District Council,Erewash,24,0,0,0,0,0,24
England,District Council,Exeter City,101,0,0,0,0,0,101
England,District Council,Fareham,16,0,0,0,0,0,16
England,District Council,Fenland,16,0,0,0,0,0,16
England,District Council,Forest of Dean ,9,0,0,0,0,0,9
England,District Council,Fylde,14,0,0,0,0,0,14
England,District Council,Gedling,94,0,0,0,0,0,94
England,District Council,Gloucester City,12,0,0,0,0,0,12
England,District Council,Gosport,0,0,0,0,0,0,0
England,District Council,Gravesham,103,0,0,0,0,0,103
England,District Council,Great Yarmouth,130,0,0,0,0,0,130
England,District Council,Guildford,21,0,0,0,0,0,21
England,District Council,Hambleton,178,0,0,0,0,0,178
England,District Council,Harborough,45,0,0,0,5,0,50
England,District Council,Harlow,119,0,0,0,0,0,119
England,District Council,Harrogate,152,0,0,0,0,0,152
England,District Council,Hart,100,0,0,0,0,0,100
England,District Council,Hastings,67,0,0,0,0,0,67
England,District Council,Havant,67,0,0,0,0,0,67
England,District Council,Hertsmere,83,1,0,0,0,0,84
England,District Council,High Peak,22,0,0,0,0,0,22
England,District Council,Hinckley and Bosworth,304,0,0,0,0,0,304
England,District Council,Horsham,26,0,0,0,0,0,26
England,District Council,Huntingdonshire,114,0,0,0,0,0,114
England,District Council,Hyndburn,0,0,0,0,0,0,0
England,District Council,Ipswich,19,0,0,0,0,0,19
England,District Council,Kettering,58,0,2,2,2,0,58
England,District Council,King's Lynn and West Norfolk,90,0,0,0,0,0,90
England,District Council,Lancaster City,32,0,29,0,0,0,61
England,District Council,Lewes,22,0,0,0,0,0,22
England,District Council,Lichfield,88,0,0,0,0,0,88
England,District Council,Lincoln City,55,0,0,0,0,0,55
England,District Council,Maidstone,15,20,0,0,0,0,35
England,District Council,Maldon,26,0,0,0,0,0,26
England,District Council,Malvern Hills,2,0,0,0,0,0,2
England,District Council,Mansfield,100,0,0,0,0,0,100
England,District Council,Melton ,12,0,0,0,0,0,12
England,District Council,Mendip,48,3,0,0,0,0,51
England,District Council,Mid Devon,195,0,0,0,0,0,195
England,District Council,Mid Sussex,141,0,0,0,0,0,141
England,District Council,Mole Valley,0,0,0,0,0,0,0
England,District Council,New Forest,134,0,0,0,0,0,134
England,District Council,Newark and Sherwood,28,0,0,0,1,0,29
England,District Council,Newcastle-under-Lyme ,98,0,0,0,0,0,98
England,District Council,North Devon,8,0,0,0,0,0,8
England,District Council,North Dorset,150,0,0,0,1,0,151
England,District Council,North East Derbyshire,96,0,0,0,0,0,96
England,District Council,North Hertfordshire,28,0,0,0,0,0,28
England,District Council,North Kesteven,0,0,0,0,0,0,0
England,District Council,North Norfolk,2,0,0,0,0,0,2
England,District Council,North Warwickshire,82,0,0,0,0,0,82
England,District Council,North West Leicestershire,93,0,1,0,0,0,94
England,District Council,Northampton,10,0,0,0,0,0,10
England,District Council,Norwich City ,212,0,0,0,0,0,212
England,District Council,Nuneaton and Bedworth,55,0,0,0,0,0,55
England,District Council,Oadby and Wigston,61,0,0,0,0,0,61
England,District Council,Oxford City,10,0,0,0,0,0,10
England,District Council,Pendle,2,0,0,0,0,0,2
England,District Council,Preston,0,0,0,0,0,0,0
England,District Council,Purbeck,111,0,0,0,0,0,111
England,District Council,Redditch,0,1,0,0,0,0,1
England,District Council,Reigate and Banstead ,32,0,0,0,0,0,32
England,District Council,Ribble Valley,26,1,0,0,0,0,27
England,District Council,Richmondshire,182,0,0,0,0,0,182
England,District Council,Rochford,0,0,0,0,0,0,0
England,District Council,Rossendale,26,0,0,0,0,0,26
England,District Council,Rother and Wealden,242,0,0,0,0,0,242
England,District Council,Rugby,6,0,0,0,0,0,6
England,District Council,Runnymede,23,0,0,0,0,0,23
England,District Council,Rushcliffe,137,0,0,0,0,0,137
England,District Council,Rushmoor,7,0,0,0,0,0,7
England,District Council,Ryedale,12,0,0,0,0,0,12
England,District Council,Scarborough,41,0,0,0,0,0,41
England,District Council,Sedgemoor,34,0,0,0,0,0,34
England,District Council,Selby,40,0,0,0,0,0,40
England,District Council,Sevenoaks,80,0,0,0,0,0,80
England,District Council,Shepway,78,0,0,0,0,0,78
England,District Council,South Buckinghamshire,66,0,0,0,0,0,66
England,District Council,South Cambridgeshire,0,0,0,0,0,0,0
England,District Council,South Derbyshire,59,0,0,0,0,0,59
England,District Council,South Hams,102,0,0,0,0,0,102
England,District Council,South Holland,26,0,0,0,0,0,26
England,District Council,South Kesteven,41,0,0,0,0,0,41
England,District Council,South Lakeland,96,0,0,0,0,0,96
England,District Council,South Norfolk,10,0,0,0,0,0,10
England,District Council,South Northamptonshire,28,0,0,0,0,0,28
England,District Council,South Oxfordshire,48,0,0,0,0,0,48
England,District Council,South Ribble,31,21,0,0,0,0,31
England,District Council,South Somerset,233,0,0,0,0,0,233
England,District Council,South Staffordshire,95,0,0,0,0,0,95
England,District Council,Spelthorne,0,0,0,0,0,0,0
England,District Council,St Albans City,15,0,0,0,0,0,15
England,District Council,Stafford ,109,0,0,0,0,0,109
England,District Council,Staffordshire Moorlands,34,0,0,0,0,0,34
England,District Council,Stevenage,86,0,0,0,0,0,86
England,District Council,Stratford-on-Avon,41,0,0,0,0,0,41
England,District Council,Stroud,27,0,0,0,0,0,27
England,District Council,Suffolk Coastal,21,0,0,0,0,0,21
England,District Council,Surrey Heath,50,42,28,27,27,0,50
England,District Council,Swale,31,9,0,0,0,0,40
England,District Council,Tamworth,6,0,0,0,0,0,6
England,District Council,Tandridge,20,0,0,0,0,0,20
England,District Council,Taunton Deane,7,0,0,0,0,0,7
England,District Council,Teignbridge,25,0,0,0,0,0,25
England,District Council,Tendring,44,0,0,0,0,0,44
England,District Council,Test Valley,155,0,0,0,48,0,155
England,District Council,Tewkesbury,68,5,0,0,1,0,73
England,District Council,Thanet,123,0,0,0,0,0,123
England,District Council,Three Rivers,0,0,0,0,0,0,0
England,District Council,Tonbridge and Malling,119,0,0,1,0,0,119
England,District Council,Torridge,68,0,0,0,0,0,68
England,District Council,Tunbridge Wells,94,0,0,0,0,0,94
England,District Council,Uttlesford,39,0,0,0,0,0,39
England,District Council,Vale of White Horse,37,0,0,0,0,0,37
England,District Council,Warwick,113,0,0,0,0,0,113
England,District Council,Watford ,85,0,0,0,0,0,85
England,District Council,Waveney,17,0,0,0,0,0,17
England,District Council,Waverley,34,0,0,0,0,0,34
England,District Council,Wellingborough,23,0,0,0,0,0,23
England,District Council,Welwyn Hatfield ,64,0,0,0,0,0,64
England,District Council,West Devon,42,0,0,0,0,0,42
England,District Council,West Dorset,145,0,0,0,0,0,145
England,District Council,West Lancashire,18,0,0,0,0,0,18
England,District Council,West Lindsey,0,0,0,0,0,0,0
England,District Council,West Oxfordshire,3,0,0,0,0,0,3
England,District Council,West Somerset,17,0,0,0,0,0,17
England,District Council,West Suffolk Councils (Forest Heath DC and St. Edmundsbury BC),39,0,0,0,0,0,39
England,District Council,Weymouth and Portland,13,0,0,0,0,0,13
England,District Council,Winchester City,27,0,0,0,0,0,27
England,District Council,Woking,83,0,0,0,0,0,83
England,District Council,Worcester City,0,0,0,0,0,0,0
England,District Council,Wychavon,25,0,0,0,0,0,25
England,District Council,Wycombe,134,0,0,0,0,0,134
England,District Council,Wyre,11,0,0,0,0,0,11
England,District Council,Wyre Forest,2,2,0,0,0,0,4
England,London Borough,Barking and Dagenham,0,0,0,0,6,0,6
England,London Borough,Barnet,90,8,4,3,0,0,105
England,London Borough,Bexley,43,5,0,16,0,0,62
England,London Borough,Brent,22,0,0,0,0,0,22
England,London Borough,Bromley,35,4,20,0,0,0,59
England,London Borough,Camden,7,5,5,6,1,0,24
England,London Borough,City of London Corporation,184,6,9,0,0,0,198
England,London Borough,Croydon,42,2,13,0,0,0,57
England,London Borough,Ealing,189,0,7,2,0,0,198
England,London Borough,Enfield,15,0,0,0,0,0,15
England,London Borough,Greenwich,96,12,9,2,1,0,120
England,London Borough,Hackney,106,19,16,0,0,0,141
England,London Borough,Hammersmith and Fulham,78,21,9,13,0,0,121
England,London Borough,Haringey,73,6,5,4,0,0,84
England,London Borough,Harrow,36,0,1,1,1,0,39
England,London Borough,Havering,28,0,27,25,0,0,56
England,London Borough,Hillingdon,103,1,18,0,0,0,122
England,London Borough,Hounslow,29,13,7,0,0,0,49
England,London Borough,Islington,15,5,23,4,0,0,43
England,London Borough,Kensington and Chelsea,70,30,22,6,1,0,125
England,London Borough,Kingston-upon-Thames,1,3,2,1,0,0,4
England,London Borough,Lambeth,39,14,0,0,0,0,53
England,London Borough,Lewisham,23,0,0,8,0,0,31
England,London Borough,Merton,88,6,9,3,31,0,136
England,London Borough,Newham,9,11,0,12,2,0,34
England,London Borough,Redbridge,0,0,13,4,2,0,19
England,London Borough,Richmond-upon-Thames,0,5,0,0,78,0,83
England,London Borough,Southwark,39,48,17,5,0,0,109
England,London Borough,Sutton,16,4,0,3,0,0,23
England,London Borough,Tower Hamlets,140,8,26,0,0,0,174
England,London Borough,Waltham Forest,70,3,9,0,0,1,83
England,London Borough,Wandsworth,58,0,51,0,0,0,109
England,London Borough,Westminster,148,9,4,0,1,0,162
England,Metropolitan Borough Council,Barnsley,113,2,99,39,0,0,247
England,Metropolitan Borough Council,Birmingham,55,22,19,18,7,0,121
England,Metropolitan Borough Council,Bolton,53,8,1,2,0,0,64
England,Metropolitan Borough Council,Bradford,252,0,0,0,0,0,252
England,Metropolitan Borough Council,Bury,14,20,3,9,0,0,37
England,Metropolitan Borough Council,Calderdale ,144,0,0,0,0,0,144
England,Metropolitan Borough Council,Coventry,167,0,8,24,3,0,202
England,Metropolitan Borough Council,Doncaster,245,0,50,26,0,0,321
England,Metropolitan Borough Council,Dudley,345,13,11,3,11,0,383
England,Metropolitan Borough Council,Gateshead,296,8,60,14,0,0,365
England,Metropolitan Borough Council,Kirklees ,601,0,70,0,0,0,671
England,Metropolitan Borough Council,Knowsley,6,0,1,0,0,0,7
England,Metropolitan Borough Council,Leeds ,73,0,0,0,0,0,73
England,Metropolitan Borough Council,Liverpool,13,0,0,0,0,0,13
England,Metropolitan Borough Council,Manchester,93,1,11,0,0,0,105
England,Metropolitan Borough Council,Newcastle upon Tyne,55,0,36,3,0,0,94
England,Metropolitan Borough Council,North Tyneside,628,16,37,3,1,0,685
England,Metropolitan Borough Council,Oldham,91,34,11,5,0,0,137
England,Metropolitan Borough Council,Rochdale,69,0,12,5,0,0,86
England,Metropolitan Borough Council,Rotherham,8,2,4,4,0,0,14
England,Metropolitan Borough Council,Salford,109,0,22,4,0,0,135
England,Metropolitan Borough Council,Sandwell,72,0,90,3,0,0,165
England,Metropolitan Borough Council,Sefton,367,8,17,0,0,0,392
England,Metropolitan Borough Council,Sheffield,33,0,24,22,0,0,57
England,Metropolitan Borough Council,Solihull,32,2,8,4,0,0,46
England,Metropolitan Borough Council,South Tyneside,420,0,91,0,0,0,511
England,Metropolitan Borough Council,St Helens ,51,0,0,0,0,0,51
England,Metropolitan Borough Council,Stockport ,8,0,1,0,0,0,9
England,Metropolitan Borough Council,Sunderland,241,0,0,2,0,0,241
England,Metropolitan Borough Council,Tameside,24,0,0,0,0,0,24
England,Metropolitan Borough Council,Trafford,32,4,18,5,0,0,59
England,Metropolitan Borough Council,Wakefield,245,0,0,0,37,0,282
England,Metropolitan Borough Council,Walsall,102,5,112,31,5,0,252
England,Metropolitan Borough Council,West Yorkshire ,0,1,864,598,0,0,1233
England,Metropolitan Borough Council,Wigan,137,13,2,0,0,0,149
England,Metropolitan Borough Council,Wirral,168,11,30,15,0,0,217
England,Metropolitan Borough Council,Wolverhampton,92,0,0,0,0,0,92
England,Unitary Authority,Bath and North East Somerset,19,3,2,5,0,0,29
England,Unitary Authority,Bedford,53,15,12,12,0,0,80
England,Unitary Authority,Blackburn,10,3,12,0,0,0,25
England,Unitary Authority,Blackpool,14,0,4,0,1,0,18
England,Unitary Authority,Bournemouth,21,0,4,0,0,0,25
England,Unitary Authority,Bracknell Forest,64,19,48,25,0,0,136
England,Unitary Authority,Brighton and Hove,13,3,29,7,1,0,53
England,Unitary Authority,Bristol,138,27,11,0,0,0,176
England,Unitary Authority,Central Bedfordshire,65,6,7,4,0,0,75
