Department family,Entity,Date of payment,Expense area,Expense type,Supplier,"Transaction 
number",Amount in Sterling
Department of Health,Mersey Care NHS Trust,01/07/15,Estates,Mitie Contract Monthly Payment,Mitie Technical Facilities Management Ltd,586729,"112,254.70"
Department of Health,Mersey Care NHS Trust,01/07/15,Estates,Mitie Contract Monthly Payment,Mitie Technical Facilities Management Ltd,586729,"28,063.67"
Department of Health,Mersey Care NHS Trust,01/07/15,O.A.T'S,Miscellaneous Expenses,Cheshire And Wirral Partnership Nhs Trust,588786,"22,470.00"
Department of Health,Mersey Care NHS Trust,01/07/15,O.A.T'S,Recharge In - Acute O.A.T'S,Cheshire And Wirral Partnership Nhs Trust,588786,"100,000.00"
Department of Health,Mersey Care NHS Trust,01/07/15,O.A.T'S,Recharge In - Acute O.A.T'S,Cheshire And Wirral Partnership Nhs Trust,588786,"99,742.50"
Department of Health,Mersey Care NHS Trust,01/07/15,O.A.T'S,Recharge In - Acute O.A.T'S,Cheshire And Wirral Partnership Nhs Trust,588786,0.50
Department of Health,Mersey Care NHS Trust,07/07/15,Brain Injury Support,Rech In - Aint Hotel Srvcs,Aintree University Hospital Nhs F.T,588993,"1,055.83"
Department of Health,Mersey Care NHS Trust,07/07/15,Pcp Acute Care,Rech In - Aint Diagnostics,Aintree University Hospital Nhs F.T,588993,"1,740.46"
Department of Health,Mersey Care NHS Trust,07/07/15,Pcp Acute Care,Rech In - Aint Therapies,Aintree University Hospital Nhs F.T,588993,166.41
Department of Health,Mersey Care NHS Trust,07/07/15,Aintree Facilities,Rech In - Aint Hotel Srvcs,Aintree University Hospital Nhs F.T,588993,"1,622.08"
Department of Health,Mersey Care NHS Trust,07/07/15,Aintree Facilities,Rech In - Aint Hotel Srvcs,Aintree University Hospital Nhs F.T,588993,"14,006.30"
Department of Health,Mersey Care NHS Trust,07/07/15,Aintree Facilities,Rech In - Aint Estates,Aintree University Hospital Nhs F.T,588993,"8,688.19"
Department of Health,Mersey Care NHS Trust,07/07/15,Clock View Site Management,Rech In - Aint Hotel Srvcs,Aintree University Hospital Nhs F.T,588993,"2,770.00"
Department of Health,Mersey Care NHS Trust,07/07/15,Primary Care,Visiting Cons - Other,Aintree University Hospital Nhs F.T,588993,"2,331.81"
Department of Health,Mersey Care NHS Trust,07/07/15,Resus/Ect,Resuscitation Training,Aintree University Hospital Nhs F.T,588993,"3,509.98"
Department of Health,Mersey Care NHS Trust,07/07/15,Data & Voice Networks,Rech In - Aint Phone Srvcs,Aintree University Hospital Nhs F.T,588993,426.24
Department of Health,Mersey Care NHS Trust,07/07/15,Mh Management Nswl,Rent,The Walton Centre Nhs Foundation Trust,592430,"96,240.00"
Department of Health,Mersey Care NHS Trust,07/07/15,Estates,Water Rates,United Utilities Water Limited,592689,"40,094.84"
Department of Health,Mersey Care NHS Trust,07/07/15,Hss Perimeter Security,Building Works,Mitie Security Limited,592738,"158,866.69"
Department of Health,Mersey Care NHS Trust,13/07/15,V7 Site Management,Rent,Mason Owen,588475,"105,000.00"
Department of Health,Mersey Care NHS Trust,13/07/15,Local Haigh Road Upgrade,Building Works,W Braithwaite & Son,591718,"42,900.02"
Department of Health,Mersey Care NHS Trust,14/07/15,Liverpool Innovation Park,Building Works,Adt Workplace Limited,588574,"56,725.49"
Department of Health,Mersey Care NHS Trust,14/07/15,Liverpool Innovation Park,Building Works,Adt Workplace Limited,588575,"61,277.22"
Department of Health,Mersey Care NHS Trust,14/07/15,Bal Sheet Control,Legal Fees Current,Thompsons Solicitors,593457,"70,000.00"
Department of Health,Mersey Care NHS Trust,14/07/15,Bal Sheet Control,Childcare Voucher Deductions,Edenred,594002,"25,775.86"
Department of Health,Mersey Care NHS Trust,14/07/15,Bal Sheet Control,Childcare Voucher Deductions,Edenred,594002,"1,082.59"
Department of Health,Mersey Care NHS Trust,15/07/15,Estates,Mitie Contract Monthly Payment,Mitie Technical Facilities Management Ltd,590916,"201,330.12"
Department of Health,Mersey Care NHS Trust,15/07/15,Estates,Mitie Contract Monthly Payment,Mitie Technical Facilities Management Ltd,590917,"117,632.29"
Department of Health,Mersey Care NHS Trust,15/07/15,Clockview,Unitary Charge,Mcdc Fundco,594500,"228,734.91"
Department of Health,Mersey Care NHS Trust,17/07/15,Bal Sheet Control,Superannuation (Ee),Nhs Pensions,1081970,"754,404.35"
Department of Health,Mersey Care NHS Trust,17/07/15,Bal Sheet Control,Superannuation (Er),Nhs Pensions,1081970,"1,217,138.49"
Department of Health,Mersey Care NHS Trust,21/07/15,Hss Newman Ward Upgrade,Professional Fees,Mersey Design Group Ltd,590703,"10,140.00"
Department of Health,Mersey Care NHS Trust,21/07/15,Hss Newman Ward Upgrade,Other Capital Expenditure,Mersey Design Group Ltd,590703,"54,624.60"
Department of Health,Mersey Care NHS Trust,21/07/15,Aintree Junior Adult,Ct1 Core Training Yr1,St Helens & Knowsley Nhs Trust,593944,"300,000.00"
Department of Health,Mersey Care NHS Trust,21/07/15,Bal Sheet Control,P I B Provision Non Current,Nhs Pension Scheme,594297,"206,872.48"
Department of Health,Mersey Care NHS Trust,21/07/15,Bal Sheet Control,Capitalised Pens Non Current,Nhs Pension Scheme,594298,"106,195.30"
Department of Health,Mersey Care NHS Trust,22/07/15,Bal Sheet Control,Ni (Er),Hmrc,1082047,"191,590.96"
Department of Health,Mersey Care NHS Trust,22/07/15,Nmhis Balance Sheet Control,Ni (Er),Hmrc,1082047,"18,751.32"
Department of Health,Mersey Care NHS Trust,22/07/15,Bal Sheet Control,Ni (Ee) Lesscont Out,Hmrc,1081970,"680,924.91"
Department of Health,Mersey Care NHS Trust,22/07/15,Bal Sheet Control,Ni (Er),Hmrc,1081970,"788,258.51"
Department of Health,Mersey Care NHS Trust,22/07/15,Bal Sheet Control,Superannuation (Er),Nest - June 2015,1081970,76.66
Department of Health,Mersey Care NHS Trust,22/07/15,Bal Sheet Control,Smp,Hmrc,1081970,"-37,367.56"
Department of Health,Mersey Care NHS Trust,22/07/15,Bal Sheet Control,Student Loan Deductions,Hmrc,1081970,"24,437.00"
Department of Health,Mersey Care NHS Trust,22/07/15,Bal Sheet Control,Income Tax,Hmrc,1081970,"1,365,164.49"
Department of Health,Mersey Care NHS Trust,28/07/15,It Systems,Cloud,Specialist Computer Cent.Ltd,595083,"47,569.27"
Department of Health,Mersey Care NHS Trust,28/07/15,Brain Injury Support,Rech In - Aint Hotel Srvcs,Aintree University Hospital Nhs F.T,595770,"1,055.83"
Department of Health,Mersey Care NHS Trust,28/07/15,Mh Management Nswl,Rech In - Aint Estates,Aintree University Hospital Nhs F.T,595770,"1,622.08"
Department of Health,Mersey Care NHS Trust,28/07/15,Pcp Acute Care,Rech In - Aint Diagnostics,Aintree University Hospital Nhs F.T,595770,"1,740.46"
Department of Health,Mersey Care NHS Trust,28/07/15,Pcp Acute Care,Rech In - Aint Therapies,Aintree University Hospital Nhs F.T,595770,166.41
Department of Health,Mersey Care NHS Trust,28/07/15,Aintree Facilities,Rech In - Aint Hotel Srvcs,Aintree University Hospital Nhs F.T,595770,"14,006.30"
Department of Health,Mersey Care NHS Trust,28/07/15,Aintree Facilities,Rech In - Aint Estates,Aintree University Hospital Nhs F.T,595770,"8,688.19"
Department of Health,Mersey Care NHS Trust,28/07/15,Clock View Site Management,Rech In - Aint Hotel Srvcs,Aintree University Hospital Nhs F.T,595770,"2,770.00"
Department of Health,Mersey Care NHS Trust,28/07/15,Primary Care,Visiting Cons - Other,Aintree University Hospital Nhs F.T,595770,"2,331.81"
Department of Health,Mersey Care NHS Trust,28/07/15,Resus/Ect,Resuscitation Training,Aintree University Hospital Nhs F.T,595770,"3,509.98"
