Body,Body Name,Date,Transaction Number,Amount,Supplier Name,Supplier ID,Expense Area,Expense Type,Expense Code,Extended Description,Service Code,Service Label,Service Division Label,Service Division Code
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,05/06/2015,143395,1200,JOHN BURROWS PHOTOGRAPHY,BUR034,Communities Director,Promotions,2081,LOAN FUND,EDEVPR,Economic Development and Promotion,02003,Economic Promotion - BRRS
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,05/06/2015,143125,680.97,NEOPOST LIMITED,NEO002,Corporate Services Manager,Postages,2054,BLUE CARTRIDGES,CENTRA,Central Expenses,00205,Postages Town Hall
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,05/06/2015,143225,800,GORDON GRAHAM ROADMARKINGS LTD,GOR002,Engineering Manager,Advertising,2086,CAR PARK ROAD MARKINGS,OFFSTR,Vehicle Parking Off Street,02167,Vehicle parking
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,05/06/2015,142832,2456.32,WALTON GOODLAND LTD,WAL008,Engineering Manager,Land Management Contract,2126,1-30 APR 15 RATE FOR SURVEYOR,LANDMA,Land Management,01007,Land Management
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,05/06/2015,142900,822.66,BRITISH GAS BUSINESS,BRI032,Engineering Manager,Gas,1023,TOWN HALL,ADMBLD,Administrative Buildings,00500,Town Hall
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,05/06/2015,142901,645.65,BRITISH GAS BUSINESS,BRI032,Engineering Manager,Gas,1023,MANSION HOUSE,ADMBLD,Administrative Buildings,00502,Mansion House
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,05/06/2015,142906,3418.55,E.ON UK PLC,EON001,Engineering Manager,Electricity,1022,STREET LIGHTING,FOOLIG,Footway Lighting,02258,Footway lighting
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,05/06/2015,142911,2800,G1 CREATIVE LTD,G1C001,Financial Services Manager,Web Development,2064,G-2128 PENRITH TOWN COUNCIL WEBSITE,CORPOR,Corporate Costs,01184,Penrith Town Council Rechargeable Costs
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,05/06/2015,143014,2906.6,AMEY PLC,TFE001,Engineering Manager,FL  Contract,3300,FL-02/2015,FOOLIG,Footway Lighting,02258,Footway lighting
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,05/06/2015,143128,679.39,MCDOUGALL BUILDING CONTRACTORS,MCD002,Environmental Services,Capital grants,5505,FINAL PAYMENT ,MEREGR,1996 Mandatory Renovation Grants,06035,Disabled Facility Grants
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,05/06/2015,143129,3500,MCDOUGALL BUILDING CONTRACTORS,MCD002,Environmental Services,Capital grants,5505,INTERIM PAYMENT ,MEREGR,1996 Mandatory Renovation Grants,06035,Disabled Facility Grants
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,05/06/2015,143217,882.31,RENTOKIL INITIAL PEST CONTROL,REN009,Environmental Services,Pest Control,3400,PESTS MISC.,PESCON,Pest Control,03043,Pest Control
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,05/06/2015,143224,1000,LIONS CLUB OF PENRITH,LIO003,Communities Manager,Grants and contributions,2079,MAY DAY DONATION,EDEVPR,Economic Development and Promotion,02009,Economic promotion
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,05/06/2015,143228,620,WALTON GOODLAND LTD,WAL008,Engineering Manager,Land Management Contract,2126,LAND ADJACENT LABURNUM HOUSE SOULBY,LANDMA,Land Management,01007,Land Management
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,05/06/2015,143235,5615,ENTERPRISE PROSPECTS LTD,ENT004,Chief Executive's,Agency Staff,0003,R HOOPER MAY 2015,CHIEXE,Chief Executive,00050,Chief Executive
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,05/06/2015,143239,999.41,UNITED UTILITIES WATER LTD,UNI008,Engineering Manager,Water charges – metered,1032,PCS PATTERDALE 11.02.15-06.05.15,PUBCON,Public Conveniences,02271,Patterdale Public Convenience
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,05/06/2015,143249,500,LAZONBY SWIMMING POOL ASSOCIATION,LAZ003,Communities Manager,Grants and contributions,2079,SUMMER 2015 1ST PAYMENT,ARTLEI,Arts and Leisure,02107,Rural pool grants
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,05/06/2015,143355,15000,CYBERMOOR SERVICES LIMITED,CYB001,Communities Manager,Government grants,7000,STATUTORY NOTICES FOR THE 21ST CENTURY,COMMSV,Communications Services,01187,Cybermoor Pilot
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,05/06/2015,143356,511.92,CROSBY RAVENSWORTH VILLAGE HALL,CRO014,Communities Manager,Balance Sheet entry BS,6003,FINAL 25% EDEN COMMUNITY FUND,HOLD A/C'S,Holding Accounts,10400,Community Fund
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,12/06/2015,143526,5000,IAN CANNON LTD,CAN004,Communities Manager,Other charges for services,2047,PATH ADJACENT FRENCHFIELD,ARTLEI,Arts and Leisure,02116,Sports lesiure develop fund
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,12/06/2015,143579,650,METCALFE PLANT & TOOL HIRE LTD,MET002,Engineering Manager,Abnormal maintenance,1007,WALL REPAIRS BLUEBELL LANE,OFFSTR,Vehicle Parking Off Street,02167,Vehicle parking
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,12/06/2015,143594,2240,IAN CANNON LTD,CAN004,Engineering Manager,Bank-Refurbishment,2009,CLEANSE BRING SITES & CONTAINERS,RECYCL,Recycling,03047,Recycling
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,12/06/2015,143597,750,CUMBRIA COUNTY COUNCIL,CUM095,Financial Services Manager,Professional fees,2045,IAS19/FRS17 WORK DONE FOR 31/03/15,FINSER,Financial Services,00101,Financial Services
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,12/06/2015,143645,3000,FREDERICK POTTS & SON LTD,POT003,Financial Services Manager,Balance Sheet entry BS,6003,WORK TO POST & CHAIN FENCE APPLEBY,HOLD A/C'S,Holding Accounts,10190,FawcettBeq Revenue
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,12/06/2015,143230,1254.15,APPLETONS,APP032,Communities Manager,Other charges for services,2047,PENRITH CASTLE PARK,ARTLEI,Arts and Leisure,02116,Sports lesiure develop fund
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,12/06/2015,143375,2555,CUBE COMPANY,CUB002,Communities Manager,Loan Provision,5550,50% DEPOSIT SEATING & TABLES,LEICEN,Eden Leisure Centre & Appleby Swimming P,06155,Loan Provision - Penrith Leisure Centre
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,12/06/2015,143412,952.97,CUBBY CONSTRUCTION LIMITED,CUB001,Communities Manager,NCL Ad-hoc Sports Pitches,1155,WAGON HIRE/STONE DISPOSAL,LEICEN,Eden Leisure Centre & Appleby Swimming P,02130,Sports Facilities
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,12/06/2015,143421,926,ELECTRICITY NORTH WEST LTD,ELE005,Engineering Manager,Building works,5502,LAMP TRANSFER ADJ BRUNSWICK RD,FOOLIG,Footway Lighting,06149,Cap Footway Lighting
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,12/06/2015,143422,926,ELECTRICITY NORTH WEST LTD,ELE005,Engineering Manager,Building works,5502,LAMP TRANSFER HUNTER HALL GT SALKELD,FOOLIG,Footway Lighting,06149,Cap Footway Lighting
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,12/06/2015,143423,926,ELECTRICITY NORTH WEST LTD,ELE005,Engineering Manager,Building works,5502,LAMP TRANSFER STONE HOUSE LAZONBY,FOOLIG,Footway Lighting,06149,Cap Footway Lighting
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,12/06/2015,143424,926,ELECTRICITY NORTH WEST LTD,ELE005,Engineering Manager,Building works,5502,LAMP TRANSFER BARRONWOOD VIEW KIRKOSWALD,FOOLIG,Footway Lighting,06149,Cap Footway Lighting
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,12/06/2015,143425,926,ELECTRICITY NORTH WEST LTD,ELE005,Engineering Manager,Building works,5502,LAMP TRANSFER O/S ROSE COTTAGE LAZONBY,FOOLIG,Footway Lighting,06149,Cap Footway Lighting
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,12/06/2015,143552,3168.1,PPM LTD,PPM001,Environmental Services,Capital grants,5505,FINAL PAYMENT ,MEREGR,1996 Mandatory Renovation Grants,06035,Disabled Facility Grants
http://statistics.data.gov.uk/id/local-authority/16UF,Eden District Council,12/06/2015,143559,2800,ALCIUM SOFTWARE LIMITED,ALC002,Communities Manager,Subscriptions & levies,2078,EVOLUTIVE LICENCE 15/16,EDEVPR,Economic Development and Promotion,02372,Evolutive Database
