Department family,Entity,Date of payment,Expense area,Expense type,Supplier,"Transaction 
number",Amount in Sterling
Department of Health,Mersey Care NHS Trust,02/06/15,Mh Management Nswl,Consultancy Fees,Tony Ryan Associates Limited,587773,"28,750.00"
Department of Health,Mersey Care NHS Trust,09/06/15,Secmlo Management,Specific Projects,First Step Trust,582827,"32,897.70"
Department of Health,Mersey Care NHS Trust,09/06/15,Local Haigh Road Upgrade,Furniture & Fittings,Jenkinsons Office Supplies,585102,"3,885.19"
Department of Health,Mersey Care NHS Trust,09/06/15,Local Haigh Road Upgrade,Furniture & Fittings,Jenkinsons Office Supplies,585102,737.10
Department of Health,Mersey Care NHS Trust,09/06/15,Local Haigh Road Upgrade,Furniture & Fittings,Jenkinsons Office Supplies,585102,705.60
Department of Health,Mersey Care NHS Trust,09/06/15,Local Haigh Road Upgrade,Furniture & Fittings,Jenkinsons Office Supplies,585102,469.20
Department of Health,Mersey Care NHS Trust,09/06/15,Local Haigh Road Upgrade,Furniture & Fittings,Jenkinsons Office Supplies,585102,"4,717.44"
Department of Health,Mersey Care NHS Trust,09/06/15,Local Haigh Road Upgrade,Furniture & Fittings,Jenkinsons Office Supplies,585102,658.94
Department of Health,Mersey Care NHS Trust,09/06/15,Local Haigh Road Upgrade,Furniture & Fittings,Jenkinsons Office Supplies,585102,"1,269.22"
Department of Health,Mersey Care NHS Trust,09/06/15,Local Haigh Road Upgrade,Furniture & Fittings,Jenkinsons Office Supplies,585102,264.58
Department of Health,Mersey Care NHS Trust,09/06/15,Local Haigh Road Upgrade,Furniture & Fittings,Jenkinsons Office Supplies,585102,"1,861.78"
Department of Health,Mersey Care NHS Trust,09/06/15,Local Haigh Road Upgrade,Furniture & Fittings,Jenkinsons Office Supplies,585102,492.00
Department of Health,Mersey Care NHS Trust,09/06/15,Local Haigh Road Upgrade,Furniture & Fittings,Jenkinsons Office Supplies,585102,579.47
Department of Health,Mersey Care NHS Trust,09/06/15,Local Haigh Road Upgrade,Furniture & Fittings,Jenkinsons Office Supplies,585102,"5,247.65"
Department of Health,Mersey Care NHS Trust,09/06/15,Local Haigh Road Upgrade,Furniture & Fittings,Jenkinsons Office Supplies,585102,249.89
