Spend over £25k - August 2017,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description
Department of Education,OFSTED,24/08/2017,Managed Services,Information Services,Bramble.cc Ltd,824740,"£149,076.66",ICT Support
Department of Education,OFSTED,30/08/2017,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,824784,"£32,901.14",Contingent Labour
Department of Education,OFSTED,30/08/2017,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,824785,"£35,148.20",Contingent Labour
Department of Education,OFSTED,08/08/2017,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,824604,"£35,575.78",Contingent Labour
Department of Education,OFSTED,17/08/2017,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,824677,"£35,960.76",Contingent Labour
Department of Education,OFSTED,08/08/2017,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,824602,"£36,889.19",Contingent Labour
Department of Education,OFSTED,08/08/2017,Temporary Staff,Corporate Transactions,Brook Street (Uk) Ltd,824603,"£37,975.37",Contingent Labour
Department of Education,OFSTED,01/08/2017,Managed Services,Information Services,Bytes Software Services Ltd,702382,"-£240,529.20",ICT Support
Department of Education,OFSTED,01/08/2017,Managed Services,Information Services,Bytes Software Services Ltd,702383,"-£31,895.53",ICT Support
Department of Education,OFSTED,01/08/2017,Managed Services,Information Services,Bytes Software Services Ltd,824363,"£41,683.73",ICT Support
Department of Education,OFSTED,01/08/2017,Managed Services,Information Services,Bytes Software Services Ltd,824351,"£230,740.74",ICT Support
Department of Education,OFSTED,04/08/2017,Managed Services,Information Services,CACI Ltd,824558,"£62,130.00",ICT Support
Department of Education,OFSTED,03/08/2017,Managed Services,Information Services,CACI Ltd,824550,"£129,900.00",ICT Support
Department of Education,OFSTED,04/08/2017,Managed Services,Information Services,CGI IT UK Ltd,824568,"£26,934.10",ICT Support
Department of Education,OFSTED,04/08/2017,Managed Services,Information Services,CGI IT UK Ltd,824567,"£39,480.55",ICT Support
Department of Education,OFSTED,04/08/2017,Managed Services,Information Services,CGI IT UK Ltd,824574,"£81,067.91",ICT Support
Department of Education,OFSTED,02/08/2017,Managed Services,Information Services,Data Continuity Group Limited,824532,"£28,152.00",ICT Support
Department of Education,OFSTED,18/08/2017,Managed Services,Programmes & Transformation,Deloitte & Touche LLP,824684,"£174,357.04",ICT Support
Department of Education,OFSTED,02/08/2017,Corporate Transactions,Corporate Transactions,Enterprise Rent-a-Car,824536,"£33,968.73",Vehicle Hire
Department of Education,OFSTED,04/08/2017,Managed Services,Communications,Gillo Interactive Limited,824555,"£26,760.00",Digital Support
Department of Education,OFSTED,21/08/2017,Legal Fees,Corporate Transactions,Government Legal Department,161607,"£85,000.00",Professional Services
Department of Education,OFSTED,24/08/2017,Accommodation Service Charge,Property Division,Montagu Evans LLP,702393,"-£32,046.25",Accommodation Rent and Service Charge
Department of Education,OFSTED,24/08/2017,Accommodation Service Charge,Property Division,Montagu Evans LLP,161616,"£63,978.87",Accommodation Rent and Service Charge
Department of Education,OFSTED,29/08/2017,Information Services,Programmes & Transformation,Rainmaker Solutions Limited,824760,"£58,380.00",ICT Support
Department of Education,OFSTED,02/08/2017,Corporate Transactions,Corporate Transactions,Redfern Travel Ltd,824534,"£356,238.64",Travel and Overnight Accomodation
Department of Education,OFSTED,01/08/2017,Corporate Transactions,Corporate Transactions,Royal Bank of Scotland,115,"£42,235.10",Company Credit Card
Department of Education,OFSTED,08/08/2017,Legal Fees,Finance and Resources,Treasury Solicitor'S Cash A\C,824621,"£29,677.92",Professional Services
Department of Education,OFSTED,01/08/2017,Managed Services,Programmes & Transformation,Tribal Education Ltd,824492,"£44,391.53",ICT Support
Department of Education,OFSTED,01/08/2017,Managed Services,Programmes & Transformation,Tribal Education Ltd,824493,"£44,391.53",ICT Support
Department of Education,OFSTED,30/08/2017,Managed Services,Programmes & Transformation,Tribal Education Ltd,824780,"£44,391.53",ICT Support
