"Capital
Revenue",Cost Centre,Organisation,Transaction No.,Supplier Name,Expense Type,,,,
Rushmoor Borough Council,Environmental Health and Housing,2246,Equipment Maintenance,08/02/2018,0000198333,284.00,Revenue,Baydale Control Systems,12558
Rushmoor Borough Council,Environmental Health and Housing,2246,Equipment Maintenance,08/02/2018,0000198334,816.50,Revenue,Baydale Control Systems,12558
Rushmoor Borough Council,Environmental Health and Housing,2246,Equipment Maintenance,08/02/2018,0000207779,480.42,Revenue,Baydale Control Systems,12558
Rushmoor Borough Council,Environmental Health and Housing,2247,Equipment Maintenance,08/02/2018,0000207779,393.07,Revenue,Baydale Control Systems,12558
Rushmoor Borough Council,Community,2518,Publicity and Advertising,08/02/2018,0000210879,712.50,Revenue,Trinity Mirror Publishing Ltd,00947
Rushmoor Borough Council,Holding Accounts,9404,IT Service Improvement Work,01/02/2018,0000211159,582.50,Holding Accounts,Hampshire County Council,01206
Rushmoor Borough Council,Democratic Services,1300,Mayor-making,01/02/2018,0000211188,1050.00,Revenue,Abm Catering Limited,13822
Rushmoor Borough Council,Community,6573,Contract Costs,01/02/2018,0000211263,295.00,Capital,Spring Telecom Ltd,08672
Rushmoor Borough Council,Community,6573,Contract Costs,01/02/2018,0000211263,395.00,Capital,Spring Telecom Ltd,08672
Rushmoor Borough Council,Community,2518,Publicity and Advertising,08/02/2018,0000211523,1162.50,Revenue,Trinity Mirror Publishing Ltd,00947
Rushmoor Borough Council,Community,2518,Publicity and Advertising,08/02/2018,0000211651,712.50,Revenue,Trinity Mirror Publishing Ltd,00947
Rushmoor Borough Council,Legal,1231,Electricity,01/02/2018,0000211838,268.26,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Legal,1230,Electricity,01/02/2018,0000211841,295.61,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Legal,1231,Electricity,01/02/2018,0000211842,1746.61,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Legal,1208,Gas,08/02/2018,0000211984,264.28,Revenue,Southern Electric Payment Centre,13958
Rushmoor Borough Council,Legal,1210,Contract Staff,01/02/2018,0000211994,2178.00,Revenue,Hays,02287
Rushmoor Borough Council,Legal,1210,Contract Staff,01/02/2018,0000211995,532.40,Revenue,Hays,02287
Rushmoor Borough Council,Information Technology,3300,Professional Subscriptions,01/02/2018,0000212140,995.00,Revenue,Socitm Ltd,02638
Rushmoor Borough Council,Legal,1203,Valuation Charges,01/02/2018,0000212154,4000.00,Revenue,Savills (L&P) Limited,08914
Rushmoor Borough Council,Legal,1202,Conferences and Seminars,01/02/2018,0000212218,995.00,Revenue,University College Of Estate Management,14252
Rushmoor Borough Council,Environmental Health and Housing,2402,Application Software,01/02/2018,0000212219,2904.30,Revenue,Civica Uk Limited,06664
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,08/02/2018,0000212225,3740.00,Revenue,Ashbee Guest House,11542
Rushmoor Borough Council,Community,6573,Contract Costs,01/02/2018,0000212247,395.00,Capital,Spring Telecom Ltd,08672
Rushmoor Borough Council,Community,6518,Contract Costs,08/02/2018,0000212263,9300.00,Capital,Craemer Uk Ltd,11508
Rushmoor Borough Council,Community,6518,Contract Costs,01/02/2018,0000212264,3100.00,Capital,Craemer Uk Ltd,11508
Rushmoor Borough Council,Community,2543,Aldershot Promotions,01/02/2018,0000212267,666.10,Revenue,H H Clark (Caterers) Ltd,01393
Rushmoor Borough Council,Community,2518,Hospitality,01/02/2018,0000212267,702.60,Revenue,H H Clark (Caterers) Ltd,01393
