Year,MthAndYrCode,Trust,New_Hospital,Type,FourAndUnder_sum,FiveToTwelve_sum,OverTwelve_sum,Total_sum
2008/09,April 2008,Belfast,Belfast City,Type 1,"3,391.00",473.00,1.00,"3,865.00"
2008/09,April 2008,Belfast,Mater,Type 1,"3,142.00",486.00,0.00,"3,628.00"
2008/09,April 2008,Belfast,Royal Victoria & Royal Victoria (ENT & RAES),Type 1,"5,224.00",862.00,0.00,"6,086.00"
2008/09,April 2008,Belfast,RBHSC,Type 1,"2,480.00",398.00,0.00,"2,878.00"
2008/09,April 2008,Northern,Antrim Area,Type 1,"4,728.00",667.00,10.00,"5,405.00"
2008/09,April 2008,Northern,Causeway,Type 1,"3,186.00",172.00,0.00,"3,358.00"
2008/09,April 2008,Northern,Mid-Ulster,Type 2,"1,346.00",141.00,0.00,"1,487.00"
2008/09,April 2008,Northern,Whiteabbey,Type 2,"1,813.00",4.00,0.00,"1,817.00"
2008/09,April 2008,South Eastern,Ards MIU,Type 3,943.00,0.00,0.00,943.00
2008/09,April 2008,South Eastern,Bangor MIU,Type 3,832.00,0.00,0.00,832.00
2008/09,April 2008,South Eastern,Downe,Type 2,"1,974.00",88.00,0.00,"2,062.00"
2008/09,April 2008,South Eastern,Lagan Valley,Type 2,"2,410.00",244.00,7.00,"2,661.00"
2008/09,April 2008,South Eastern,Ulster,Type 1,"5,370.00",605.00,3.00,"5,978.00"
2008/09,April 2008,Southern,Armagh Community,Type 3,790.00,0.00,0.00,790.00
2008/09,April 2008,Southern,Craigavon Area,Type 1,"5,567.00",388.00,0.00,"5,955.00"
2008/09,April 2008,Southern,Daisy Hill,Type 1,"2,773.00",113.00,0.00,"2,886.00"
2008/09,April 2008,Southern,South Tyrone,Type 3,"1,332.00",0.00,0.00,"1,332.00"
2008/09,April 2008,Western,Altnagelvin Area,Type 1,"3,571.00",459.00,0.00,"4,030.00"
2008/09,April 2008,Western,South West Acute,Type 1,"1,922.00",26.00,0.00,"1,948.00"
2008/09,April 2008,Western,Tyrone County,Type 2,"1,780.00",4.00,0.00,"1,784.00"
2008/09,May 2008,Belfast,Belfast City,Type 1,"3,554.00",323.00,0.00,"3,877.00"
2008/09,May 2008,Belfast,Mater,Type 1,"3,363.00",412.00,0.00,"3,775.00"
2008/09,May 2008,Belfast,Royal Victoria & Royal Victoria (ENT & RAES),Type 1,"5,067.00",896.00,0.00,"5,963.00"
2008/09,May 2008,Belfast,RBHSC,Type 1,"2,674.00",260.00,0.00,"2,934.00"
2008/09,May 2008,Northern,Antrim Area,Type 1,"5,239.00",630.00,0.00,"5,869.00"
2008/09,May 2008,Northern,Causeway,Type 1,"3,688.00",155.00,0.00,"3,843.00"
2008/09,May 2008,Northern,Mid-Ulster,Type 2,"1,563.00",85.00,0.00,"1,648.00"
2008/09,May 2008,Northern,Whiteabbey,Type 2,"1,895.00",6.00,0.00,"1,901.00"
2008/09,May 2008,South Eastern,Ards MIU,Type 3,924.00,0.00,0.00,924.00
2008/09,May 2008,South Eastern,Bangor MIU,Type 3,"1,019.00",0.00,0.00,"1,019.00"
2008/09,May 2008,South Eastern,Downe,Type 2,"2,010.00",158.00,0.00,"2,168.00"
2008/09,May 2008,South Eastern,Lagan Valley,Type 2,"2,725.00",164.00,4.00,"2,893.00"
2008/09,May 2008,South Eastern,Ulster,Type 1,"5,808.00",446.00,5.00,"6,259.00"
2008/09,May 2008,Southern,Armagh Community,Type 3,771.00,0.00,0.00,771.00
2008/09,May 2008,Southern,Craigavon Area,Type 1,"5,713.00",635.00,0.00,"6,348.00"
2008/09,May 2008,Southern,Daisy Hill,Type 1,"3,085.00",104.00,0.00,"3,189.00"
2008/09,May 2008,Southern,South Tyrone,Type 3,"1,572.00",0.00,0.00,"1,572.00"
2008/09,May 2008,Western,Altnagelvin Area,Type 1,"3,927.00",609.00,2.00,"4,538.00"
2008/09,May 2008,Western,South West Acute,Type 1,"2,078.00",42.00,1.00,"2,121.00"
2008/09,May 2008,Western,Tyrone County,Type 2,"2,105.00",3.00,0.00,"2,108.00"
