DeclarationDate,YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,DecisionControlDate_Month,ConsignorCountryCode,DPE_Name,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,DescriptionOfCommodity,TotalNumberOfPackages,TotalNetWeight_KG,CommodityIntendedFor,DocumentaryCheck,AcceptableForTransfer,NotAcceptable1 ,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,AcceptableForReleaseForFreeCirculation ,NotAcceptable2,ReasonForRefusal,NoOfConsignments
2017-07-12,2017,Q3,Jul,12,2017-10,CN,"Felixstowe, P",CN,China,GB,GB,19023010,Dried,150,2650,Human consumption,Satisfactory,no,2. Destruction,Satisfactory,Not Satisfactory,Yes,GM rice,notsatisfactory,-,destruction,"6. Other, create RASFF notification",1
2017-08-04,2017,Q3,Aug,4,2017-10,GH,"Tilbury, P",GH,Ghana,GB,GB,15119099,Other,97,705,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-07,2017,Q3,Sep,7,2017-10,AR,London Gateway,AR,Argentina,GB,GB,20081191,In immediate packings of a net content exceeding 1|kg,960,24000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxin B1,satisfactory,Human consumption,-,-,1
2017-09-12,2017,Q3,Sep,12,2017-10,IN,"Felixstowe, P",IN,India,GB,GB,9081100,Neither crushed nor ground,4,100,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,1
2017-09-13,2017,Q3,Sep,13,2017-10,CN,"Felixstowe, P",CN,China,GB,GB,190230,Other pasta,1300,15600,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,GM rice,satisfactory,Human consumption,-,-,1
2017-09-13,2017,Q3,Sep,13,2017-10,JP,"Felixstowe, P",JP,Japan,GB,GB,10063092,Round grain,662,11376,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,caesium-134,satisfactory,Human consumption,-,-,1
2017-09-13,2017,Q3,Sep,13,2017-10,JP,"Felixstowe, P",JP,Japan,GB,GB,10063092,Round grain,662,11376,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,caesium-137,satisfactory,Human consumption,-,-,1
2017-09-13,2017,Q3,Sep,13,2017-10,JP,"Felixstowe, P",JP,Japan,GB,GB,19049010,Obtained from rice,662,11376,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,caesium-134,satisfactory,Human consumption,-,-,1
2017-09-13,2017,Q3,Sep,13,2017-10,JP,"Felixstowe, P",JP,Japan,GB,GB,19049010,Obtained from rice,662,11376,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,caesium-137,satisfactory,Human consumption,-,-,1
2017-09-13,2017,Q3,Sep,13,2017-10,TR,London Gateway,TR,Turkey,GB,GB,8062090,Other,1600,20000,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Ochratoxin A,satisfactory,Human consumption,-,-,1
