"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","Captain","47339","55886","Captain","4.00","Operational delivery"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","Chief Engineer","43736","51869","Chief Engineer","4.00","Operational delivery"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","Commander","41292","44476","Commander","2.00","Operational delivery"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","Engineering Officer - RIV","40432","43616","Engineering Officer - RIV","2.00","Operational delivery"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","Electronic Technical Officer","38430","41615","Electronic Technical Officer","4.00","Operational delivery"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","First Officer","38430","41615","First Officer","4.00","Operational delivery"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","Second Engineer","38430","41615","Second Engineer","4.00","Operational delivery"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","Second Officer","33042","37254","Second Officer","10.00","Operational delivery"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","Second Officer - RIV","34160","38370","Second Officer - RIV","4.00","Operational delivery"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","Third Engineer","33042","37254","Third Engineer","2.00","Operational delivery"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","Boatswain","28789","30520","Boatswain","4.00","Operational delivery"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","Chief Steward","28789","30520","Chief Steward","4.00","Operational delivery"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","Engine Room Assistant","28789","30520","Engine Room Assistant","4.00","Operational delivery"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","Boatswain Mate","26940","27768","Boatswain Mate","2.00","Operational delivery"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","Carpenter","26940","27768","Carpenter","2.00","Operational delivery"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","Petty Officer Deck","26940","27768","Petty Officer Deck","2.00","Operational delivery"
"Department for Transport","Trinity House Lighthouse Service","Operations Directorate","TH03","Cook","26516","28561","Cook","4.00","Operational delivery"
