"#","Search Term","Number of Searches"
"1","jobs","3,113"
"2","student finance","1,831"
"3","[None]","1,533"
"4","sorn","1,320"
"5","income support","1,280"
"6","job seekers allowance",866
"7","attendance allowance",827
"8","jsa",810
"9","dvla",782
"10","housing benefit",774
"11","passport",762
"12","theory test",745
"13","dla",724
"14","car tax",688
"15","tax disc",618
"16","esa",618
"17","carers allowance",553
"18","crisis loan",541
"19","jobseekers allowance",538
"20","job",534
"21","v62",525
"22","tax credits",513
"23","benefits",492
"24","child benefit",492
"25","cv",484
"26","redundancy",474
"27","working tax credit",445
"28","change of address",421
"29","tax",401
"30","all jobs",400
"31","pension credit",398
"32","driving test",393
"33","budgeting loan",391
"34","national insurance",382
"35","road tax",380
"36","council tax",366
"37","jobseekers",357
"38","maternity",350
"39","minimum wage",339
"40","incapacity benefit",332
"41","passports",328
"42","job search",327
"43","community care grant",322
"44","mot",317
"45","driving licence",309
"46","forms",306
"47","job seekers",304
"48","child tax credit",300
"49","loans",298
"50","working tax credits",293
"51","ssp",290
"52","grants",273
"53","maternity leave",260
"54","social fund",258
"55","student finance calculator",251
"56","employment and support allowance",251
"57","crb",249
"58","national insurance number",247
"59","self employed",242
"60","student loan",241
"61","divorce",237
"62","disability living allowance",234
"63","apprenticeships",233
"64","self employment",226
"65","maternity allowance",224
"66","change address",223
"67","d1",222
"68","pff2",215
"69","c",212
"70","ema",211
"71","power of attorney",210
"72","maternity pay",206
"73","pensions",204
"74","v5c",204
"75","taxdisc",202
"76","cleaner",201
"77","passport fees",201
"78","v10",200
"79","sick pay",197
"80","crisis loans",197
"81","student",189
"82","provisional",187
"83","driving",186
"84","child tax credits",186
"85","tax credit",182
"86","pension forecast",181
"87","e111",179
"88","practical test",179
"89","probate",177
"90","v317",175
"91","theory",174
"92","pn1",166
"93","pension",165
"94","student loans",165
"95","bank holidays",162
"96","housing",161
"97","calculator",161
"98","childcare",160
"99","job centre",158
"100","p60",158
"101","paternity leave",157
"102","dsa",156
"103","state pension",154
"104","blue badge",152
"105","employment support allowance",152
"106","warehouse",147
"107","ESA",143
"108","phone number",143
"109","provisional licence",139
"110","book theory test",138
"111","rapid reclaim",137
"112","v14",137
"113","widows pension",136
"114","log book",134
"115","contact",131
"116","loan",131
"117","log in",131
"118","job vacancies",130
"119","v5",128
"120","contact number",128
"121","lasting power of attorney",127
"122","smp",127
"123","fees",126
"124","death",125
"125","budgeting loans",124
"126","maternity grant",124
"127","retail",123
"128","av",121
"129","holiday entitlement",121
"130","vehicle check",119
"131","council tax benefit",118
"132","disability",117
"133","vat",117
"134","statutory sick pay",116
"135","birth certificate",116
"136","holiday pay",116
"137","vehicle enquiry",115
"138","ehic",114
"139","gateway",114
"140","housing benefits",114
"141","cleaning",114
"142","cbt",113
"143","grant",113
"144","driving license",112
"145","childminders",112
"146","template letters",112
"147","bus pass",111
"148","sure start",111
"149","job centre plus",110
"150","vacancies",109
"151","jobcentre plus",109
"152","housing benifit",108
"153","mobility allowance",108
"154","carers",107
"155","phone numbers",105
"156","j",104
"157","s",104
"158","current year income assessment form",103
"159","training",102
"160","security",102
"161","pension credits",101
"162","d1 form",101
"163","maintenance grant",101
"164","vic",99
"165","budget loan",99
"166","holiday",99
"167","benefit calculator",97
"168","p",97
"169","d798",96
"170","passport renewal",96
"171","job seekers allowence",95
"172","benifits",93
"173","sure start maternity grant",93
"174","ni",92
"175","pregnancy",91
"176","benefit fraud",91
"177","tax rebate",91
"178","election results",91
"179","jobcentre",91
"180","employment",90
"181","benefits calculator",90
"182","marriage",90
"183","Job seekers",89
"184","driving jobs",89
"185","hgv",89
"186","complaints",89
"187","jo",89
"188","unemployment benefit",88
"189","tax refund",87
"190","incapacity",86
"191","login",86
"192","motoring",85
"193","government gateway",85
"194","next step",85
"195","social services",85
"196","benefit",84
"197","book practical test",84
"198","birth certificates",84
"199","holidays",84
"200","tax codes",83
"201","paternity",83
"202","book driving test",83
"203","debt",82
"204","practical driving test",82
"205","signing on",81
"206","lost driving licence",81
"207","dwp",81
"208","fraud",80
"209","csa",80
"210","income tax",80
"211","hmrc",79
"212","contact us",79
"213","tax return",79
"214","national minimum wage",78
"215","gl24",77
"216","bereavement",77
"217","voting",76
"218","d",76
"219","v778",76
"220","address",76
"221","br19",75
"222","benefits advisor",75
"223","catering",73
"224","provisional license",73
"225","apprenticeship",73
"226","highway code",73
"227","lost licence",72
"228","jobsearch",72
"229","enduring power of attorney",72
"230","adi",71
"231","census",71
"232","flexible working",71
"233","vehicle tax",70
"234","court of protection",70
"235","tupe",70
"236","ni number",70
"237","p45",70
"238","pff2 form",69
"239","new deal",68
"240","statutory maternity pay",68
"241","carer",68
"242","labourer",68
"243","driver",68
"244","mobility",67
"245","passport fee",67
"246","mot check",67
"247","contact dvla",67
"248","volunteering",67
"249","savings",67
"250","voluntary redundancy",67
"251","b",66
"252","advertise a job",66
"253","new claim",66
"254","court fees",66
"255","self assessment",66
"256","telephone number",66
"257","working tax",66
"258","ls01",65
"259","deed poll",65
"260","sickness benefit",65
"261","access to work",65
"262","benefits adviser",65
"263","adoption",65
"264","application form",65
"265","jobseeker",64
"266","car",64
"267","retirement age",64
"268","change of name",63
"269","provisional driving licence",63
"270","v890",63
"271","change of circumstances",63
"272","health and safety",63
"273","lpa",63
"274","savings credit",63
"275","consumer direct",63
"276","child",62
"277","lost passport",62
"278","income",62
"279","disability allowance",62
"280","st",61
"281","benefit rates",61
"282","employment law",61
"283","lha",61
"284","t",61
"285","free school meals",61
"286","parking",60
"287","second passport",60
"288","bursary",60
"289","ipcbr1",60
"290","construction",60
"291","change practical test",60
"292","special support grant",60
"293","tax code",60
"294","equality act",59
"295","job seeker allowance",59
"296","RETAIL",59
"297","national insurance contributions",59
"298","have i won",59
"299","sign on",59
"300","counterpart",59
"301","redundancy calculator",59
"302","tax office",59
"303","data protection",58
"304","permitted work",58
"305","change",58
"306","E111",58
"307","motability",58
"308","pn1 form",58
"309","p46",58
"310","jobcentreplus",57
"311","parental leave",57
"312","name change",57
"313","child passport",57
"314","data protection act",57
"315","courses",57
"316","employers",57
"317","NATIONAL INSURANCE NUMBER",57
"318","sales assistant",57
"319","cleaning jobs",57
"320","paternity pay",56
"321","check and send",56
"322","unemployment",56
"323","child care",56
"324","legal aid",56
"325","insurance",56
"326","visa",56
"327","dvla address",55
"328","EMPLOYMENT AND SUPPORT ALLOWANCE",55
"329","Disability living allowance",55
"330","passport application",54
"331","community care grants",54
"332","passport application form",54
"333","bankruptcy",54
"334","ch",54
"335","schools",54
