Figure 2.1,,,,,,,,,,,,,,
Take-up digital TV,,,,,,,,,,,,,,
,UK 2011,Wales 2011,England 2011,Scotland 2011,N Ireland 2011,,Wales urban 2011,Wales rural 2011,,Wales 2008,Wales 2009,Wales 2010,Wales 2011,
DTV,96,99,96,97,90,,99,98,,84,89,97,99,
"QH1a. Which, if any, of these types of television does your household use at the moment?",,,,,,,,,,,,,,
"Source: Ofcom research, Quarter 1 2011 ",,,,,,,,,,,,,,
"Base: All adults aged 16+ with a TV in household (n = 3412 UK, 483 Wales, 1941 England, 479 Scotland, 509 Northern Ireland, 234 Wales urban, 239 Wales rural, 797 Wales 2008, 970 Wales 2009, 1060 Wales 2010, 483 Wales 2011) ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Figure 2.2,,,,,,,,,,,,,,
Main TV set share by platform,,,,,,,,,,,,,,
,UK 2011,Wales 2011,England 2011,Scotland 2011,N Ireland 2011,,Wales urban 2011,Wales rural 2011,,Wales 2008,Wales 2009,Wales 2010,Wales 2011,
Satellite TV (pay or free),40,51,39,39,51,,51,51,,44,46,45,51,
Freeview (pay of free),36,37,36,39,25,,35,41,,31,34,40,37,
Cable TV,15,8,16,13,11,,9,2,,8,5,8,8,
DTV via broadband DSL line,2,2,1,3,1,,1,4,,,1,2,2,
Only terrestrial TV (channels 1-4/1-5),2,,2,3,8,,,,,16,11,1,,
No TV in home,2,2,2,2,,,2,1,,,1,2,2,
"QH1a. Which, if any, of these types of television does your household use at the moment?",,,,,,,,,,,,,,
"Source: Ofcom research, Quarter 1 2011 ",,,,,,,,,,,,,,
"Base: All adults aged 16+ (n = 3474 UK, 493 Wales, 1983 England, 487 Scotland, 511 Northern Ireland, 241 Wales urban, 252 Wales rural, 811 Wales 2008, 987 Wales 2009, 1075 Wales 2010, 493 Wales 2011) ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Figure 2.3,,,,,,,,,,,,,,
Proportion of homes with HD- Ready TV ,,,,,,,,,,,,,,
sets and HDTV ,,,,,,,,,,,,,,
,UK 2011,Wales 2011,England 2011,Scotland 2011,N Ireland 2011,,Wales urban 2011,Wales rural 2011,,,,,,
HD ready,28,29,28,26,26,,29,31,,,,,,
HD subscription,32,30,32,35,32,,30,30,,,,,,
"QH53. Is the main TV in your household an HDTV set or HD ready?/ QH54. For the main TV set, does your household have an HD TV service – from either Sky, Virgin Media, Freesat or Freeview?",,,,,,,,,,,,,,
"Source: Ofcom research, Quarter 1 2011 ",,,,,,,,,,,,,,
"Base: All adults aged 16+ (n = 3474 UK, 493 Wales, 1983 England, 487 Scotland, 511 Northern Ireland, 241 Wales urban, 252 Wales rural) ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Figure 2.4,,,,,,,,,,,,,,
"Reduction in combined share of the five PSB channels, all homes, 2005 & 2010",,,,,,,,,,,,,,
,UK,London,Midlands,North West,Yorkshire,North East,Scotland,Meridian,East of England,South West,N. Ireland,Border,West,Wales
Share of the main PSB channels in 2010,55.1,52,55.6,52.1,56.9,54.8,54.6,59.4,57.4,59.5,53.5,57.7,55,53.4
Share loss since 2005,15.3,15.8,16.1,18.6,16.4,13.5,16.2,12.4,13.7,18.2,13.5,10.7,14.5,11.5
,,,,,,,,,,,,,,
Figure 2.5,,,,,,,,,,,,,,
Sources of local news for each nation,,,,,,,,,,,,,,
  ,  UK, England, Scotland,  Wales, N Ireland,,,,,,,,,
 Television,52%,51%,62%,54%,57%,,,,,,,,,
 Any newspaper,16%,17%,16%,8%,10%,,,,,,,,,
 Radio,10%,9%,8%,13%,22%,,,,,,,,,
 Talking to people,8%,7%,7%,15%,4%,,,,,,,,,
Internet ,6%,7%,3%,6%,3%,,,,,,,,,
 Other,2%,2%,0%,2%,2%,,,,,,,,,
 Do not get/watch news,2%,2%,3%,1%,,,,,,,,,,
 Don't know,4%,4%,1%,1%,2%,,,,,,,,,
,,,,,,,,,,,,,,
Source: Ofcom Media Tracker Survey 2010 ,,,,,,,,,,,,,,
"Base: All adults 15+. n = 2,141 (UK), 1,726 (Eng) 194 (Sc), 113 (Wa), 108 (NI)",,,,,,,,,,,,,,
Only responses ? 4% labelled ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Figure 2.6,,,,,,,,,,,,,,
"Spend on originated nations and regions output by the BBC, ITV1/STV/UTV",,,,,,,,,,,,,,
,2005,2006,2007,2008,2009,2010,,YOY change (£m),YOY change (%),5 yr CAGR,,,,
England,£239,£224,£218,£203,£158,£165,,-£9,4%,-37%,,,,
Scotland,£67,£65,£65,£52,£51,£52,,£0,1%,-23%,,,,
Wales,£37,£33,£38,£35,£28,£25,,-£4,-13%,-33%,,,,
N. Ireland,£43,£37,£32,£30,£26,£24,,-£2,-7%,-43%,,,,
Total,£386,£359,£353,£320,£264,£266,,-£14,1%,-35%,,,,
Source: Broadcasters. All figures expressed in 2010 prices. ,,,,,,,,,,,,,,
Note: Spend excludes Gaelic and Welsh language programming but includes some spend on Irish language programming by the BBC Note that these figures supersede those published in previous reports; the index used to convert the data to 2010 prices in this report is CPI (RPI was used in previous editions); some historic data points have been restated. ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Figure 2.7,,,,,,,,,,,,,,
Spend per head made by the BBC and ITV1 in national and regional output,,,,,,,,,,,,,,
,UK,England,Scotland,Wales,N Ireland,,,,,,,,,
News,£2.91,£2.82,£2.87,£3.31,£4.97,,,,,,,,,
Current affairs,£0.43,£0.29,£1.15,£0.99,£1.66,,,,,,,,,
Non-news/non-current affairs,£0.95,£0.06,£5.93,£3.97,£6.63,,,,,,,,,
Total,£4.30,£3.17,£9.95,£8.27,£13.25,,,,,,,,,
Source: PSB returns. Spend excludes Gaelic and Welsh language programming but includes some spend on Irish language programming by the BBC. All figures expressed in 2010 prices. Note that these figures supersede those published in previous reports; the index used to convert the data to 2010 prices in this report is CPI (RPI was used in previous editions); some historic data points have been restated,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Figure 2.8,,,,,,,,,,,,,,
"Hours of regionalised output by genre and broadcaster, 2010",,,,,,,,,,,,,,
,UK,England,Scotland,Wales,N. Ireland,,,,,,,,,
BBC news,5131,4015,321,375,420,,,,,,,,,
BBC non-news/non-current affairs,841,92,300,247,202,,,,,,,,,
BBC current affairs,538,269,178,57,34,,,,,,,,,
ITV/STV/UTV news,3600,2661,461,248,230,,,,,,,,,
ITV/STV/UTV non-news/non-current affairs,745,48,590,33,74,,,,,,,,,
ITV/STV/UTV current affairs,191,71,31,42,47,,,,,,,,,
,"11,046","7,156","1,881","1,002","1,007",,,,,,,,,
,% YOY ,% 5 year ,,,,,,,,,,,,
Total UK,6,-9,,,,,,,,,,,,
Total England,5,-10,,,,,,,,,,,,
Total Scotland,14,13,,,,,,,,,,,,
Total Wales,-3,-24,,,,,,,,,,,,
Total NI,4,-13,,,,,,,,,,,,
Source: PSB returns,,,,,,,,,,,,,,
Note: Hours data for first-run originations only. Hours excludes Gaelic and Welsh language programming but includes some spend on Irish language programming by the BBC,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Figure 2.9,,,,,,,,,,,,,,
Spend by S4C on Welsh language programming,,,,,,,,,,,,,,
 ,2009,2010,,,,,,,,,,,,
Drama,17,14,,,,,,,,,,,,
General Factual,19,21,,,,,,,,,,,,
Current Affairs,3,3,,,,,,,,,,,,
Light Music/ Entertainment,9,10,,,,,,,,,,,,
Children,12,11,,,,,,,,,,,,
Music and Arts,5,6,,,,,,,,,,,,
Sport,10,13,,,,,,,,,,,,
Religion,1,1,,,,,,,,,,,,
Source: S4C Annual Report (http://www.s4c.co.uk/abouts4c/annualreport/acrobats/s4c-annual-report-2010.pdf,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Figure 2.10,,,,,,,,,,,,,,
"Type of Welsh-language output on S4C, by hours",,,,,,,,,,,,,,
 ,2007,2008,2009,2010,,,,,,,,,,
BBC Statutory,626,630,672,711,,,,,,,,,,
Repeats,"2,585","3,237","3,521","3,371",,,,,,,,,,
First-run aquisitions,126,83,58,351,,,,,,,,,,
First-run commissions (BBC),71,21,13,14,,,,,,,,,,
First-run commissions (indie),"1,236","1,355","1,432",1772,,,,,,,,,,
,4644,5326,5696,6219,,,,,,,,,,
Source: S4C Annual Report (http://www.s4c.co.uk/abouts4c/annualreport/acrobats/s4c-annual-report-2010.pdf),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Figure 2.11,,,,,,,,,,,,,,
Expenditure on out-of-London productions,,,,,,,,,,,,,,
,2010,2009,2008,2007,2006,,,,,,,,,
London,0.618136851,60.50%,61.11%,63.30%,63.26%,,,,,,,,,
Midlands & East,0.028424803,7.30%,6.66%,5.69%,5.87%,,,,,,,,,
Northern England,0.150617628,15.30%,17.40%,17.31%,17.56%,,,,,,,,,
Southern England,0.125970584,10.50%,10.20%,9.59%,8.94%,,,,,,,,,
Scotland,0.046410453,3.60%,2.50%,2.57%,2.62%,,,,,,,,,
Wales,0.025990485,2.20%,1.71%,1.30%,1.53%,,,,,,,,,
Northern Ireland,0.00444807,0.60%,0.32%,0.25%,0.22%,,,,,,,,,
,,,,,,,,,,,,,,
Source: Broadcaster returns,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Figure 2.12,,,,,,,,,,,,,,
Volume of out-of-London production ,,,,,,,,,,,,,,
,2010,2009,2008,2007,2006,,,,,,,,,
London,60.80%,62.70%,64.61%,64.26%,66.00%,,,,,,,,,
Midlands & East,8.30%,9.50%,8.88%,4.44%,4.83%,,,,,,,,,
Northern England,11.60%,11.30%,12.70%,17.92%,14.54%,,,,,,,,,
Southern England,12.90%,11.40%,11.00%,10.79%,12.01%,,,,,,,,,
Scotland,4.60%,3.30%,1.83%,1.68%,1.62%,,,,,,,,,
Wales,1.40%,1.70%,0.91%,0.74%,0.86%,,,,,,,,,
Northern Ireland,0.50%,0.18%,0.14%,0.17%,0.15%,,,,,,,,,
,,,,,,,,,,,,,,
Source: Broadcaster returns,,,,,,,,,,,,,,
