UNIQUE REFERENCE NUMBER,TRANSACTION DATE, MERCHANT CATEGORY CODE DESCRIPTION2 ,LOCATION,MERCHANT CATEGORY GROUP DESCRIPTION3, AMOUNT ,SUPPLIER
FCOGPC2017090001,09/01/2017," GLASS, PAINT, WALLPAPER STORES ",BRA,Building Materials,508.02,FLAVIO NASCIMENTO SANT
FCOGPC2017090002,09/01/2017," ARCHITECTURAL, ENGINEERING, AND SURVEYING SERVICES ",IND,Professional Services,511.47,CONCEPTS
FCOGPC2017090003,09/01/2017," FUEL DEALERS-COAL, FUEL OIL, LIQ PETROLEUM, WOOD ",BRB,Utilities and Non Automotive Fuel,521.92,SOL BARBADOS LTD
FCOGPC2017090004,09/01/2017, OTHER SERVICES (NOT ELSEWHERE CLASSIFIED) ,GBR,Professional Services,540,PETERS & MAY LTD
FCOGPC2017090005,09/01/2017, TRAVEL ,GBR,Airline,551.87,AIRLINE
FCOGPC2017090006,09/01/2017, TRAVEL ,BGR,Airline,562.45,AIRLINE
FCOGPC2017090007,09/01/2017, TRAVEL ,MNG,Airline,572.91,AIRLINE
FCOGPC2017090008,09/01/2017, ELECTRICAL PARTS AND EQUIPMENT ,GBR,Building Materials,581.79,WILTS ELECTRICAL
FCOGPC2017090009,09/01/2017," UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER ",HRV,Utilities and Non Automotive Fuel,618.84,FINA 30101 ZAGREB
FCOGPC2017090010,09/01/2017, BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED ,USA,Miscellaneous Industrial/Commercial Supplies,627.21,DIGITAL XPRESS PRINTIN
FCOGPC2017090011,09/01/2017, TRAVEL ,GBR,Airline,686.4,AIRLINE
FCOGPC2017090012,09/01/2017, BOOK STORES ,GBR,Books and Periodicals,702.68,STATIONERY OFFICE BOOK
FCOGPC2017090013,09/01/2017, MONEY TRANSFER-MERCHANT ,POL,Cash,715.71,POCZTA POLSKA
FCOGPC2017090014,09/01/2017, AUTOMOBILE PARKING LOTS AND GARAGES ,USA,General Retail and Wholesale,717.92,06222 - ONE BROADWAY U
FCOGPC2017090015,09/01/2017," DETECTVE/PROTECTVE AGNCY,SECURITY SRVS, ARMOR CARS ",BRB,Personal Services,728.24,G4S SECURE SOLUTIONS
FCOGPC2017090016,09/01/2017, MONEY TRANSFER-MERCHANT ,POL,Cash,753.45,POCZTA POLSKA
FCOGPC2017090017,09/01/2017, AUTOMOTIVE BODY REPAIR SHOPS ,USA,"Vehicles, servicing and spares",758.28,EARL SCHEIB
FCOGPC2017090018,09/01/2017, MISCELLANEOUS REPAIR SHOPS AND RELATED SERVICES ,ZAF,Miscellaneous Industrial/Commercial Supplies,761.73,CLAREMONT HOME APPLI
FCOGPC2017090019,09/01/2017, MOTOR VEHICLE SUPPLIES AND NEW PARTS ,NGA,"Vehicles, servicing and spares",821.85,THONNIE CHUKWU MOTORS
FCOGPC2017090020,09/01/2017, HARDWARE STORES ,FIN,General Retail and Wholesale,822.28,PARASLUKKO SECU
FCOGPC2017090021,09/01/2017, HOTELS/MOTELS/RESORTS  ,TCA,Hotels,832.79,ACCOMODATION PROVIDER
FCOGPC2017090022,09/01/2017," HEATING, PLUMBING, AIR CONDITIONING CONTRACTORS ",ZAF,Building Services,866.23,GHIZA PLUMBERS (PTY) L
FCOGPC2017090023,09/01/2017," EATING PLACES, RESTAURANTS ",GBR,Restuarants and Bars,881.28,WWW.CREATEFOOD.CO.UK
FCOGPC2017090024,09/01/2017, COMPUTER SOFTWARE STORES ,JAM,Computer Equipment & Services,899,THE PC SHOP
FCOGPC2017090025,09/01/2017, MISCELLANEOUS AND SPECIALTY RETAIL STORES ,CHN,General Retail and Wholesale,908.29,BEI JING YUN HU SHANG
FCOGPC2017090026,09/01/2017, COMPUTER SOFTWARE STORES ,GRC,Computer Equipment & Services,913.79,PLAISIO COMPUTERS
FCOGPC2017090027,09/01/2017, AUTOMOTIVE BODY REPAIR SHOPS ,CYP,"Vehicles, servicing and spares",918.56,SAVVAS MATTHEOU SHOP
FCOGPC2017090028,09/01/2017, FLORISTS ,GBR,Estate and garden Services,936,JANE WADHAM FLORAL DES
FCOGPC2017090029,09/01/2017," ORGANIZATIONS, CHARITABLE AND SOCIAL SERVICES ",ITA,Clubs/Associations/Organisations,949.22,LIPU LEGA ITALIANA 625
FCOGPC2017090030,09/01/2017, MONEY TRANSFER-MERCHANT ,GBR,Cash,"1,001.74",TRANSFERWISE
FCOGPC2017090031,09/01/2017," EATING PLACES, RESTAURANTS ",SWE,Restuarants and Bars,"1,001.95",AVEQIA STOCKHOLM
FCOGPC2017090032,09/01/2017," GIFT, CARD, NOVELTY AND SOUVENIR SHOPS ",IND,General Retail and Wholesale,"1,029.12",HARYALI
FCOGPC2017090033,09/01/2017, HOTELS/MOTELS/RESORTS  ,GBR,Hotels,"1,064.00",ACCOMODATION PROVIDER
FCOGPC2017090034,09/01/2017, PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED ,MOZ,Professional Services,"1,086.15",MALEIANE IMPORT E EXPO
FCOGPC2017090035,09/01/2017," EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL) ",IRL,General Retail and Wholesale,"1,089.71",MICHAEL MURPHY HOME FU
FCOGPC2017090036,09/01/2017, HARDWARE STORES ,FIN,General Retail and Wholesale,"1,096.49",PARASLUKKO SECU
FCOGPC2017090037,09/01/2017, COMPUTER SOFTWARE STORES ,JAM,Computer Equipment & Services,"1,179.49",THE PC SHOP
FCOGPC2017090038,09/01/2017, TENT AND AWNING SHOPS ,GRC,General Retail and Wholesale,"1,188.80",TENTAGON
FCOGPC2017090039,09/01/2017, LIMOUSINES AND TAXICABS ,FRA,Travel - Air/Rail/Road,"1,318.36",GIVERNY CONSULT
FCOGPC2017090040,09/01/2017, COMPUTER SOFTWARE STORES ,JAM,Computer Equipment & Services,"1,406.04",THE PC SHOP
FCOGPC2017090041,09/01/2017," EATING PLACES, RESTAURANTS ",SWE,Restuarants and Bars,"1,440.30",AVEQIA STOCKHOLM
FCOGPC2017090042,09/01/2017, DIRECT MARKETING-COMBINATION CATALOG/RETAIL MERCH. ,BRA,General Retail and Wholesale,"2,960.57",PAYPAL PAULA
FCOGPC2017090043,09/01/2017, LIMOUSINES AND TAXICABS ,JPN,Travel - Air/Rail/Road,"3,508.64",NIHONKOTSUUAKASAKAEIGY
FCOGPC2017090044,09/01/2017, LIMOUSINES AND TAXICABS ,JPN,Travel - Air/Rail/Road,"3,709.75",NIHONKOTSUUAKASAKAEIGY
FCOGPC2017090045,09/02/2017, CARPENTRY CONTRACTORS ,GRC,Building Services,522.01,MANOLAS DIMITRIOS
FCOGPC2017090046,09/02/2017, MISCELLANEOUS PUBLISHING AND PRINTING ,AUS,Print and advertising,548.96,FAIRFAX MEDIA GRP78
FCOGPC2017090047,09/02/2017, HOTELS/MOTELS/RESORTS  ,NZL,Hotels,549.17,ACCOMODATION PROVIDER
FCOGPC2017090048,09/02/2017," COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE ",GBR,Computer Equipment & Services,617.39,WWW.MISCO.CO.UK
FCOGPC2017090049,09/02/2017, TRAVEL AGENCIES ,GBR,Travel Agencies,627.8,OPODO LTD
FCOGPC2017090050,09/03/2017, MISCELLANEOUS HOUSE FURNISHING SPECIALTY SHOPS ,USA,General Retail and Wholesale,516.56,BED BATH & BEYOND #20
FCOGPC2017090051,09/04/2017, COMPUTER SOFTWARE STORES ,GBR,Computer Equipment & Services,500,WRAP
FCOGPC2017090052,09/04/2017, AUTOMOBILE RENTAL AGENCY-NOT ELSEWHERE CLASSIFIED ,JPN,Auto rental,512.03,TOYOTARENTARISUNAGOYAM
FCOGPC2017090053,09/04/2017, COMPUTER NETWORK/INFORMATION SERVICES ,IRL,Computer Equipment & Services,514.51,DROPBOX NKLRV75N13X9
FCOGPC2017090054,09/04/2017, COMPUTER SOFTWARE STORES ,ZAF,Computer Equipment & Services,514.83,CARTRIDGE HYPER
FCOGPC2017090055,09/04/2017," DETECTVE/PROTECTVE AGNCY,SECURITY SRVS, ARMOR CARS ",GBR,Personal Services,542.5,SERVEST SECURITY SERVI
FCOGPC2017090056,09/04/2017, LANDSCAPING AND HORTICULTURAL SERVICES ,ZAF,Estate and garden Services,580.01,LEN'S GARDEN SERVICE
FCOGPC2017090057,09/04/2017, AUTOMOTIVE SERVICE SHOPS ,IND,"Vehicles, servicing and spares",600.79,AMP MOTORS PVT LTD
FCOGPC2017090058,09/04/2017, DEPARTMENT STORES ,CMR,General Retail and Wholesale,607.75,ETS NTI ELECTRICITE
FCOGPC2017090059,09/04/2017, CATERERS ,DEU,Catering and Catering Supplies,620.02,SUMUP   CHEF 2 RENT
FCOGPC2017090060,09/04/2017," EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL) ",GRC,General Retail and Wholesale,687.33,IKEA KIFISOU
FCOGPC2017090061,09/04/2017, AUTOMOTIVE SERVICE SHOPS ,IND,"Vehicles, servicing and spares",693.55,AMP MOTORS PVT LTD
FCOGPC2017090062,09/04/2017, HOUSEHOLD APPLIANCE STORES ,GRC,General Retail and Wholesale,696.51,FOTELLIS SECURITY
FCOGPC2017090063,09/04/2017," EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL) ",BIH,General Retail and Wholesale,698.74,JYSK D.O.O. SARAJEVO J
FCOGPC2017090064,09/04/2017, CATERERS ,GBR,Catering and Catering Supplies,723,ALISON PRICE AND COMPA
FCOGPC2017090065,09/04/2017," BUILDING MATERIALS, LUMBER STORES ",JAM,Building Materials,808.76,DESIGN OPTIONS LIMITED
FCOGPC2017090066,09/04/2017," COURIER SVC-AIR & GROUND, FREIGHT FORWARDERS ",ISR,Mail and Courier Services,836.01,ROTERO HOVALA
FCOGPC2017090067,09/04/2017, HOTELS/MOTELS/RESORTS  ,TJK,Hotels,837.17,ACCOMODATION PROVIDER
