Department,Entity,Pay Date,Product Family,Expense Area,Supplier Name,Transaction Number, Net Amount 
BEIS,UKAEA,20/02/2018,Engineering Goods,Fusion,Science And Technology Facilities Council - EUR,5024077, £179.36 
BEIS,UKAEA,20/02/2018,Personnel Related,Fusion,Science And Technology Facilities Council - EUR,5024077, £179.36 
BEIS,UKAEA,08/02/2018,ICT,Fusion,Unicom Systems Inc,5026657," £3,653.62 "
BEIS,UKAEA,12/02/2018,Research,Fusion,University of York - GBP,5026899,"-£20,228.73 "
BEIS,UKAEA,12/02/2018,Research,Fusion,University of York - GBP,5027919," £15,000.00 "
BEIS,UKAEA,12/02/2018,Research,Fusion,University of York - GBP,5028052,"-£4,362.66 "
BEIS,UKAEA,12/02/2018,Research,Fusion,University of York - GBP,5028192," £1,885.44 "
BEIS,UKAEA,12/02/2018,Research,Fusion,University of York - GBP,5028193," £1,632.37 "
BEIS,UKAEA,12/02/2018,Research,Fusion,University of York - GBP,5028196," £2,140.46 "
BEIS,UKAEA,12/02/2018,Research,Fusion,University of York - GBP,5028202," £1,582.77 "
BEIS,UKAEA,09/02/2018,Office Solutions,Fusion,Elsevier Science BV - EUR,5028287," £1,492.59 "
BEIS,UKAEA,09/02/2018,Engineering Goods,Fusion,HTMS NV,5028416," £20,177.43 "
BEIS,UKAEA,12/02/2018,Research,Fusion,University of York - GBP,5028423," £1,532.77 "
BEIS,UKAEA,12/02/2018,Research,Fusion,University of York - GBP,5028424," £5,499.00 "
BEIS,UKAEA,12/02/2018,Research,Fusion,University of York - GBP,5028425," £3,187.50 "
BEIS,UKAEA,12/02/2018,Research,Fusion,University of York - GBP,5028426," £2,693.13 "
BEIS,UKAEA,06/02/2018,Engineering Goods,Support Services,RS Components Ltd,5028431, £123.54 
BEIS,UKAEA,06/02/2018,Engineering Goods,Support Services,Arco Ltd,5028432, £224.88 
BEIS,UKAEA,06/02/2018,Operational Goods,Support Services,Arco Ltd,5028432, £137.74 
BEIS,UKAEA,06/02/2018,Engineering Goods,Fusion,CPC Plc,5028434, £36.51 
BEIS,UKAEA,06/02/2018,Travel,Fusion,Leasedrive Rental Management Ltd,5028435, £105.64 
BEIS,UKAEA,06/02/2018,Engineering Goods,Fusion,Tech Optics Limited,5028436, £285.00 
BEIS,UKAEA,06/02/2018,Logistics and Shipping,Fusion,Tech Optics Limited,5028436, £10.00 
BEIS,UKAEA,07/02/2018,Engineering Goods,Fusion,BOC Ltd,5028437, £66.02 
BEIS,UKAEA,06/02/2018,Engineering Goods,Fusion,RS Components Ltd,5028438, £11.86 
BEIS,UKAEA,07/02/2018,Engineering Goods,Other,BOC Ltd,5028439, £8.42 
BEIS,UKAEA,06/02/2018,Operational Goods,Fusion,FISHERSCIENTIFIC,5028442, £87.24 
BEIS,UKAEA,06/02/2018,Logistics and Shipping,Fusion,FISHERSCIENTIFIC,5028442, £11.56 
BEIS,UKAEA,06/02/2018,Engineering Goods,Other,MSC/J & L Industrial Supply,5028443, £22.48 
BEIS,UKAEA,06/02/2018,Logistics and Shipping,Other,MSC/J & L Industrial Supply,5028443, £4.95 
BEIS,UKAEA,06/02/2018,Engineering Goods,Fusion,RS Components Ltd,5028444, £33.93 
BEIS,UKAEA,06/02/2018,Engineering Goods,Other,Precision Waterjet Ltd,5028448, £98.88 
BEIS,UKAEA,06/02/2018,Engineering Goods,Other,Precision Waterjet Ltd,5028449, £27.04 
BEIS,UKAEA,06/02/2018,Engineering Goods,Fusion,RS Components Ltd,5028450, £85.73 
BEIS,UKAEA,06/02/2018,Engineering Goods,Fusion,RS Components Ltd,5028450, £35.00 
BEIS,UKAEA,06/02/2018,Engineering Goods,Fusion,RS Components Ltd,5028451, £544.90 
BEIS,UKAEA,06/02/2018,Engineering Goods,Fusion,RS Components Ltd,5028452, £23.65 
BEIS,UKAEA,06/02/2018,Engineering Goods,Other,Machining Techology (Mach-Tech) Ltd,5028453, £363.60 
BEIS,UKAEA,06/02/2018,Engineering Goods,Other,Goodfellow Cambridge Ltd,5028454, £203.00 
BEIS,UKAEA,06/02/2018,Engineering Goods,Other,Rajapack Ltd,5028455, £93.15 
BEIS,UKAEA,06/02/2018,Logistics and Shipping,Other,Rajapack Ltd,5028455, £7.49 
BEIS,UKAEA,06/02/2018,Engineering Goods,Other,A & B Industrial Services,5028456," £1,446.68 "
BEIS,UKAEA,07/02/2018,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5028457," £6,463.15 "
BEIS,UKAEA,06/02/2018,Engineering Goods,Fusion,RS Components Ltd,5028458, £48.38 
BEIS,UKAEA,06/02/2018,Engineering Goods,Fusion,RS Components Ltd,5028458, £36.14 
BEIS,UKAEA,07/02/2018,Facilities,Property,Mears Estates,5028459, £750.00 
BEIS,UKAEA,06/02/2018,Waste Management,Property,Grundon Waste Management Ltd,5028462, £345.17 
BEIS,UKAEA,06/02/2018,Waste Management,Property,Grundon Waste Management Ltd,5028462, £630.48 
BEIS,UKAEA,06/02/2018,Personnel Related,Other,Onefix Recruitment Ltd,5028463, £350.00 
BEIS,UKAEA,06/02/2018,Engineering Goods,Other,Global Robots Ltd,5028464," £3,994.00 "
BEIS,UKAEA,06/02/2018,Office Solutions,Other,Artisan Litho Print & Design,5028465, £210.00 
BEIS,UKAEA,06/02/2018,Office Solutions,Fusion,Farnell Electronic Components Ltd,5028466, £68.22 
BEIS,UKAEA,06/02/2018,Engineering Goods,Fusion,RS Components Ltd,5028467, £56.26 
BEIS,UKAEA,07/02/2018,Construction,Other,D Clough Ltd,5028468, £717.23 
BEIS,UKAEA,06/02/2018,Engineering Goods,Fusion,RS Components Ltd,5028469, £176.71 
BEIS,UKAEA,06/02/2018,Engineering Goods,Fusion,Ind-Tech Ltd,5028470," £4,079.61 "
BEIS,UKAEA,06/02/2018,Engineering Goods,Fusion,Ind-Tech Ltd,5028471, £205.36 
BEIS,UKAEA,06/02/2018,Engineering Goods,Fusion,Swagelok London,5028472, £60.96 
BEIS,UKAEA,06/02/2018,Logistics and Shipping,Fusion,Swagelok London,5028472, £9.80 
