Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
"Department for Environment, Food and Rural Affairs",Ministerial Department,"Department for Environment, Food and Rural Affairs",162,155.53,398,383.21,1108,1067.6,664,636.26,100,95.86,5,5,"2,437","2,343",34,33,10,10,131,130.31,2,2,177,175.31,"2,614","2,519","£7,999,913.00","£11,010.00","£321,675.00","£19,133.00","£1,627,345.00","£877,774.00","£10,856,850.00","£1,502,227.47","£17,459.45","£1,519,686.92","£12,376,536.92",
Animal Health and Veterinary Laboratories Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",777,712.45,564,521.32,724,688.08,161,156.82,7,7,0,0,"2,233","2,086",43,43,0,0,14,14,0,0,57,57,"2,290","2,143","£5,178,705.98","£58,586.81",£0.00,"£82,347.75","£1,085,364.06","£525,890.39","£6,930,894.99","£159,496.02",£0.00,"£159,496.02","£7,090,391.01",
"Centre for Environment, Fisheries and Aquaculture Science",Executive Agency,"Department for Environment, Food and Rural Affairs",90,85.41,133,121.17,270,256.54,100,92.57,3,3,0,0,596,559,0,0,0,0,0,0,0,0,0,0,596,559,"£1,512,918.00","£34,116.00",£0.00,"£19,670.00","£314,681.00","£157,862.00","£2,039,247.00",£0.00,£0.00,£0.00,"£2,039,247.00",
Rural Payments Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",598,514.67,482,436.65,412,389.39,89,88.53,5,5,0,0,"1,586","1,434",179,179,7,7,0,0,0,0,186,186,"1,772","1,620","£3,338,880.40","£2,533.18","£15,050.00","£117,431.58","£749,754.45","£398,693.71","£4,622,343.32","£309,456.53","£75,662.73","£385,119.26","£5,007,462.58",
Veterinary Medicines Directorate ,Executive Agency,"Department for Environment, Food and Rural Affairs",30,27.79,27,26.44,58,55.82,34,33.89,2,2,0,0,151,146,11,9.9,0,0,0,0,0,0,11,9.9,162,156,"£445,882.12","£8,122.00",£0.00,"£3,922.10","£96,971.31","£48,729.24","£603,626.77","£43,233.00",£0.00,"£43,233.00","£646,859.77",
Agricultural Wages Board for England and Wales,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.)
Agricultural Wages Committee x 15,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.)
Agriculture and Horticulture Development Board,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,0,0,0,0,0,0,0,0,442,420.08,442,420,13,13,0,0,7,7,0,0,20,20,462,440,"£1,312,102.94","£47,678.09",£0.00,£0.00,"£116,429.97","£145,990.75","£1,622,201.75","£26,184.18",£0.00,"£26,184.18","£1,648,385.93",AHDB is funded through a levy paid by farmers and others in the agricultural supply chain.  No funding towards staffing or other running costs is received from the Government. 
Consumer Council for Water,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",9,7.94,24,23.89,20,18.54,11,10.92,5,4.6,0,0,69,66,2,0.61,1,1,0,0,0,0,3,1.61,72,68,"£182,736.00","£2,121.00",£0.00,£80.00,"£37,811.00","£18,802.00","£241,550.00","£9,347.00",£0.00,"£9,347.00","£250,897.00",
Environment Agency,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",1786,1668.52,2625,2450.32,3261,3047.2,2110,2007.33,114,113.13,918,905.55,"10,814","10,192",176,169.69,54,52.19,228,226.14,351,312.74,809,760.76,"11,623","10,953","£27,292,543.20","£304,935.26",£0.00,"£1,001,843.66","£3,880,825.10","£2,929,986.66","£35,410,133.88","£490,215.17","£876,599.02","£1,366,814.19","£36,776,948.07",
