Title:,Conservation volunteering,,,,,,,,,,,,,,,,,,,,,,
Year:,2000 to 2010,,,,,,,,,,,,,,,,,,,,,,
Geography:,United Kingdom,,,,,,,,,,,,,,,,,,,,,,
Units:,Hours,,,,,,,,,,,,,,,,,,,,,,
Source:,"Environment Agency, Scottish Environment Protection Agency, Northern Ireland Environment Agency",,,,,,,,,,,,,,,,,,,,,,
URL:,http://www.defra.gov.uk/statistics/environment/biodiversity/,,,,,,,,,,,,,,,,,,,,,,
Copyright:,Copyright of data and/or information presented or attached in this document may not reside solely with this Department.,,,,,,,,,,,,,,,,,,,,,,
Nat. Statistic:,No,,,,,,,,,,,,,,,,,,,,,,
Custodian,"Environment Statistics Service, Department for Environment, Food and Rural Affairs, Area 6E Ergon House, 17 Smith Square, London SW1P 3JR, 08459 33 55 77",,,,,,,,,,,,,,,,,,,,,,
Contact:,enviro.statistics@defra.gsi.gov.uk,,,,,,,,,,,,,,,,,,,,,,
Release Date:,20-May-11,,,,,,,,,,,,,,,,,,,,,,
Notes:,Defra estimates have been used to impute for missing data,,,,,,,,,,,,,,,,,,,,,,
,"As data provided by BTCV, Loch Lomond National Park, Northumberland National Park, North Yorkshire Moors National Park, Peak District National Park, and RSPB were for financial years as
    opposed to calendar years, 2009-10 datawere allocated to 2009 and Defra estimates were made for 2010.
",,,,,,,,,,,,,,,,,,,,,,
,"Where possible organisations have used records of actual volunteer hours, or where this is unavailable, volunteer numbers along with an estimate of hours per volunteer.",,,,,,,,,,,,,,,,,,,,,,
,The decline in volunteer hours seen in 2001 was a real effect casued by the Foot and Mouth outbreak that year.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Year,Bat Conservation Trust,Botanical Society for the British Isles,British Waterways,British Trust for Conservation Volunteers,British Trust for Ornithology,Butterfly Conservation,Exmoor National Park,Lake District National Park,Loch Lomond National Park,North Yorkshire Moors National Park,Northumberland National Park,Peak District National Park,Plantlife,Royal Society for the Protection of Birds,Soils Association,The Wildlife Trusts,Woodland trust,Natural England,,"Index
(2000 = 100)",,,
2000,"28,347","17,875",-,"987,500","1,338,328",-,"2,000",-,-,-,-,"33,075",504,"651,107",-,-,-,-,,100,,,
2001,"15,059","13,759",-,"1,104,600","1,074,150",-,"2,000",-,-,-,-,"21,300",900,"581,756",-,-,-,"59,800",,90,,,
2002,"28,348","20,026",-,"1,042,600","1,468,875",-,"2,500",-,393,-,-,"22,763","1,008","656,651",-,-,"113,229",-,,107,,,
2003,"30,325","38,306",-,"1,041,500","1,514,358","729,479","3,000",-,-,-,-,"23,265",720,"602,042",-,-,"101,163","103,024",,107,,,
2004,"33,854","34,684",-,"1,039,200","1,568,059","783,639","2,796",-,585,-,"10,578","21,990","12,422","655,414",-,-,"143,520","118,008",,113,,,
2005,"40,316","34,315",-,"1,106,400","1,622,738","813,015","3,346",-,"2,140",-,"12,852","26,115","16,017","704,223",-,"2,151,474","272,113","120,938",,122,,,
2006,"41,145","35,407",-,"1,594,032","1,612,169","929,347","2,338","39,218","2,698","38,628","12,336",-,"14,712","773,370","1,482","2,837,328","253,405","135,566",,139,,,
2007,"42,192","38,540",-,"1,486,881","1,713,055","994,592","2,182","40,628","2,928","47,260","9,072",-,"10,168","845,465",78,"2,885,688","231,237","148,276",,142,,,
2008,"45,827","46,436",-,"1,395,132","1,771,958","1,048,959","6,921","45,135","2,973","73,651","7,512",-,"12,748","889,012",312,"3,128,112","224,662","167,876",,145,,,
2009,"50,834","43,105",-,"1,379,124","1,777,173","1,146,680","12,150","44,925","4,027","83,078","6,744","67,650","18,363","931,656",858,"2,980,068","202,658","198,610",,149,,,
2010,"56,388","30,884","60,925",-,"1,822,778","1,211,528","14,000","44,716",-,-,-,-,"11,906",-,468,-,"283,481","234,971",,157,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Survey, data input and data analysis",,,,,,,,,,,,,,,,,,,,,,,.
Year,Bat Conservation Trust,Botanical Society for the British Isles,British Waterways,British Trust for Conservation Volunteers,British Trust for Ornithology,Butterfly Conservation,Exmoor National Park,Lake District National Park,Loch Lomond National Park,North Yorkshire Moors National Park,Northumberland National Park,Peak District National Park,Plantlife,Royal Society for the Protection of Birds,Soils Association,The Wildlife Trusts,Woodland trust,Natural England,,"Index
(2000 = 100)",,,
2000,"28,025","14,125",-,-,"1,285,208",-,-,-,-,-,-,-,-,"24,044",-,-,-,-,,100,,,
2001,"14,709","10,009",-,-,"1,036,150",-,-,-,-,-,-,-,-,"18,585",-,-,-,"20,100",,81,,,
2002,"27,998","16,276",-,-,"1,415,755",-,-,-,-,-,-,-,-,"30,692",-,-,"21,648",,,110,,,
2003,"29,302","34,556",-,-,"1,461,238","605,479",-,-,-,-,-,-,-,"17,576",-,-,"14,111","27,600",,112,,,
2004,"32,848","30,934",-,-,"1,514,179","654,639",-,-,-,150,-,-,"6,720","35,869",-,-,"2,610","30,100",,118,,,
2005,"37,886","30,565",-,-,"1,568,108","677,527",-,-,-,-,-,-,"10,158","29,482",-,"2,151,474","38,612","34,550",,124,,,
2006,"39,056","31,657",-,-,"1,556,789","775,347",-,"4,118",-,615,-,-,"9,486","36,136",-,"2,786,628","27,281","36,750",,129,,,
2007,"40,060","34,790",-,-,"1,644,489","820,720",-,"4,148",-,"1,303",-,-,"7,168","37,594",-,"2,834,988","12,683","41,500",,135,,,
2008,"42,877","42,686",-,-,"1,698,848","874,876",-,"5,228",-,368,-,-,"10,238","48,060",-,"3,077,412","16,210","46,000",,143,,,
