Northern Ireland cmr-6.01,,,,,,,,,,,
,,,,,,,,,,,
Figure 6.1,,,,,,,,,,,
Approximate number of items of post sent in the past month,,,,,,,,,,,
Items of post sent per month (% of respondents) ,,,,,,,,,,,
"Source: Ofcom Residential Postal Tracker, Q3 2012-Q2 2013",,,,,,,,,,,
"Base: All respondents (n = 4844 UK, 2789 England, 811 Scotland, 547 Wales, 697 Northern Ireland)",,,,,,,,,,,
"QC1. Approximately how many items of post - including letters, cards and parcels - have you personally sent in the last month?",,,,,,,,,,,
,,,,,,,,,,,
Column1,UK,England,Scotland,Wales,N Ireland,,,,,,
None/ don't send mail,18,17,30,12,25,,,,,,
1 or 2 items,22,21,26,23,18,,,,,,
3 or 4 items,18,18,16,23,15,,,,,,
5-10 items,25,26,13,27,27,,,,,,
11-20 items,11,10,6,10,7,,,,,,
21+ items,9,5,3,4,6,,,,,,
Don't know,1,1,4,0,1,,,,,,
,,,,,,,,,,,
Northern Ireland cmr-6.02,,,,,,,,,,,
,,,,,,,,,,,
Figure 6.2,,,,,,,,,,,
Type of post sent in the past month,,,,,,,,,,,
Proportion of consumers (%) ,,,,,,,,,,,
"Source: Ofcom Residential Postal Tracker, Q3 2012-Q2 2013",,,,,,,,,,,
"Base: All adults aged 16+ (n = 4844 UK, 2789 England, 811 Scotland, 547 Wales, 697 Northern Ireland)",,,,,,,,,,,
QC5. Which of these types of mail would you say you have personally sent in the last month by post? (MULTICODE),,,,,,,,,,,
,,,,,,,,,,,
Column1,UK,England,Scotland,Wales,N Ireland,,,,,,
Invitations/greetings cards/postcards,58,57,56,67,52,,,,,,
Larger parcels,38,38,33,36,40,,,,,,
Formal letters,38,39,33,31,33,,,,,,
Personal letters,37,39,19,30,22,,,,,,
Payments for bills,29,29,18,27,39,,,,,,
Smaller parcels,22,23,13,22,26,,,,,,
Other,2,2,3,2,1,,,,,,
,,,,,,,,,,,
Northern Ireland cmr-6.03,,,,,,,,,,,
,,,,,,,,,,,
Figure 6.3,,,,,,,,,,,
Approximate number of items of post received in past week ,,,,,,,,,,,
Items of post received per month (% of respondents) ,,,,,,,,,,,
"Source: Ofcom Residential Postal Tracker, Q3 2012-Q2 2013",,,,,,,,,,,
"Base: All adults aged 16+ (n = 4844 UK, 2789 England, 811 Scotland, 547 Wales, 697 Northern Ireland)",,,,,,,,,,,
"QD1. Approximately how many items of post - including letters, cards and parcels - have you personally received in the last week?",,,,,,,,,,,
,,,,,,,,,,,
Column1,UK,England,Scotland,Wales,N Ireland,,,,,,
None,8,7,16,5,10,,,,,,
1 or 2 items,16,15,22,12,18,,,,,,
3 or 4 items,17,18,15,14,18,,,,,,
5-10 items,34,35,30,37,35,,,,,,
11-20 items,15,18,11,22,12,,,,,,
21+ items,5,5,1,8,7,,,,,,
Don't know,1,1,5,1,0,,,,,,
,,,,,,,,,,,
Northern Ireland cmr-6.04,,,,,,,,,,,
,,,,,,,,,,,
Figure 6.4,,,,,,,,,,,
Services used to send letters and cards ,,,,,,,,,,,
Proportion of respondents (%) ,,,,,,,,,,,
"Source: Ofcom Residential Postal Tracker, Q3 2012-Q2 2013",,,,,,,,,,,
"Base: All respondents  (n = 4844 UK, 2789 England, 811 Scotland, 547 Wales, 697 Northern Ireland)",,,,,,,,,,,
"QF6. When sending letters or cards, which service do you use? ",,,,,,,,,,,
,,,,,,,,,,,
Column1,UK,England,Scotland,Wales,N Ireland,,,,,,
First class all the time,42,42,49,34,40,,,,,,
First class most of the time,17,18,9,16,21,,,,,,
First and second equally,16,16,16,30,19,,,,,,
Second class most of the time,13,14,9,12,12,,,,,,
Second class all of the time,5,5,3,4,3,,,,,,
Never send letters or cards,4,4,6,2,4,,,,,,
,,,,,,,,,,,
Northern Ireland cmr-6.05,,,,,,,,,,,
,,,,,,,,,,,
Figure 6.5,,,,,,,,,,,
Value for money of sending post using a First Class stamp ,,,,,,,,,,,
Value for money of a First Class stamp (% of respondents) ,,,,,,,,,,,
"Source: Ofcom Residential Postal Tracker, Q3 2012-Q2 2013",,,,,,,,,,,
"Base: All respondents  (n = 4844 UK, 2789 England, 811 Scotland, 547 Wales, 697 Northern Ireland)",,,,,,,,,,,
