Senior official (SCS2 and above),Start date of trip,Duration of Visit,Destination,Purpose of trip,Mode of transport,Class of travel,Accommodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc (£)",Total Cost of Use of Official Secure Car
Alec Waterhouse,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Alexandra Jones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Angie Ridgwell,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Anne Dixon,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Ben Golding,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Caleb Deeks,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Catherine Bremner,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Christopher Pope,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Clive Maxwell,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dan Monzani,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Emma Ward,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Jaee Samant,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Jenny Dibden,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Sam Lister,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Tim Jarvis,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Tim Lai,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Tim Lord,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil,Nil
,,,,,,,,,,
Alan Over,2017-10-25,1,Thatcham,Visit to energy supplier ,Rail,Standard,,,49.40,
Alan Over,2017-11-15,1,Leeds,Visit to energy supplier,Rail,Standard,,,73.50,
Alan Over,2017-11-24,1,Wolverhampton,Visit to energy supplier,Rail,Standard,,,76.60,
,,,,,,,,,,
Alex Chisholm,2017-10-26,3,Belfast/ Dublin,Discussing Industrial Strategy  ,Air,Economy,£268.99,,612.30,
Alex Chisholm,2017-11-17,1,Hammersmith,Dinner at Lazard to discuss Industrial Strategy ,Taxi,,,,31.00,
Alex Chisholm,2017-12-04,2,Brussels,Discussing Industrial Strategy  ,Eurostar,Economy,£224.24,£195.70,547.94,
Alex Chisholm,2017-12-10,5,Tokyo,To discuss Industrial Strategy  ,Air,Business,£13.82,,4695.63,
,,,,,,,,,,
Ashley Ibbett,2017-10-13,1,Bristol,Meeting with RegenSW,Rail,Standard,,,124.50,
Ashley Ibbett,2017-10-18,1,Aberdeen,Hywind Scotland opening,Air,Standard,,,442.77,
Ashley Ibbett,2017-10-26,2,Glasgow,Meeting with National Air Traffic Services & Scottish Power,Air,Standard,£60.00,,393.92,
Ashley Ibbett,2017-11-28,2,Bath,RegenSW Annual Awards,Rail,Standard,£140.99,,234.79,
Ashley Ibbett,2017-12-05,3,Abu Dhabi,Carbon Sequestration Leadership Forum,Air,Business,£468.71,,2631.88,
,,,,,,,,,,
Blake Bower,2017-11-29,2,Warsaw,Meeting think tanks and business in Poland,Air ,Standard,£149.06,,412.46,
Blake Bower,2017-12-04,2,Brussels,Discussing Industrial Strategy and hosting Industry dinner,Eurostar,Standard,£234.24,£798.08,1302.26,
,,,,,,,,,,
