"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD20","AA (L)","19320","19890","Administrative Assistant","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD20","AO (L)","22070","23170","Administrative Officer","1.58","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD20","AO (L)","22070","23170","Personal Secretary","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD20","EO (L)","25500","29210","Executive Officer","3.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD20","FS (L)","27500","36000","Higher Executive Officer (D)","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD20","G7 (L)","49400","59290","Grade 7","3.69","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD20","HEO (L)","30510","35350","Higher Executive Officer","4.12","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD20","SEO (L)","36610","43190","Senior Executive Officer","4.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD21","AO (L)","22070","23170","Administrative Officer","0.50","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD21","EO (L)","25500","29210","Executive Officer","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD21","EO (N)","22820","26040","Executive Officer","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD21","FS (L)","27500","36000","Assistant Economist","2.00","Economics"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD21","G6 (L)","59050","70310","Grade 6","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD21","G7 (L)","49400","59290","Grade 7","2.81","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD21","G7 (N)","44970","53910","Grade 7","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD21","HEO (N)","27400","31680","Higher Executive Officer","0.80","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD22","AO (L)","22070","23170","Administrative Officer","2.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD22","EO (L)","25500","29210","Executive Officer","2.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD22","FS (L)","27500","36000","Higher Executive Officer (D)","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD22","G6 (L)","59050","70310","Grade 6","2.69","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD22","G7 (L)","49400","59290","Grade 7","5.29","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD22","G7 (L)","49400","59290","Not in Post","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD22","HEO (L)","30510","35350","Higher Executive Officer","5.50","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD22","HEO (N)","27400","31680","Higher Executive Officer","1.00","Policy"
"Department for Environment, Food and Rural Affairs","Department for Environment, Food and Rural Affairs","Animal Health & Welfare: Disease Control","DD22","SEO (L)","36610","43190","Senior Executive Officer","3.90","Policy"
