?BODY NAME,SERVICE LABEL COMMITTEE,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER NAME,SUPPLIER ID
NEWARK AND SHERWOOD DISTRICT COUNCIL,CORPORATE,G998,NOTTS CC PRECEPT,18/11/2013,238218,4297250,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,CORPORATE,G998,TARIFF,18/11/2013,238218,1005653,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOUSING REVENUE ACCOUNT,G410,NSH MANAGEMENT FEE,29/11/2013,1152689,618530,NEWARK AND SHERWOOD HOMES LTD,400001
NEWARK AND SHERWOOD DISTRICT COUNCIL,CORPORATE,G998,NOTTS POLICE AUTHORITY PRECEPT,18/11/2013,238219,610996,NOTTS POLICE AND CRIME COMMISSIONER,101784
NEWARK AND SHERWOOD DISTRICT COUNCIL,CORPORATE,G998,BUSINESS RATE SHARES,18/11/2013,238218,342911,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,CORPORATE,G998,NOTTINGHAMSHIRE FIRE AND RESCU,18/11/2013,238220,250989,NOTTINGHAMSHIRE FIRE AUTHORITY,101572
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY,G992,DRAINAGE RATES,27/11/2013,238723,232096.5,TRENT VALLEY INTERNAL DRAINAGE BOARD,101631
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,PURCHASE OF VEHICLES,08/11/2013,237527,136164,TERBERG MATEC UK LTD,100541
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,PURCHASE OF VEHICLES,15/11/2013,237790,136164,TERBERG MATEC UK LTD,100541
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,PROFESSIONAL SERVICES,29/11/2013,238645,102128,TURNER & TOWNSEND PROJECT MANAGEMENT LTD,101826
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY,G450,BIC CONTRACT,22/11/2013,238419,83618.53,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,PAYMENTS TO NOTTS COUNTY CNCL,01/11/2013,237098,64920.68,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,POLICY,G992,REPAIRS AND MAINTENANCE,15/11/2013,237821,57656.61,TANBRY CONSTRUCTION LTD,102176
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,29/11/2013,238827,50680,NEWARK AND SHERWOOD HOMES LTD,100366
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,01/11/2013,237293,46990.8,WESTVILLE LTD,100604
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,15/11/2013,237855,44311.54,MATTHEWS & TANNERT LTD,101312
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,01/11/2013,237263,42399.82,DEVLIN DECORATORS,100127
NEWARK AND SHERWOOD DISTRICT COUNCIL,CORPORATE,G998,BUSINESS RATE SHARES,18/11/2013,238220,38101,NOTTINGHAMSHIRE FIRE AUTHORITY,101572
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,CONTRACTUAL SERVICES,15/11/2013,237796,32592.13,NEWARK TOWN COUNCIL,100374
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE & ENVIRONMENT,G440,ARTISTS FEES,08/11/2013,237604,30000,PAUL HOLMAN ASSOCIATES LTD,100768
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,08/11/2013,237578,28996.62,BLUE LINES ROOFING LTD,100049
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,15/11/2013,237858,26395.4,JOHNSON SURFACING LTD,100246
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,29/11/2013,238677,25113.61,DEVLIN DECORATORS,100127
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,08/11/2013,237459,24289.42,THOMAS BOW LTD,102178
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,01/11/2013,237255,22445.51,S P G CONSTRUCTION LTD,100477
NEWARK AND SHERWOOD DISTRICT COUNCIL,LEISURE &  ENVIRONMENT,G991,STORES RECEIPTS,01/11/2013,237182,22229.11,EMO OIL LTD,100728
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,G997,CONTRACT WORK,22/11/2013,238368,20889.67,ELECTRICAL SAFETY SYSTEMS LTD,100147
