Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount 
CLG,Standards Board for England,01/07/2010,Internet Charges,IST,NODE 4 LIMITED,56053, 816.63 
CLG,Standards Board for England,01/07/2010,Mobile Telephone,CEO,ORANGE,56055, 79.54 
CLG,Standards Board for England,01/07/2010,Mobile Telephone,GUI,ORANGE,56055, 21.56 
CLG,Standards Board for England,01/07/2010,Mobile Telephone,HRC,ORANGE,56055, 17.76 
CLG,Standards Board for England,01/07/2010,Mobile Telephone,IST,ORANGE,56055, 117.03 
CLG,Standards Board for England,01/07/2010,Mobile Telephone,KNO,ORANGE,56055, 26.04 
CLG,Standards Board for England,01/07/2010,Mobile Telephone,PER,ORANGE,56055, 17.31 
CLG,Standards Board for England,01/07/2010,Mobile Telephone,PST,ORANGE,56055, 18.82 
CLG,Standards Board for England,01/07/2010,Mobile Telephone,REG,ORANGE,56055, 75.77 
CLG,Standards Board for England,01/07/2010,Mobile Telephone,REP,ORANGE,56055, 230.47 
CLG,Standards Board for England,01/07/2010,Mobile Telephone,RSK,ORANGE,56055, 67.62 
CLG,Standards Board for England,01/07/2010,Mobile Telephone,STR,ORANGE,56055, 37.88 
CLG,Standards Board for England,01/07/2010,Mobile Telephone,BRD,ORANGE,56055, 22.16 
CLG,Standards Board for England,05/07/2010,Internal Audit Fees,PST,RSM TENON,56059," 2,678.30 "
CLG,Standards Board for England,07/07/2010,Rates,FAC,MANCHESTER CITY COUNCIL -RATES,56401," 5,135.00 "
CLG,Standards Board for England,07/07/2010,Placement Fee,HRC,PENNA BARKER,56108," 2,350.00 "
CLG,Standards Board for England,12/07/2010,Placement Fee,HRC,SEARCH RECRUITMENT,56111," 2,007.22 "
CLG,Standards Board for England,12/07/2010,Staff Training,HRC,THE WORD CENTRE,56097," 1,880.00 "
CLG,Standards Board for England,13/07/2010,Photocopier leasing charges,FAC,OCE FINANCE,56104," 1,404.47 "
CLG,Standards Board for England,14/07/2010,Press office services,COM,DURRANTS PRESS CUTTINGS LTD,56106," 2,055.43 "
CLG,Standards Board for England,15/07/2010,Telephone and Fax - Land line,IST,BRITISH TELECOMMUNICATIONS PLC,56131," 2,453.84 "
CLG,Standards Board for England,15/07/2010,IT Hardware,IST,COMPUTACENTER UK LTD,56129, 554.84 
CLG,Standards Board for England,15/07/2010,Internet Charges,IST,KINGSTON COMMUNICATIONS,56130," 4,140.41 "
CLG,Standards Board for England,15/07/2010,Travel - Train,KNO,LONSDALE TRAVEL LTD/CAPITA BUS,56138, 429.10 
CLG,Standards Board for England,15/07/2010,Travel - Train,BRD,LONSDALE TRAVEL LTD/CAPITA BUS,56138, 364.70 
CLG,Standards Board for England,15/07/2010,Travel - Train,STR,LONSDALE TRAVEL LTD/CAPITA BUS,56138, 521.95 
CLG,Standards Board for England,15/07/2010,Travel - Train,REP,LONSDALE TRAVEL LTD/CAPITA BUS,56138," 1,512.79 "
