CPS outcomes by principal offence category northamptonshire,Number of Defendants convicted,Convictions Percentage,Number of Defendants Unsuccessful Prosecutions,Unsuccessful Prosecutions Percentage
A Homicide,0,0,0,0
B Offences Against The Person,92,71.9%,36,28.1%
C Sexual Offences,5,62.5%,3,37.5%
D Burglary,18,85.7%,3,14.3%
E Robbery,2,100.0%,0,0.0%
F Theft And Handling,123,92.5%,10,7.5%
G Fraud And Forgery,10,83.3%,2,16.7%
H Criminal Damage,33,84.6%,6,15.4%
I Drugs Offences,36,92.3%,3,7.7%
J Public Order Offences,50,87.7%,7,12.3%
K All Other Offences (excluding Motoring),34,81.0%,8,19.0%
L Motoring Offences,212,95.5%,10,4.5%
Admin Finalisations,0,0.0%,7,100.0%
TOTAL,615,86.6%,95,13.4%
