Body Name,Service Label,Expense Category,Date,Transaction Number,Net Amount,Supplier Name
TfGM,Transport,Vehicle Costs,01/10/2014,1200031024,759.47,ALLSTAR
TfGM,Transport,Capital Costs - Land Acquisition and Related Costs,02/10/2014,1900036721,645000.00,DLA PIPER UK LLP
TfGM,Transport,Research Services,03/10/2014,5100068722,28186.94,AECOM LTD
TfGM,Transport,Sustainable Transport Support Services,03/10/2014,5100070306,3190.00,ANTZ JUNCTION
TfGM,Transport,Capital Costs - LRT Vehicles,03/10/2014,5100070318,168175.93,BOMBARDIER TRANSPORTATION UK LTD
TfGM,Transport,IS Software & Maintenance,03/10/2014,5100070360,620.34,BT BUSINESS DIRECT LTD
TfGM,Transport,Telecommunications,03/10/2014,5100070245,4055.33,BT GLOBAL SERVICES
TfGM,Transport,Telecommunications,03/10/2014,5100070293,15082.39,BT GLOBAL SERVICES
TfGM,Transport,Telecommunications,03/10/2014,5100070295,5261.14,BT GLOBAL SERVICES
TfGM,Transport,Capital Costs - Utility & Service Diversion Costs,03/10/2014,5100070395,3250.08,BT OPENREACH (SALFORD)
TfGM,Transport,Capital Costs - Capital Project Main Contract Works,03/10/2014,5100068333,1000.00,CHARGE YOUR CAR LTD
TfGM,Transport,Capital Costs - Capital Project Main Contract Works,03/10/2014,5100068335,74824.00,CHARGE YOUR CAR LTD
TfGM,Corporate Services,Employee Reimbursed Costs,03/10/2014,5100070402,7903.00,CHILDCARE VOUCHERS LTD
TfGM,Transport,Capital Costs - Project Support Services,03/10/2014,5100070324,3000.00,COLLINS PROJECT DELIVERY
TfGM,Transport,Financial and Contract Management Services,03/10/2014,5100070277,9521.25,AUTUS LTD
TfGM,Transport,Concessionary Reimbursement,03/10/2014,1900036736,793.00,CRESTA CAR HIRE
TfGM,Corporate Services,Cyclescheme,03/10/2014,5100070243,750.00,CYCLESCHEME LTD
TfGM,Corporate Services,Cyclescheme,03/10/2014,5100070347,686.80,CYCLESCHEME LTD
TfGM,Corporate Services,Programme Management,03/10/2014,5100070363,4800.00,EDGERTON MANAGEMENT SERVICES LTD
TfGM,Transport,Capital Costs - Utility & Service Diversion Costs,03/10/2014,5100069649,94718.78,ELECTRICITY NORTH WEST EHV
TfGM,Transport,Driver Intervention Course Delivery Costs,03/10/2014,5100070282,2800.00,ENTERPRISE SOLUTIONS (NW) LTD
TfGM,Corporate Services,Supported Bus Services,03/10/2014,5100070345,55498.59,FIRST RAIL SUPPORT LTD
TfGM,Transport,Temporary Vacancy Cover,03/10/2014,1900036720,8531.23,HAYS SPECIALIST RECRUITMENT LTD
TfGM,Transport,Capital Costs - Programme and Project Management Services,03/10/2014,1900036744,9122.67,HAYS SPECIALIST RECRUITMENT LTD
TfGM,Transport,IS Support Services,03/10/2014,5100070390,6400.00,IBASE SYSTEMS LTD
TfGM,Corporate Services,Procurement Services,03/10/2014,5100070326,5525.00,JETFIRE ASSOCIATES LIMITED
TfGM,Transport,Capital Costs - Land Acquisition and Related Costs,03/10/2014,1900036746,4500.00,KEPPIE MASSIE SURVEYORS
TfGM,Transport,Capital Costs - Capital Project Main Contract Works,03/10/2014,5100070344,389940.68,KIER CONSTRUCTION - NORTHERN
TfGM,Transport,Driver Intervention Course Delivery Costs,03/10/2014,5100069775,2043.30,MANCHESTER CITY COUNCIL
TfGM,Transport,Capital Costs - Vehicle Costs,03/10/2014,5100069820,729.96,MANCHESTER CITY COUNCIL
