RECRUITMENT,,,,,,,,,,,,,,,,
Organisation Name,Basis for expenditure approval,Civil Service Grade (FTE),,,,,,Civil Service Grade (Headcount),,,,,,Total approvals (Headcount),Total Approvals (FTE),Date of approval
,,AA/AO,EO,HEO/SEO,GRADE 6/7,SCS,OTHER,AA/AO,EO,HEO/SEO,GRADE 6/7,SCS,OTHER,,,
Arts & Humanities Research Council (AHRC),External recruitment freeze exemptions - business critical,0,4,2,0,0,1,0,4,2,0,0,1,7,7,Q2 2015/16
BIS ,External recruitment freeze exemptions - business critical,9,24,14,1,0,21,9,24,14,1,0,21,69,69,Q2 2015/16
Companies House,External recruitment freeze exemptions - business critical,0,3,0,1,1,0,0,3,0,1,1,0,5,5,Q2 2015/16
Economic & Social Research Council (ESRC),External recruitment freeze exemptions - business critical,0,5,1,0,0,1,0,5,1,0,0,1,7,7,Q2 2015/16
Engineering & Physical Science Research Council (EPSRC),External recruitment freeze exemptions - business critical,9,0,5,0,0,1,9,0,5,0,0,1,15,15,Q2 2015/16
ECITB,External recruitment freeze exemptions - business critical,0,11,0,0,0,0,0,11,0,0,0,0,11,11,Q2 2015/16
HEFCE,External recruitment freeze exemptions - business critical,14,3,15,1,1,0,14,3,15,1,1,0,34,34,Q2 2015/16
Innovate UK,External recruitment freeze exemptions - business critical,0,0,0,2,0,0,0,0,0,2,0,0,2,2,Q2 2015/16
Insolvency Service (INSS),External recruitment freeze exemptions - business critical/frontline,25,1,3,0,0,0,25,1,3,0,0,0,29,29,Q2 2015/16
Intellectual Property Office (IPO),External recruitment freeze exemptions - business critical/frontline,1,1,6,0,0,0,1,1,6,0,0,0,8,8,Q2 2015/16
Land Registry ,External recruitment freeze exemptions - business critical/frontline,6,36,38,4,0,0,6,36,38,4,0,0,84,84,Q2 2015/16
Medical Research Council,External recruitment freeze exemptions - business critical,10,19,28,1,0,5,10,19,27.8,1,0,5,63,63,Q2 2015/16
Met office,External recruitment freeze exemptions - business critical,0,0,0,0,0,92,0,0,0,0,0,92,92,92,Q2 2015/16
NMRO,External recruitment freeze exemptions - business critical,0,5,0,0,0,0,0,5,0,0,0,0,5,5,Q2 2015/16
OFFA,External recruitment freeze exemptions - business critical,0,0.5,0,0,0,0,0,1,0,0,0,0,1,1,Q2 2015/16
Skills Funding Agency,External recruitment freeze exemptions - business critical,7,0,2,0,0,0,7,0,2,0,0,0,9,9,Q2 2015/16
STFC,External recruitment freeze exemptions - business critical,5,11,63,18,0,1,5,11,63,18,0,1,98,98,Q2 2015/16
Student Loan Council,External recruitment freeze exemptions - business critical,208,39,3,0,0,0,0,208,39,3,0,0,250,250,Q2 2015/16
UK Atomic Energy Authority (UKAEA) ,External recruitment freeze exemptions - business critical,0,0,0,0,0,17,0,0,0,0,0,17,17,17,Q2 2015/16
UKCES,External recruitment freeze exemptions - business critical,8,2,0,0,0,0,8,2,0,0,0,0,10,10,Q2 2015/16
UKSA,External recruitment freeze exemptions - business critical,0,2,2,2,0,0,2,2,2,0,0,0,6,6,Q2 2015/16
