Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,Amount
CLG,The Planning Inspectorate,01/04/2010,Maintenance & Support,Capital,VIGLEN LTD,2257836,118126.37
CLG,The Planning Inspectorate,01/04/2010,Maintenance & Support,Information Services,VIGLEN LTD,2258522,30920
CLG,The Planning Inspectorate,01/04/2010,Systems Delivery,Library & Decision Letter Library,SIRSIDYNIX,INVMT000000014669,5762.72
CLG,The Planning Inspectorate,01/04/2010,Specialist Contractors,NSI Fees,STAR PLANNING & DEVELOPMENT LTD,520,5593
CLG,The Planning Inspectorate,01/04/2010,Telecoms,Director Casework,VODAFONE - CORPORATE LTD,AU25756,4000
CLG,The Planning Inspectorate,01/04/2010,Maintenance & Support,Information Services,VIGLEN LTD,2258516,3695
CLG,The Planning Inspectorate,01/04/2010,Maintenance & Support,Information Services,VIGLEN LTD,2258514,2548.75
CLG,The Planning Inspectorate,01/04/2010,Specialist Contractors,NSI Fees,RICHARD J MAILE,1179,2566.2
CLG,The Planning Inspectorate,01/04/2010,Post & Courier,Estates,ROYAL MAIL - Peterborough,9028592018,2510.73
CLG,The Planning Inspectorate,01/04/2010,Specialist Contractors,NSI Fees,JDA DEVELOPMENT & PLANNING SERVICE,484,2237.2
CLG,The Planning Inspectorate,01/04/2010,Specialist Contractors,NSI Fees,JOHN L B GREENWOOD,0910-PINS10-03,2100
CLG,The Planning Inspectorate,01/04/2010,Specialist Contractors,NSI Fees,STUART HALL,pins03/10,1764
CLG,The Planning Inspectorate,01/04/2010,Staff Medical Care,Human Resources,HEALTH MANAGEMENT LTD,58943,1205
CLG,The Planning Inspectorate,01/04/2010,Specialist Contractors,NSI Fees,CHRISTOPHER GETHIN,PINS10-302,1414.7
CLG,The Planning Inspectorate,01/04/2010,Specialist Contractors,NSI Fees,H J L PLANNING,PI/018/MARCH (1),1398.25
CLG,The Planning Inspectorate,01/04/2010,Specialist Contractors,NSI Fees,JACQUES PARTNERSHIP,1711,1381.8
CLG,The Planning Inspectorate,01/04/2010,Maintenance & Support,Regional Spatial Strategies,VIGLEN LTD,2258517,1139.75
CLG,The Planning Inspectorate,01/04/2010,Specialist Contractors,NSI Fees,GRESTY LAND AGENCY LTD,130,1120
CLG,The Planning Inspectorate,01/04/2010,Catering,NSI Fees,EUREST SUTCLIFFE,1002132747,843.83
CLG,The Planning Inspectorate,01/04/2010,Staff Training & Development,Management & Development Training,COMPUTER WORLD,3007015,795
CLG,The Planning Inspectorate,01/04/2010,Specialist Contractors,NSI Fees,TOWN PLANNING CONSULTANCY SERVICES,PINS 012,840
CLG,The Planning Inspectorate,01/04/2010,Specialist Contractors,NSI Fees,LYNNE EVANS,10/006,784
CLG,The Planning Inspectorate,01/04/2010,Staff Training & Development,Management & Development Training,COMPUTER WORLD,3007018,595
CLG,The Planning Inspectorate,01/04/2010,Specialist Contractors,NSI Fees,LEIGH & GLENNIE LTD,1446,658
CLG,The Planning Inspectorate,01/04/2010,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,A-21764588,613.63
CLG,The Planning Inspectorate,06/04/2010,Specialist Contractors,Local Development Framework ,RICS DISPUTE RESOLUTION SERVICES,INC00033866,12172.81
CLG,The Planning Inspectorate,06/04/2010,Security,Estates,INTERFLEX - INGERSOLL RAND,ORF/90000952,10265.46
CLG,The Planning Inspectorate,06/04/2010,Records Storage,Admin Support,IRON MOUNTAIN,W106246-W106253,5753.81
CLG,The Planning Inspectorate,06/04/2010,Systems Delivery,Human Resources,LOGICA IT SERVICES UK LTD,HRS111234,5223.4
CLG,The Planning Inspectorate,06/04/2010,Staff Training & Development,Information Services,EVOLVE BUSINESS CONSULTANTCY LIMITED,3131,3760
