Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Department of Health,North Tyneside Primary Care Trust,01/09/2010,NON - HEALTHCARE - FOUNDATION TRUSTS,ESTATES,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,44503,45044,
Department of Health,North Tyneside Primary Care Trust,01/09/2010,NON - HEALTHCARE - FOUNDATION TRUSTS,ESTATES,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,46366,45044,
Department of Health,North Tyneside Primary Care Trust,01/09/2010,NON - HEALTHCARE - FOUNDATION TRUSTS,ADMINISTRATION,NORTHUMBERLAND TYNE AND WEAR NHS FOUNDATION TRUST,517491,109504,
Department of Health,North Tyneside Primary Care Trust,01/09/2010,HEALTHCARE - OTHER NHS BODIES,HEALTHCARE CONTRACTS,HEALTH PROTECTION AGENCY,5268659,41420.33,
Department of Health,North Tyneside Primary Care Trust,01/09/2010,NON - HEALTHCARE - FOUNDATION TRUSTS,NON HEALTHCARE CONTRACTS,SOUTH TYNESIDE NHS FOUNDATION TRUST,77000327,30356,
Department of Health,North Tyneside Primary Care Trust,01/09/2010,NON - HEALTHCARE - FOUNDATION TRUSTS,NON HEALTHCARE CONTRACTS,SOUTH TYNESIDE NHS FOUNDATION TRUST,77000658,30356,
Department of Health,North Tyneside Primary Care Trust,01/09/2010,RENT,ESTATES,NORTH TYNESIDE COUNCIL,M0004704337,25049.96,
Department of Health,North Tyneside Primary Care Trust,01/09/2010,DRUGS,SEXUAL HEALTH SERVICES,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0155820,98013.6,
Department of Health,North Tyneside Primary Care Trust,01/09/2010,DRUGS,OCCUPATIONAL HEALTH,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0155820,5841.77,
Department of Health,North Tyneside Primary Care Trust,01/09/2010,DRUGS,MEDICAL,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0155820,6701.73,
Department of Health,North Tyneside Primary Care Trust,01/09/2010,DRUGS,WALK IN CENTRE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0155820,1606.69,
Department of Health,North Tyneside Primary Care Trust,01/09/2010,DRUGS,HEALTH DEVELOPMENT,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0155820,1246.47,
Department of Health,North Tyneside Primary Care Trust,01/09/2010,DRUGS,DIABETES,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0155820,1204.3,
Department of Health,North Tyneside Primary Care Trust,01/09/2010,DRUGS,GP PRACTICES,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0155820,784.2,
Department of Health,North Tyneside Primary Care Trust,01/09/2010,DRUGS,ADMISSION AVOIDANCE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0155820,425.3,
Department of Health,North Tyneside Primary Care Trust,01/09/2010,DRUGS,GP PRACTICES,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0155820,305.14
Department of Health,North Tyneside Primary Care Trust,01/09/2010,DRUGS,DENTAL SERVICES,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0155820,607.86
Department of Health,North Tyneside Primary Care Trust,01/09/2010,DRUGS,PODIATRY,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0155820,229.57
Department of Health,North Tyneside Primary Care Trust,01/09/2010,DRUGS,URGENT CARE,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0155820,11.84
Department of Health,North Tyneside Primary Care Trust,01/09/2010,DRUGS,DISTRICT NURSING,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0155820,4.75
Department of Health,North Tyneside Primary Care Trust,01/09/2010,CONTRACT : OTHER EXTERNAL,INPATIENT RICS (2) MANAGEMENT,SYNERGY HEALTH (UK) LTD,TSS008127,59961.87
Department of Health,North Tyneside Primary Care Trust,06/09/2010,LABORATORY EXTERNAL TESTS,SEXUAL HEALTH SERVICES,HEALTH PROTECTION AGENCY,1022389,-67074
Department of Health,North Tyneside Primary Care Trust,06/09/2010,LABORATORY EXTERNAL TESTS,SEXUAL HEALTH SERVICES,HEALTH PROTECTION AGENCY,5246437,105758.09
Department of Health,North Tyneside Primary Care Trust,06/09/2010,LABORATORY EXTERNAL TESTS,SEXUAL HEALTH SERVICES,HEALTH PROTECTION AGENCY,5263348,41420.33
Department of Health,North Tyneside Primary Care Trust,06/09/2010,NON - HEALTHCARE - PCTS,NON HEALTHCARE CONTRACTS,NEWCASTLE PCT,64000883,622882
Department of Health,North Tyneside Primary Care Trust,15/09/2010,B7 QLFD NURSE,PREVENTION & REHAB,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,R0154744,45684
Department of Health,North Tyneside Primary Care Trust,17/09/2010,TAX AND SOCIAL SECURITY COSTS < ONE YEAR,NONE,HM REVENUE AND CUSTOMS,504PT00150304 AUG 10,1279530.31
Department of Health,North Tyneside Primary Care Trust,17/09/2010,OTHER CREDITORS < ONE YEAR,NONE,NHS PENSIONS AGENCY,EA6645 AUG 10,825880.15
Department of Health,North Tyneside Primary Care Trust,20/09/2010,LABORATORY EXTERNAL TESTS,SEXUAL HEALTH SERVICES,HEALTH PROTECTION AGENCY,191859,27324.91
Department of Health,North Tyneside Primary Care Trust,24/09/2010,PREPAYMENTS < ONE YEAR,NONE,NEW CROFT HOUSE,93,183535
Department of Health,North Tyneside Primary Care Trust,24/09/2010,CONTRACT : OTHER EXTERNAL,INPATIENT RICS (2) MANAGEMENT,SYNERGY HEALTH (UK) LTD,TSS008159,51062.79
