Body,Body Name,Posting Date,Transaction number,Amount,Supplier name,Supplier ID,Service Area,Expense Type,Expense Code,Type
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,28/05/2013,20088437,996.00 ,8 Solutions Ltd,11590,Information Technology,Fire Prevention System Maintenance,4551,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,09/05/2013,30007368,"1,194.00 ",A.C Civil Construction,15512,Aiming High,Miscellaneous Capital Expend,C007,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,28/05/2013,20088444,"3,420.00 ",A.L.S. Scaffolding Hire Ltd,12352,Closed Churchyards,General Repairs,2101,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/05/2013,30007478,"1,627.37 ",allpay.net Limited,12681,Council Tax Collection,Giro/Allpay Charges,4448,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/05/2013,30007480,922.62 ,allpay.net Limited,12681,Council Tax Collection,Giro/Allpay Charges,4448,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,07/05/2013,30007410,"1,280.00 ",Anthony Collins Solicitors LLP,15010,Democratic Services,Legal Fees,4408,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,08/05/2013,30007389,"9,088.50 ",Anthony Gell Foundation (ATP Account),10058,Wirksworth Leisure Centre,Income Reimbursement A Gell School,5204,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,30/05/2013,30007948,733.00 ,ASA Awards,10081,Ashbourne Leisure Centre,Purchases of Items for Resale,4063,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,14/05/2013,30007553,945.50 ,Ashbourne Arts Ltd,10104,Ashbourne Tourist Information Centre,Tickets for Resale,4042,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,01/05/2013,20087880,550.00 ,Ashbourne Town Council,10086,Elections - County,Hire of Rooms,2302,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,08/05/2013,20088347,"1,674.26 ",ATS Euromaster Ltd,10118,Vehicles & Plant,Tyres & Tubes,3124,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,14/05/2013,30007590,"1,848.23 ",B & B Tractors,13855,Vehicles & Plant,"Vehicle Parts, Servicing & Repairs",3110,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,17/05/2013,30007651,"1,480.00 ",Barleymans,10164,Agricultural Business Centre Bakewell,General Expenses,4899,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,28/05/2013,20088439,"4,097.94 ",Barnes Painters & Decorators,15414,Public Conveniences - Maintenance,General Repairs,2101,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,28/05/2013,20088443,"1,320.00 ",Barnes Painters & Decorators,15414,Matlock Town Hall,General Repairs,2101,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,09/05/2013,20088356,"4,667.77 ",Broad Oak Properties Limited,15545,Improvement Grants,Disabled Facilities Grants,C016,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,09/05/2013,30007451,"2,040.00 ",Browne Jacobson Solicitors LLP client a/c,10264,Democratic Services,Legal Fees,4408,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,09/05/2013,30007452,"1,455.00 ",Browne Jacobson Solicitors LLP client a/c,10264,Democratic Services,Legal Fees,4408,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,03/05/2013,30007096,505.54 ,Capita Business Services Ltd,10303,Council Tax Collection,Bank Charges,4447,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/05/2013,30007377,660.00 ,CIPFA Business Ltd,10848,Property Services,Software Maintenance & Support,4512,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/05/2013,30007378,"2,890.00 ",CIPFA Business Ltd,10848,Property Services,Software Maintenance & Support,4512,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/05/2013,30007378,"5,350.00 ",CIPFA Business Ltd,10848,Accountancy,Software Maintenance & Support,4512,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,13/05/2013,30007457,"7,082.06 ",Competition Line (U.K.) Ltd,10380,Ashbourne Leisure Centre,Competition Line - Gym Fees,4834,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,09/05/2013,20088367,890.00 ,D.V.L.A.,10545,Vehicles & Plant,Road Fund Licences & MoT Fees,3127,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,09/05/2013,20088368,612.50 ,D.V.L.A.,10545,Vehicles & Plant,Road Fund Licences & MoT Fees,3127,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,10/05/2013,30007515,518.33 ,Daisy Communications Ltd,14938,Customer Services,Telephone Calls,4541,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,31/05/2013,30007958,600.00 ,David Dykes t/a Copper Dog Ltd,15595,Peak District Cycling Festival,General Expenses,4899,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,31/05/2013,30007959,"2,200.00 ",David Dykes t/a Copper Dog Ltd,15595,Peak District Cycling Festival,General Expenses,4899,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,09/05/2013,30007467,"2,134.00 ",Dawson Rentals Sweepers,14189,Vehicles & Plant,Lease of Vehicles / Plant,4102,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,01/05/2013,20087867,"3,977.71 ",Derbyshire County Council,10507,Improvement Grants,Disabled Facilities Grants,C016,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,01/05/2013,20087868,"2,856.10 ",Derbyshire County Council,10507,Improvement Grants,Disabled Facilities Grants,C016,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,03/05/2013,20088238,"3,724.00 ",Derbyshire County Council,10507,Improvement Grants,Disabled Facilities Grants,C016,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,03/05/2013,20088249,"3,395.00 ",Derbyshire County Council,10507,Improvement Grants,Disabled Facilities Grants,C016,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,08/05/2013,30007390,754.00 ,Derbyshire County Council,10506,Wirksworth Leisure Centre,Income Reimbursement A Gell School,5204,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,09/05/2013,20088352,"4,299.00 ",Derbyshire County Council,10507,Improvement Grants,Disabled Facilities Grants,C016,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,15/05/2013,20088391,"5,883.00 ",Derbyshire County Council,10507,Improvement Grants,Disabled Facilities Grants,C016,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,15/05/2013,20088392,"1,759.00 ",Derbyshire County Council,10507,Improvement Grants,Disabled Facilities Grants,C016,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,28/05/2013,20088433,"2,312.50 ",Derbyshire County Council,10507,Improvement Grants,Disabled Facilities Grants,C016,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,28/05/2013,20088434,"3,736.50 ",Derbyshire County Council,10507,Improvement Grants,Disabled Facilities Grants,C016,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,28/05/2013,20088445,"2,250.00 ",Derbyshire County Council,10507,Improvement Grants,Disabled Facilities Grants,C016,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,16/05/2013,30007554,"1,442.00 ",Derbyshire Probation Trust,10505,Homelessness,Multi Agency Public Protection Panel,5101,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,14/05/2013,30007523,689.80 ,Derwent Treescapes Limited,10469,Parks & Recreation,"Trees, Shrubs",4050,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,20/05/2013,30007507,597.00 ,Derwent Treescapes Limited,10469,Central Corridor Regeneration,Professional Fees,C004,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,31/05/2013,30007952,524.66 ,Diamond Forklifts Ltd,15290,Vehicles & Plant,"Vehicle Parts, Servicing & Repairs",3110,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,21/05/2013,20088417,"1,451.83 ",Drivers Jonas Deloitte,14881,Town Centre Conveniences,Professional Fees,C004,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,21/05/2013,20088418,512.41 ,Drivers Jonas Deloitte,14881,Rural Conveniences & Other Assets,Professional Fees,C004,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,21/05/2013,20088418,"2,006.92 ",Drivers Jonas Deloitte,14881,Town Centre Conveniences,Professional Fees,C004,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,01/05/2013,30007312,536.00 ,Dunston Printers Ltd,14853,Tourism - Publications,Publications - Mini Guides,4314,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,24/05/2013,30007888,"2,145.00 ",Dunston Printers Ltd,14853,Tourism - Publications,Publications - Mini Guides,4314,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,22/05/2013,30007831,"11,902.34 ",Easifall International Ltd,14288,Hall Leys Park Paddling Pool,Miscellaneous Capital Expend,C007,Capital
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,24/05/2013,30007860,"3,470.23 ",Eastern Shires Purchasing Organisation,13836,Ashbourne Leisure Centre,Gas,2202,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,24/05/2013,30007861,"1,945.38 ",Eastern Shires Purchasing Organisation,13836,Matlock Town Hall,Gas,2202,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,24/05/2013,30007862,"1,404.98 ",Eastern Shires Purchasing Organisation,13836,Bakewell Swimming Pool,Gas,2202,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,24/05/2013,30007863,"1,134.93 ",Eastern Shires Purchasing Organisation,13836,Wirksworth Leisure Centre,Gas,2202,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,07/05/2013,30007338,"2,565.00 ",Environment Agency,10590,Housing Strategy,Trade Effluent Charge,2502,Revenue
http://statistics.data.gov.uk/id/local-authority/17UF ,Derbyshire Dales District Council,07/05/2013,30007358,"1,026.00 ",Environment Agency,10590,Housing Strategy,Trade Effluent Charge,2502,Revenue
