EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,,,,,,,,,,
,,,,,,,,,,
HM Treasury Requirement to publish expenditure,,,,,,,,,,
,,,,,,,,,,
Period: 1 January 2018 to 31 January 2018,,,,,,,,,,
,,,,,,,,,,
Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,VAT ,,
Department of Health,RYC,24/01/2018,Premises,Fleet & Estates,BRAINTREE DISTRICT COUNCIL RATES,5448547,71371.00 ,,,
Department of Health,RYC,24/01/2018,Premises,Fleet & Estates,BROADLAND DISTRICT COUNCIL RATES,5448551,89573.00 ,,,
Department of Health,RYC,24/01/2018,Premises,Fleet & Estates,CHELMSFORD CITY COUNCIL RATES,5448563,33777.31 ,,,
Department of Health,RYC,24/01/2018,Premises,Fleet & Estates,FOREST HEATH DISTRICT COUNCIL RATES,5448577,56426.94 ,,,
Department of Health,RYC,24/01/2018,Premises,Fleet & Estates,GT YARMOUTH BOROUGH COUNCIL RATES,5448578,32807.73 ,,,
Department of Health,RYC,24/01/2018,Premises,Fleet & Estates,LUTON BOROUGH COUNCIL RATES,5448586,50161.32 ,,,
Department of Health,RYC,24/01/2018,Premises,Fleet & Estates,PETERBOROUGH CITY COUNCIL RATES,5448684,75377.50 ,,,
Department of Health,RYC,24/01/2018,Premises,Fleet & Estates,ROCHFORD DISTRICT COUNCIL (RATES),5448690,38271.21 ,,,
Department of Health,RYC,24/01/2018,Premises,Fleet & Estates,SOUTH CAMBRIDGESHIRE DISTRICT COUNCIL RATES,5448701,62451.65 ,,,
Department of Health,RYC,24/01/2018,Premises,Fleet & Estates,WATFORD BOROUGH COUNCIL RATES,5448731,31374.50 ,,,
Department of Health,RYC,11/01/2018,Supplies & Services - Clinical,Medical Devices,IMPERATIVE TRAINING LIMITED,5468299,25804.80 ,,,
Department of Health,RYC,26/01/2018,Premises,Finance,NHS LITIGATION AUTHORITY DD,5468338,111072.70 ,,,
Department of Health,RYC,18/01/2018,IT & Telecoms,IM&T,BT GLOBAL SERVICES,5468607,25242.05 ,245719348,,
Department of Health,RYC,11/01/2018,Training,Education & Training,UNIVERSITY OF CAMBRIDGE,5470258,46000.00 ,,,
Department of Health,RYC,24/01/2018,Transport,Fleet & Estates,ALLSTAR DD,5470443,179838.13 ,224235985,,
Department of Health,RYC,11/01/2018,Supplies & Services - Clinical,Emergency Operations,BOC LIMITED,5470547,31256.44 ,226556555,,
Department of Health,RYC,26/01/2018,IT & Telecoms,IM&T,BT BUSINESS COM. - DD,5470666,43212.21 ,245719348,,
Department of Health,RYC,04/01/2018,IT & Telecoms,IM&T,MEDUSA TECHNOLOGIES INC,5471052,129180.00 ,,,
