LGD,Q1 2005,Q2 2005,Q3 2005,Q4 2005,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015
Antrim,190,178,135,121,184,185,160,147,175,162,48,57,43,62,58,53,55,62,71,84,59,54,53,58,56,80,60,46,66,41,45,36,37,94,47,33,69,49,45,17,51
Ards,154,120,196,146,168,195,155,155,207,144,121,180,115,105,68,61,110,70,86,95,63,148,56,57,92,71,50,44,42,35,33,36,49,68,79,54,47,94,107,69,130
Armagh,127,150,124,78,204,117,127,206,103,123,119,106,84,157,89,59,55,94,79,105,86,98,83,66,52,91,66,36,41,102,43,50,50,71,46,32,36,61,64,40,34
Ballymena,83,149,129,98,87,95,85,117,90,114,132,55,59,100,70,62,63,86,89,68,95,139,65,70,50,82,81,54,34,85,57,45,36,33,65,36,55,75,53,29,34
Ballymoney,89,83,68,64,77,87,60,80,98,71,84,36,34,42,27,25,33,46,33,39,44,38,36,31,29,15,17,15,18,18,11,10,16,14,23,21,21,30,13,11,33
Banbridge,160,197,140,133,138,101,103,92,102,150,81,67,51,72,53,47,92,80,134,106,93,83,91,38,56,42,65,23,31,39,43,30,34,42,37,35,34,51,56,47,53
Belfast,406,430,633,400,464,544,582,331,356,267,248,1047,276,395,307,65,106,338,147,128,107,242,218,39,106,246,235,104,47,145,84,157,54,109,123,117,66,79,187,78,189
Carrickfergus,39,125,30,24,77,51,42,31,50,50,41,15,22,22,3,29,4,24,4,10,31,11,12,19,29,7,5,6,18,37,13,9,9,26,34,16,18,33,23,19,16
Castlereagh,32,39,49,60,49,121,88,59,90,83,39,66,45,66,13,5,17,73,69,33,43,67,52,51,49,67,30,22,34,41,28,47,16,68,65,33,101,51,64,76,41
Coleraine,111,112,209,131,122,203,181,124,221,171,134,106,60,73,27,49,42,70,64,76,98,96,85,40,52,59,56,41,33,45,31,33,46,46,49,38,29,72,39,30,59
Cookstown,119,86,87,65,90,115,91,59,99,83,73,46,41,51,37,33,39,85,85,47,53,83,86,56,51,48,65,47,43,42,38,16,20,24,28,16,13,32,38,28,67
Craigavon,285,529,377,231,331,341,304,323,240,326,192,142,69,122,74,80,69,97,93,73,100,116,56,87,37,60,62,48,39,41,42,51,55,67,86,62,88,133,127,102,102
Derry,149,221,229,124,112,118,188,96,67,140,88,86,46,54,45,81,25,34,23,31,41,147,111,38,100,40,162,95,73,105,69,20,48,71,178,33,56,43,32,46,33
Down,147,161,130,122,182,208,159,168,205,195,182,150,145,126,69,62,77,79,106,75,51,63,68,65,60,46,64,93,82,57,33,33,41,47,58,42,64,63,88,58,61
Dungannon,148,245,198,161,169,202,176,76,162,198,129,117,89,145,83,76,80,95,105,97,100,140,133,108,84,118,113,63,75,92,87,67,58,73,54,54,62,73,95,80,53
Fermanagh,160,203,172,128,186,214,243,176,201,258,257,142,130,176,98,88,119,193,201,136,164,176,192,124,108,124,124,103,91,86,52,62,43,59,40,29,18,45,64,19,37
Larne,63,29,79,49,69,144,125,62,60,56,45,35,16,24,38,16,24,61,44,16,31,47,20,8,15,33,29,8,28,25,36,14,19,28,10,26,24,32,33,24,37
Limavady,65,71,73,49,65,78,56,50,33,58,42,28,37,67,23,17,14,46,29,33,64,48,28,20,17,18,31,9,33,40,22,3,7,18,19,16,22,24,25,17,16
Lisburn,276,375,313,240,178,386,222,229,267,305,417,342,152,171,91,72,76,168,210,118,136,153,108,53,105,247,133,96,183,135,111,76,113,206,106,82,87,160,142,94,106
Magherafelt,94,159,119,88,99,128,123,60,74,113,86,67,48,86,55,29,58,52,58,63,63,99,77,68,52,77,76,45,35,63,38,30,29,63,44,29,50,61,62,54,43
Moyle,64,65,29,38,58,27,87,41,59,37,28,31,21,27,21,13,10,23,17,11,19,21,41,14,21,28,20,19,13,28,2,6,10,26,6,6,11,14,15,7,19
Newry and Mourne,160,220,194,171,194,168,148,134,163,144,125,83,169,183,110,95,133,118,147,128,238,267,190,148,112,138,123,90,78,133,132,93,88,119,79,67,90,130,91,91,87
Newtownabbey,138,174,171,130,114,102,101,113,111,98,141,122,104,52,14,40,9,37,34,63,75,99,61,82,88,97,59,81,51,59,65,43,30,56,58,81,76,133,94,59,94
North Down,83,123,58,85,134,135,80,80,143,83,75,70,23,70,66,64,43,88,59,55,31,133,78,35,36,58,43,32,53,19,50,52,26,68,78,72,45,67,60,51,36
Omagh,113,130,129,102,144,152,150,139,160,191,119,60,85,92,71,51,73,86,91,73,39,45,47,42,47,41,63,54,64,48,37,32,29,22,23,30,25,33,28,33,31
Strabane,87,87,88,131,97,118,58,57,73,124,51,43,30,37,26,16,24,35,55,30,62,73,56,36,29,41,34,21,16,20,12,14,14,19,23,22,23,19,12,23,12
Total,3542,4461,4159,3169,3792,4335,3894,3205,3609,3744,3097,3299,1994,2577,1636,1288,1450,2240,2133,1793,1986,2686,2103,1453,1533,1974,1866,1295,1321,1581,1214,1065,977,1537,1458,1082,1230,1657,1657,1202,1474
