Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Hire of Agency Staff (Professional/Management),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4012433," £2,106 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4012434," £1,577 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",WEST OXFORD COMMUNITY RENEWABLES LTD,4012273," £9,176 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Technical Advice / Services & Support,Science & Innovation Group - Science & Innovation Group,UNIVERSITY OF OXFORD,4012425," £5,797 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Recruitment Consultancy Costs,Corporate Support & Shared Services - Corporate Support & Shared Services,TMP (UK) LTD T/A TMP WORLDWIDE,4012385, £712 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Project Management Costs (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,THE NATIONAL NON-FOOD CROPS CENTRE,4012419," £219,926 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Project Management Costs (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,THE NATIONAL NON-FOOD CROPS CENTRE,4012419," £123,081 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Capital Grants - Other,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",THE ENERGY SAVING TRUST LTD,4012469," £422,713 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Secondees (not paid directly),National Climate Change & Consumer Support - Communications,THE ENERGY SAVING TRUST LTD,4012467," £14,554 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Air Fares  - Overseas (Programme),International Energy & Climate Change - International Climate Change Negotiations,THE CHILDRENS INVESTMENT FUND FOUNDATION (UK),4012482, £816 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Technical Advice / Services & Support,National Climate Change & Consumer Support - National Climate Change,SMARTSOURCING PLC,4012427," £4,893 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Energy Strategy and Futures,REDPOINT ENERGY LTD,4011679," £4,406 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,PRICEWATERHOUSECOOPERS LLP,4012417," £13,634 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Media Services,National Climate Change & Consumer Support - Communications,PRESS ASSOCIATION LTD,4012426," £7,521 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4012334," £176,589 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4011861, £685 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4011861, £685 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Cash Expenditure During the Year - British Energy,Energy Markets & Infrastructure - Office of Nuclear Development,NUCLEAR DECOMMISSIONING AUTHORITY,4010414," £14,125,927 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Cash Expenditure During the Year - British Energy,Energy Markets & Infrastructure - Office of Nuclear Development,NUCLEAR DECOMMISSIONING AUTHORITY,4010415," £3,831,589 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4012435, £855 
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Hire of Agency Staff (Professional/Management),"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",MORGAN HUNT PUBLIC SECTOR LTD,4012488," £2,517 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Hire of Agency Staff (Professional/Management),Energy Markets & Infrastructure - Office of Nuclear Development,MORGAN HUNT PUBLIC SECTOR LTD,4012489," £1,932 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,MINISTRY OF DEFENCE,4012494," £4,000,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,MINISTRY OF DEFENCE,4012494," £200,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,International Subscriptions,International Energy & Climate Change - International Energy & Carbon Budgets,INTERNATIONAL RENEWABLE ENERGY AGENCY,4011976," £754,114 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Capital Grants - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,HOMES & COMMUNITIES AGENCY,4012398," £300,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,01/04/2010,Other Printing and Stationery Costs,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",GWS LTD,4012487," £4,768 "
