"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","National Museum of the Royal Navy","National Museum of the Royal Navy","10","Victory Guide","17835","20676","Executive Assistant","12.00","Operational Delivery"
"Ministry of Defence","National Museum of the Royal Navy","National Museum of the Royal Navy","10","Events Assistant","14000","20000","Executive Assistant","10.50","Operational Delivery"
"Ministry of Defence","National Museum of the Royal Navy","National Museum of the Royal Navy","7","Finance Officer","25000","40000","Finance Support Officer","7.00","Finance"
"Ministry of Defence","National Museum of the Royal Navy","National Museum of the Royal Navy","8","Development Officers","20000","25000","Executive Assistant","1.00","Programme and Project Management (PPM)"
"Ministry of Defence","National Museum of the Royal Navy","National Museum of the Royal Navy","11","Strategic Development Officers","18000","40000","Project Support Officer","4.00","Programme and Project Management (PPM)"
"Ministry of Defence","National Museum of the Royal Navy","National Museum of the Royal Navy","6","Human Resources","25000","40000","HR Officer","1.60","Human Resources"
"Ministry of Defence","National Museum of the Royal Navy","National Museum of the Royal Navy","10","Learning","25000","45000","Programme Manager","8.50","Operational Delivery"
"Ministry of Defence","National Museum of the Royal Navy","National Museum of the Royal Navy","10","Curatorial","25000","50000","Operations Support Officer","13.00","Operational Delivery"
"Ministry of Defence","National Museum of the Royal Navy","National Museum of the Royal Navy","6","Administration","15000","25000","Executive Assistant","4.50","Operational Delivery"
"Ministry of Defence","National Museum of the Royal Navy","National Museum of the Royal Navy","6","IT Officer","20000","30000","IT Manager","1.00","Operational Delivery"
"Ministry of Defence","National Museum of the Royal Navy","National Museum of the Royal Navy","8","Marketing & Communications","18000","27000","Operations Support Officer","5.00","Operational Delivery"
"Ministry of Defence","National Museum of the Royal Navy","National Museum of the Royal Navy","8","Fundraising","20000","35000","Operations Support Officer","4.00","Operational Delivery"
"Ministry of Defence","National Museum of the Royal Navy","National Museum of the Royal Navy","10","Research & Access","18000","41000","Knowledge Information Management Support Officer","3.00","Operational Delivery"
"Ministry of Defence","National Museum of the Royal Navy","National Museum of the Royal Navy","9","Operational Facilities","20000","35000","Operations Support Officer","10.30","Operational Delivery"
"Ministry of Defence","National Museum of the Royal Navy","National Museum of the Royal Navy","9","Operations Managers","30000","40000","Operational Manager","5.00","Operational Delivery"
"Ministry of Defence","National Museum of the Royal Navy","National Museum of the Royal Navy","9","Visitor Services","14000","25000","Operations Support Officer","36.00","Operational Delivery"
