Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,Amount
NHS,Barnsley PCT,01/06/2011,Service Level Agreement,HQ Services,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,6012365,"51,361.00 "
NHS,Barnsley PCT,01/06/2011,Healthcare Contracts,Specialist Commissioning Group,CARE PRINCIPLES,INV029946,"50,050.80 "
NHS,Barnsley PCT,01/06/2011,Healthcare Contracts,Specialist Commissioning Group,HEALTHCARE AT HOME LTD,OP/2481413,"48,319.92 "
NHS,Barnsley PCT,01/06/2011,Healthcare Contracts,Specialist Commissioning Group,INMIND (DOULTON LODGE),1988,"39,006.00 "
NHS,Barnsley PCT,01/06/2011,Healthcare Contracts,Specialist Commissioning Group,INMIND (DOULTON LODGE),1950,"39,006.00 "
NHS,Barnsley PCT,01/06/2011,Healthcare Contracts,Specialist Commissioning Group,INMIND (DOULTON LODGE),1969,"40,306.20 "
NHS,Barnsley PCT,01/06/2011,Healthcare Contracts,Specialist Commissioning Group,MERSEY CARE NHS TRUST,I0026348,"53,680.00 "
NHS,Barnsley PCT,01/06/2011,Healthcare Contracts,Specialist Commissioning Group,NOTTINGHAMSHIRE HEALTHCARE NHS TRUST,1000019213,"2,097,945.00 "
NHS,Barnsley PCT,01/06/2011,Healthcare Contracts,Specialist Commissioning Group,NW SPECIAL SRVS COMM TEAM,9132249,"152,849.00 "
NHS,Barnsley PCT,01/06/2011,Healthcare Contracts,Specialist Commissioning Group,THE ROYAL ORTHOPAEDIC TRUST,0000032606,"53,135.17 "
NHS,Barnsley PCT,01/06/2011,Healthcare Contracts,Specialist Commissioning Group,SHEFFIELD CHILDRENS HOSPITAL,2100133400,"36,144.00 "
NHS,Barnsley PCT,01/06/2011,Healthcare Contracts,Specialist Commissioning Group,SHEFFIELD TEACHING HOSPITALS NHS TRUST,4000278125,"43,428.69 "
NHS,Barnsley PCT,01/06/2011,Healthcare Contracts,Specialist Commissioning Group,UNIVERSITY HOSP BIRMINGHAM NHS TRUST,OP/C079384,"-32,450.00 "
NHS,Barnsley PCT,01/06/2011,Healthcare Contracts,Specialist Commissioning Group,UNIVERSITY HOSP BIRMINGHAM NHS TRUST,OP/C079359,"-37,820.02 "
NHS,Barnsley PCT,01/06/2011,Healthcare Contracts,Specialist Commissioning Group,UNIVERSITY HOSP BIRMINGHAM NHS TRUST,OP/M075366,"86,671.00 "
NHS,Barnsley PCT,01/06/2011,Healthcare Contracts,Specialist Commissioning Group,WEST LONDON MENTAL HEALTH NHS TRUST,1100037197,"27,250.00 "
